security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,security_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
COHR,Business Services,Technology Services,35__1,35,1.0,8. p75_trade_value,8990.0,19210.0,O:COHR240920C00082000,COHR,C,82.0,2024-09-20,209,0,308,3.1,1724421735995000000,39,12090.0,2024-08-23,Automatic Execution,Business Services,Technology Services,79.24,80.32,78.3,79.38,593,4.082426300860772,4,1,1,1,0
COHR,Business Services,Technology Services,35__1,35,1.0,6. p95_trade_value,32240.000000000004,128079.0,O:COHR240920C00086000,COHR,C,86.0,2024-09-20,209,0,316,1.6,1724681141907000000,250,40000.0,2024-08-26,Automatic Execution,Business Services,Technology Services,79.85,80.8,78.63,79.43,129,4.6020599913279625,1,1,1,1,0
COHR,Business Services,Technology Services,35__1,35,1.0,6. p95_trade_value,32240.000000000004,128079.0,O:COHR240920C00086000,COHR,C,86.0,2024-09-20,209,0,316,1.65,1724680947140000000,249,41085.0,2024-08-26,Automatic Execution,Business Services,Technology Services,79.85,80.8,78.63,79.43,126,4.613683291309643,1,1,1,1,0
COHR,Business Services,Technology Services,35__1,35,1.0,8. p75_trade_value,8990.0,19210.0,O:COHR240920C00081000,COHR,C,81.0,2024-09-20,232,0,302,2.5,1724766407555000000,56,14000.0,2024-08-27,Multi Leg auto-electronic trade,Business Services,Technology Services,79.0,80.02,77.88,79.48,503,4.146128035678238,4,1,1,1,0
COHR,Business Services,Technology Services,35__1,35,1.0,6. p95_trade_value,32240.000000000004,128079.0,O:COHR240920C00085000,COHR,C,85.0,2024-09-20,231,0,301,1.4,1724854044964000000,308,43120.0,2024-08-28,Single Leg Floor Trade,Business Services,Technology Services,79.12,80.38,77.59,78.79,119,4.634678752178682,1,1,1,1,0
COHR,Business Services,Technology Services,35__1,35,1.0,8. p75_trade_value,8990.0,19210.0,O:COHR240906P00077000,COHR,P,77.0,2024-09-06,209,0,316,1.55,1724957032875000000,103,15965.0,2024-08-29,Automatic Execution,Business Services,Technology Services,78.69,80.154,77.37,77.72,432,4.203168922875464,3,1,1,1,0
COHR,Business Services,Technology Services,35__1,35,1.0,7. p90_trade_value,19220.0,32175.0,O:COHR240920P00065000,COHR,P,65.0,2024-09-20,233,0,323,0.69,1725390902230000000,438,30221.999999999996,2024-09-03,Multi Leg Auction,Business Services,Technology Services,76.0,76.35,71.765,71.88,183,4.4803232012413545,2,0,0,0,1
COHR,Business Services,Technology Services,35__1,35,1.0,8. p75_trade_value,8990.0,19210.0,O:COHR240920P00068000,COHR,P,68.0,2024-09-20,209,0,315,0.7,1725545504934000000,250,17500.0,2024-09-05,Automatic Execution,Business Services,Technology Services,73.52,75.925,73.23,74.26,365,4.243038048686294,3,0,0,0,1
COHR,Business Services,Technology Services,35__1,35,1.0,8. p75_trade_value,8990.0,19210.0,O:COHR240920P00068000,COHR,P,68.0,2024-09-20,209,0,320,0.7,1725545504933000000,156,10919.999999999998,2024-09-05,Automatic Execution,Business Services,Technology Services,73.52,75.925,73.23,74.26,647,4.038222638368718,4,0,0,0,1
COHR,Business Services,Technology Services,35__1,35,1.0,8. p75_trade_value,8990.0,19210.0,O:COHR240920P00068000,COHR,P,68.0,2024-09-20,209,0,320,0.9,1726068755703000000,176,15840.0,2024-09-11,Automatic Execution,Business Services,Technology Services,71.36,76.23,71.15,75.37,439,4.199755177253475,3,0,0,0,1
