security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
CRCT,Business Services,Technology Services,0.75,,,,2,5__0,5,0.0,4720.0,4760.0,4792.0,4799.2,4799.92,4799.99,4800.0
CXAI,Business Services,Technology Services,0.75,,,,4,5__0,5,0.0,6790.0,7255.0,7627.0,7710.7,7719.07,7719.91,7719.99
DAO,Business Services,Technology Services,0.75,,,,4,5__0,5,0.0,5303.0,5571.5,5786.3,5834.63,5839.46,5839.95,5839.99
DSP,Business Services,Technology Services,0.75,,,,2,5__0,5,0.0,5871.5,5928.25,5973.65,5983.87,5984.89,5984.99,5985.0
KIDZ,Business Services,Technology Services,0.75,,,,3,5__0,5,0.0,6288.0,6586.5,6825.3,6879.03,6884.4,6884.94,6884.99
LNZA,Business Services,Technology Services,0.75,,,,3,5__0,5,0.0,12654.0,12829.5,12969.9,13001.49,13004.65,13004.96,13005.0
NVEE,Business Services,Technology Services,0.75,18000.0,1. p999999_trade_value,1.0,3,5__3,5,3.0,15663.8,16831.9,17766.38,17976.64,17997.66,17999.77,17999.98
TTEC,Business Services,Technology Services,0.75,,,,4,5__0,5,0.0,8106.0,8545.5,8897.1,8976.21,8984.12,8984.91,8984.99
VERI,Business Services,Technology Services,0.75,,,,5,5__0,5,0.0,4305.0,4340.0,4368.0,4374.3,4374.93,4374.99,4375.0
VVX,Business Services,Technology Services,0.75,3800.0,1. p999999_trade_value,1.0,2,5__0,5,0.0,3726.0,3763.0,3792.6,3799.26,3799.93,3799.99,3800.0
