security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
ARIS,Business Services,Waste Removal Services,0.55,3915.0,1. p999999_trade_value,1.0,2,5__0,5,0.0,3853.5,3884.25,3908.85,3914.39,3914.94,3914.99,3915.0
CLH,Business Services,Waste Removal Services,0.55,,,,147,20__0,20,0.0,11280.0,23295.0,68927.2,76611.6,77321.16,77392.12,77399.21
CWST,Business Services,Waste Removal Services,0.55,,,,43,15__0,15,0.0,7430.0,8145.5,9832.0,9983.2,9998.32,9999.83,9999.98
GFL,Business Services,Waste Removal Services,0.55,,,,55,15__0,15,0.0,8905.4,16600.0,64740.0,77133.0,78372.3,78496.23,78508.62
MEG,Business Services,Waste Removal Services,0.55,,,,11,10__0,10,0.0,8910.0,9645.0,10233.0,10365.3,10378.53,10379.85,10379.99
NVRI,Business Services,Waste Removal Services,0.55,4410.0,1. p999999_trade_value,1.0,1,0__0,0,0.0,4410.0,4410.0,4410.0,4410.0,4410.0,4410.0,4410.0
PCT,Business Services,Waste Removal Services,0.55,,,,774,30__0,30,0.0,15891.8,27486.7,114109.4,260355.87,285964.59,288525.46,288781.55
PNR,Business Services,Waste Removal Services,0.55,79200.0,6. p95_trade_value,7.0,140,20__1,20,1.0,42969.0,61881.5,177075.0,277540.54,291712.8,293130.03,293271.75
RSG,Business Services,Waste Removal Services,0.55,167250.0,1. p999999_trade_value,1.0,118,20__0,20,0.0,16401.0,25472.5,79841.6,157411.47,166266.15,167151.61,167240.16
VLTO,Business Services,Waste Removal Services,0.55,8280.0,8. p75_trade_value,20.0,80,20__0,20,0.0,22497.9,33188.55,56196.0,75819.6,77781.96,77978.2,77997.82
WCN,Business Services,Waste Removal Services,0.55,101745.0,6. p95_trade_value,3.0,43,15__0,15,0.0,22880.0,95308.0,152280.0,177228.0,179722.8,179972.28,179997.23
WM,Business Services,Waste Removal Services,0.55,,,,693,30__0,30,0.0,14553.0,21925.6,66109.2,99854.92,103585.49,103958.55,103995.85
XYL,Business Services,Waste Removal Services,0.55,,,,54,15__0,15,0.0,45780.0,59637.0,80979.9,95847.99,97334.8,97483.48,97498.35
ZWS,Business Services,Waste Removal Services,0.55,,,,6,10__0,10,0.0,7525.0,8662.5,9572.5,9777.25,9797.73,9799.77,9799.98
