security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,security_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
ONDS,Computer and Technology,Communication - Network Software,20__0,20,0.0,8. p75_trade_value,6225.0,9980.000000000002,O:ONDS250117C00002500,ONDS,C,2.5,2025-01-17,227,0,302,0.21,1734537801971000000,336,7056.0,2024-12-18,Single Leg Auction Non ISO,Computer and Technology,Communication - Network Software,1.71,1.765,1.06,1.29,14,3.848558572123763,4,1,0,0,0
ONDS,Computer and Technology,Communication - Network Software,20__0,20,0.0,8. p75_trade_value,6225.0,9980.000000000002,O:ONDS250117C00002500,ONDS,C,2.5,2025-01-17,227,0,323,0.2,1734979102747000000,499,9980.000000000002,2024-12-23,Single Leg Auction Non ISO,Computer and Technology,Communication - Network Software,1.6,1.95,1.52,1.95,8,3.999130541287371,2,1,0,0,0
ONDS,Computer and Technology,Communication - Network Software,20__0,20,0.0,8. p75_trade_value,6225.0,9980.000000000002,O:ONDS250117C00002500,ONDS,C,2.5,2025-01-17,209,0,304,0.2,1734979374981000000,365,7300.0,2024-12-23,Automatic Execution,Computer and Technology,Communication - Network Software,1.6,1.95,1.52,1.95,13,3.863322860120456,4,1,0,0,0
ONDS,Computer and Technology,Communication - Network Software,20__0,20,0.0,8. p75_trade_value,6225.0,9980.000000000002,O:ONDS250117C00002500,ONDS,C,2.5,2025-01-17,227,0,302,0.25,1734978749557000000,250,6250.0,2024-12-23,Single Leg Auction Non ISO,Computer and Technology,Communication - Network Software,1.6,1.95,1.52,1.95,16,3.7958800173440754,4,1,0,0,0
ONDS,Computer and Technology,Communication - Network Software,20__0,20,0.0,8. p75_trade_value,6225.0,9980.000000000002,O:ONDS250117C00002500,ONDS,C,2.5,2025-01-17,209,0,318,0.3,1734987110883000000,219,6570.0,2024-12-23,Automatic Execution,Computer and Technology,Communication - Network Software,1.6,1.95,1.52,1.95,15,3.8175653695597807,4,1,0,0,0
ONDS,Computer and Technology,Communication - Network Software,20__0,20,0.0,8. p75_trade_value,6225.0,9980.000000000002,O:ONDS250117P00002500,ONDS,P,2.5,2025-01-17,209,0,300,0.25,1736177766832000000,387,9675.0,2025-01-06,Automatic Execution,Computer and Technology,Communication - Network Software,3.05,3.13,2.63,2.69,9,3.985650973690949,3,1,1,1,0
ONDS,Computer and Technology,Communication - Network Software,20__0,20,0.0,7. p90_trade_value,11220.0,19990.0,O:ONDS250620C00001000,ONDS,C,1.0,2025-06-20,227,0,323,0.1,1748354839115000000,1999,19990.0,2025-05-27,Single Leg Auction Non ISO,Computer and Technology,Communication - Network Software,0.9229,0.9537,0.89,0.9422,5,4.300812794118117,2,1,0,0,0
ONDS,Computer and Technology,Communication - Network Software,20__0,20,0.0,6. p95_trade_value,24290.000000000004,26000.0,O:ONDS250620C00001000,ONDS,C,1.0,2025-06-20,209,0,325,0.13,1748365749008000000,2000,26000.0,2025-05-27,Automatic Execution,Computer and Technology,Communication - Network Software,0.9229,0.9537,0.89,0.9422,2,4.414973347970818,1,1,0,0,0
ONDS,Computer and Technology,Communication - Network Software,20__0,20,0.0,8. p75_trade_value,6225.0,9980.000000000002,O:ONDS250620C00002000,ONDS,C,2.0,2025-06-20,219,0,322,0.15,1749132434272000000,415,6225.0,2025-06-05,Intermarket Sweep Order,Computer and Technology,Communication - Network Software,1.885,1.885,1.5,1.58,17,3.794139355767774,5,1,0,0,0
ONDS,Computer and Technology,Communication - Network Software,20__0,20,0.0,1. p999999_trade_value,27675.0,27675.0,O:ONDS250620C00002000,ONDS,C,2.0,2025-06-20,209,0,308,0.15,1749141990340000000,1845,27675.0,2025-06-05,Automatic Execution,Computer and Technology,Communication - Network Software,1.885,1.885,1.5,1.58,1,4.442087629550761,1,1,0,0,0
