security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
IBM,Computer and Technology,Computer - Integrated Systems,40__0,40,0.0,8. p75_trade_value,8100.0,15775.0,O:IBM240830C00200000,IBM,C,200.0,2024-08-30,209,0,313,1.07,1724784651495000000,95,10165.0,2024-08-27,Automatic Execution,Computer and Technology,Computer - Integrated Systems,197.44,199.4,196.97,198.73,2607,4.007107382974057,4,1,1,1,0
IBM,Computer and Technology,Computer - Integrated Systems,40__0,40,0.0,8. p75_trade_value,8100.0,15775.0,O:IBM240830C00202500,IBM,C,202.5,2024-08-30,209,0,303,0.42,1724788222910000000,200,8400.0,2024-08-27,Automatic Execution,Computer and Technology,Computer - Integrated Systems,197.44,199.4,196.97,198.73,3408,3.9242792860618816,5,0,0,0,1
IBM,Computer and Technology,Computer - Integrated Systems,40__0,40,0.0,8. p75_trade_value,8100.0,15775.0,O:IBM240906C00205000,IBM,C,205.0,2024-09-06,209,0,312,0.49,1724766822633000000,200,9800.0,2024-08-27,Automatic Execution,Computer and Technology,Computer - Integrated Systems,197.44,199.4,196.97,198.73,2737,3.9912260756924947,4,1,0,0,0
IBM,Computer and Technology,Computer - Integrated Systems,40__0,40,0.0,8. p75_trade_value,8100.0,15775.0,O:IBM240906P00195000,IBM,P,195.0,2024-09-06,209,0,325,1.36,1724765570936000000,73,9928.0,2024-08-27,Automatic Execution,Computer and Technology,Computer - Integrated Systems,197.44,199.4,196.97,198.73,2693,3.9968617684906733,4,0,0,0,1
IBM,Computer and Technology,Computer - Integrated Systems,40__0,40,0.0,8. p75_trade_value,8100.0,15775.0,O:IBM240920C00205000,IBM,C,205.0,2024-09-20,209,0,323,1.4,1724767530137000000,69,9660.0,2024-08-27,Automatic Execution,Computer and Technology,Computer - Integrated Systems,197.44,199.4,196.97,198.73,2789,3.9849771264154934,4,1,1,1,0
IBM,Computer and Technology,Computer - Integrated Systems,40__0,40,0.0,8. p75_trade_value,8100.0,15775.0,O:IBM240920C00205000,IBM,C,205.0,2024-09-20,209,0,323,1.4,1724767578909000000,72,10080.0,2024-08-27,Automatic Execution,Computer and Technology,Computer - Integrated Systems,197.44,199.4,196.97,198.73,2635,4.003460532109506,4,1,1,1,0
IBM,Computer and Technology,Computer - Integrated Systems,40__0,40,0.0,8. p75_trade_value,8100.0,15775.0,O:IBM240920C00205000,IBM,C,205.0,2024-09-20,209,0,323,1.4,1724767453730000000,72,10080.0,2024-08-27,Automatic Execution,Computer and Technology,Computer - Integrated Systems,197.44,199.4,196.97,198.73,2636,4.003460532109506,4,1,1,1,0
IBM,Computer and Technology,Computer - Integrated Systems,40__0,40,0.0,8. p75_trade_value,8100.0,15775.0,O:IBM240920C00205000,IBM,C,205.0,2024-09-20,219,0,316,1.6,1724853013755000000,67,10720.0,2024-08-28,Intermarket Sweep Order,Computer and Technology,Computer - Integrated Systems,199.0,200.0,197.49,198.46,2424,4.030194785356751,4,1,1,1,0
IBM,Computer and Technology,Computer - Integrated Systems,40__0,40,0.0,8. p75_trade_value,8100.0,15775.0,O:IBM240920C00205000,IBM,C,205.0,2024-09-20,209,0,323,1.6,1724852999606000000,75,12000.0,2024-08-28,Automatic Execution,Computer and Technology,Computer - Integrated Systems,199.0,200.0,197.49,198.46,2101,4.079181246047625,3,1,1,1,0
IBM,Computer and Technology,Computer - Integrated Systems,40__0,40,0.0,8. p75_trade_value,8100.0,15775.0,O:IBM240920C00205000,IBM,C,205.0,2024-09-20,209,0,323,1.6,1724853001391000000,74,11840.0,2024-08-28,Automatic Execution,Computer and Technology,Computer - Integrated Systems,199.0,200.0,197.49,198.46,2135,4.073351702386901,3,1,1,1,0
