security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
AAPL,Computer and Technology,Computer - Micro Computers,55__0,55,0.0,1. p999999_trade_value,2497965.0,2497965.0,1.0,1.0,1.0,0.75,2. BELOW BASELINE,1.0,1.0,1.0
AAPL,Computer and Technology,Computer - Micro Computers,55__0,55,0.0,2. p99999_trade_value,2217600.0,1667080.0,3.0,4.0,0.75,0.75,2. BELOW BASELINE,4.0,5.0,0.8
AAPL,Computer and Technology,Computer - Micro Computers,55__0,55,0.0,3. p9999_trade_value,1606600.0,795832.0,29.0,39.0,0.7435897435897436,0.75,2. BELOW BASELINE,33.0,44.0,0.75
AAPL,Computer and Technology,Computer - Micro Computers,55__0,55,0.0,4. p999_trade_value,781200.0,246169.0,212.0,392.0,0.5408163265306123,0.75,2. BELOW BASELINE,245.0,436.0,0.5619266055045872
AAPL,Computer and Technology,Computer - Micro Computers,55__0,55,0.0,5. p99_trade_value,246000.0,64500.0,2298.0,3926.0,0.5853285787060621,0.75,2. BELOW BASELINE,2543.0,4362.0,0.5829894543787254
AAPL,Computer and Technology,Computer - Micro Computers,55__0,55,0.0,6. p95_trade_value,64480.00000000001,25350.0,9962.0,17431.0,0.5715105272216167,0.75,2. BELOW BASELINE,12505.0,21793.0,0.5738081035194788
AAPL,Computer and Technology,Computer - Micro Computers,55__0,55,0.0,7. p90_trade_value,25347.0,16600.0,11843.0,21805.0,0.5431323091034167,0.75,2. BELOW BASELINE,24348.0,43598.0,0.5584659846781962
AAPL,Computer and Technology,Computer - Micro Computers,55__0,55,0.0,8. p75_trade_value,16598.0,8930.0,34199.0,65351.0,0.5233125736408012,0.75,2. BELOW BASELINE,58547.0,108949.0,0.5373798749873794
AMD,Computer and Technology,Computer - Integrated Systems,55__0,55,0.0,1. p999999_trade_value,2739982.0000000005,2739982.0000000005,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
AMD,Computer and Technology,Computer - Integrated Systems,55__0,55,0.0,2. p99999_trade_value,2027400.0,1938000.0,2.0,2.0,1.0,0.75,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
AMD,Computer and Technology,Computer - Integrated Systems,55__0,55,0.0,3. p9999_trade_value,1881000.0,1178230.0,9.0,20.0,0.45,0.75,2. BELOW BASELINE,11.0,23.0,0.4782608695652174
AMD,Computer and Technology,Computer - Integrated Systems,55__0,55,0.0,4. p999_trade_value,1161135.0,325260.0,104.0,207.0,0.5024154589371981,0.75,2. BELOW BASELINE,115.0,230.0,0.5
AMD,Computer and Technology,Computer - Integrated Systems,55__0,55,0.0,5. p99_trade_value,325000.0,60098.99999999999,1040.0,2063.0,0.5041202132816287,0.75,2. BELOW BASELINE,1155.0,2293.0,0.5037069341474052
AMD,Computer and Technology,Computer - Integrated Systems,55__0,55,0.0,6. p95_trade_value,60098.0,23120.0,4663.0,9170.0,0.5085059978189749,0.75,2. BELOW BASELINE,5818.0,11463.0,0.507546017621914
AMD,Computer and Technology,Computer - Integrated Systems,55__0,55,0.0,7. p90_trade_value,23115.0,15000.0,5738.0,11537.0,0.49735633180202826,0.75,2. BELOW BASELINE,11556.0,23000.0,0.5024347826086957
AMD,Computer and Technology,Computer - Integrated Systems,55__0,55,0.0,8. p75_trade_value,14996.0,8280.0,16926.0,34417.0,0.4917918470523288,0.75,2. BELOW BASELINE,28482.0,57417.0,0.496055175296515
MSFT,Computer and Technology,Computer - Software,55__0,55,0.0,1. p999999_trade_value,4961232.0,4961232.0,1.0,1.0,1.0,0.75,2. BELOW BASELINE,1.0,1.0,1.0
