security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,security_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR240906C00137000,MSTR,C,137.0,2024-09-06,235,0,313,2.35,1725031781996000000,31735,7457725.0,2024-08-30,Multi Leg floor trade,Computer and Technology,Computer - Software,134.0,135.2499,128.3,132.42,67,6.872606364921712,1,0,0,0,1
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR240913C00132000,MSTR,C,132.0,2024-09-13,235,0,313,2.72,1725552594006000000,35115,9551280.0,2024-09-05,Multi Leg floor trade,Computer and Technology,Computer - Software,122.35,126.83,119.43,119.57,41,6.980061576786504,1,1,1,1,0
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR240920C00150000,MSTR,C,150.0,2024-09-20,235,0,313,2.8,1726250231939000000,33290,9321200.0,2024-09-13,Multi Leg floor trade,Computer and Technology,Computer - Software,131.1,143.0,129.84,141.47,42,6.969471826498887,1,0,0,0,1
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR240927C00150000,MSTR,C,150.0,2024-09-27,233,0,304,4.25,1726852798143000000,16790,7135750.0,2024-09-20,Multi Leg Auction,Computer and Technology,Computer - Software,144.39,148.03,141.64,144.78,73,6.853439626188361,1,1,1,1,0
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241004C00175000,MSTR,C,175.0,2024-10-04,235,0,313,4.47,1727371132813000000,33490,14970029.999999998,2024-09-26,Multi Leg floor trade,Computer and Technology,Computer - Software,157.63,167.51,156.3806,165.98,17,7.175222670671803,1,1,1,1,0
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241011C00182500,MSTR,C,182.5,2024-10-11,235,0,301,4.34,1728068953064000000,33490,14534660.0,2024-10-04,Multi Leg floor trade,Computer and Technology,Computer - Software,166.72,176.55,163.9651,176.51,18,7.162404877052378,1,1,1,1,0
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241018C00225000,MSTR,C,225.0,2024-10-18,233,0,304,3.82,1728411662421000000,16745,6396589.999999999,2024-10-08,Multi Leg Auction,Computer and Technology,Computer - Software,186.1,198.49,184.45,192.2,81,6.805948514787595,1,1,0,0,0
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241025C00220000,MSTR,C,220.0,2024-10-25,233,0,304,6.11,1729264691640000000,16500,10081500.0,2024-10-18,Multi Leg Auction,Computer and Technology,Computer - Software,197.59,218.65,197.1,215.86,38,7.003525154456461,1,1,1,1,0
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241025C00230000,MSTR,C,230.0,2024-10-25,233,0,304,6.51,1729276181698000000,13745,8947995.0,2024-10-18,Multi Leg Auction,Computer and Technology,Computer - Software,197.59,218.65,197.1,215.86,47,6.951725732747679,1,1,1,1,0
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241101C00255000,MSTR,C,255.0,2024-11-01,233,0,308,6.96,1729876633746000000,15850,11031600.0,2024-10-25,Multi Leg Auction,Computer and Technology,Computer - Software,236.385,245.5657,227.75,234.34,33,7.042638506164333,1,1,1,0,0
