security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
AAPL,Computer and Technology,Computer - Micro Computers,0.75,,,,435787,55__0,55,0.0,16600.0,25350.0,64500.0,246036.17,787365.92,1645436.63,2375785.86
ACIW,Computer and Technology,Computer - Software,0.75,5216.0,1. p999999_trade_value,1.0,2,5__0,5,0.0,5044.4,5130.2,5198.84,5214.28,5215.83,5215.98,5216.0
ADBE,Computer and Technology,Computer - Software,0.75,,,,47042,45__1,45,1.0,16214.2,25500.0,70424.45,252510.61,943595.35,1652566.59,1694761.66
AGYS,Computer and Technology,Computer - Integrated Systems,0.75,,,,16,10__0,10,0.0,9000.0,17350.0,29230.0,31903.0,32170.3,32197.03,32199.7
AMD,Computer and Technology,Computer - Integrated Systems,0.75,,,,229239,55__0,55,0.0,15000.0,23120.0,60098.62,325198.12,1162437.64,1921334.34,2576631.13
ANSS,Computer and Technology,Computer - Software,0.75,,,,280,25__0,25,0.0,8820.0,15200.0,55025.0,199053.0,222405.3,224740.53,224974.05
BLKB,Computer and Technology,Computer - Software,0.75,7600.0,1. p999999_trade_value,2.0,6,10__0,10,0.0,7600.0,7600.0,7600.0,7600.0,7600.0,7600.0,7600.0
CACI,Computer and Technology,Computer - Services,0.75,25350.0,6. p95_trade_value,11.0,210,25__0,25,0.0,12077.1,24715.5,84414.05,262835.51,264747.55,264938.76,264957.88
CDNS,Computer and Technology,Computer - Software,0.75,332464.0,1. p999999_trade_value,1.0,2291,35__0,35,0.0,15300.0,22800.0,76335.0,213794.0,305390.7,329756.67,332193.27
CRM,Computer and Technology,Computer - Software,0.75,,,,43802,45__0,45,0.0,18000.0,28320.0,70754.25,258087.81,1068377.4,3215182.95,4281518.3
CSCO,Computer and Technology,Computer - Networking,0.75,,,,4673,35__0,35,0.0,15044.0,22604.0,67170.84,291300.52,832061.4,1154099.04,1186302.8
CVLT,Computer and Technology,Computer - Software,0.75,765000.0,4. p999_trade_value,2.0,1488,30__1,30,1.0,19810.0,27440.0,59964.6,635214.5,880606.54,898780.65,900598.07
DELL,Computer and Technology,Computer - Micro Computers,0.75,651000.0,1. p999999_trade_value,1.0,29963,45__1,45,1.0,16524.0,25497.6,64816.16,202891.4,496711.12,612461.38,647146.14
DSGX,Computer and Technology,Computer - Software,0.75,15741.0,7. p90_trade_value,3.0,24,15__0,15,0.0,13777.5,24546.15,29156.9,29978.69,30060.87,30069.09,30069.91
EXTR,Computer and Technology,Computer - Networking,0.75,78771.99999999999,1. p999999_trade_value,1.0,20,15__0,15,0.0,17292.8,48520.2,72721.64,78166.96,78711.5,78765.95,78771.39
FARO,Computer and Technology,Computer - Integrated Systems,0.75,20000.0,1. p999999_trade_value,1.0,6,10__0,10,0.0,15000.0,17500.0,19500.0,19950.0,19995.0,19999.5,19999.95
GIB,Computer and Technology,Computer - Services,0.75,,,,1,0__2,0,2.0,3420.0,3420.0,3420.0,3420.0,3420.0,3420.0,3420.0
HPE,Computer and Technology,Computer - Integrated Systems,0.75,235000.0,4. p999_trade_value,2.0,1302,30__2,30,2.0,14230.6,21221.05,49980.0,229444.44,324164.75,336166.48,337366.65
HPQ,Computer and Technology,Computer - Micro Computers,0.75,,,,1117,30__2,30,2.0,14913.2,21600.0,54364.48,280438.9,298936.97,299834.3,299924.03
IBM,Computer and Technology,Computer - Integrated Systems,0.75,285417.0,4. p999_trade_value,15.0,14280,40__0,40,0.0,15776.0,24074.0,60726.3,283208.16,826530.12,898064.82,899086.48
ICAD,Computer and Technology,Computer - Software,0.75,,,,1,0__2,0,2.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0
IMMR,Computer and Technology,Computer - Peripheral Equipment,0.75,,,,9,10__0,10,0.0,9504.0,11502.0,13100.4,13460.04,13496.0,13499.6,13499.96
