security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
AVGO,Computer and Technology,Electronics - Semiconductors,55__0,55,0.0,3. p9999_trade_value,763500.0,1524000.0,O:AVGO240920P00133000,AVGO,P,133.0,2024-09-20,235,0,313,1.15,1725553404494000000,7550,868250.0,2024-09-05,Multi Leg floor trade,Computer and Technology,Electronics - Semiconductors,150.565,156.36,150.11,152.82,16,5.9386447919828,1,0,0,0,1
AVGO,Computer and Technology,Electronics - Semiconductors,55__0,55,0.0,3. p9999_trade_value,763500.0,1524000.0,O:AVGO241025C00180000,AVGO,C,180.0,2024-10-25,229,0,313,3.56,1729100941413000000,4000,1424000.0,2024-10-16,Single Leg Cross Non ISO,Computer and Technology,Electronics - Semiconductors,178.51,179.25,175.33,176.82,5,6.153509989300837,1,1,0,0,0
AVGO,Computer and Technology,Electronics - Semiconductors,55__0,55,0.0,3. p9999_trade_value,763500.0,1524000.0,O:AVGO241213P00167500,AVGO,P,167.5,2024-12-13,234,0,301,5.08,1733423193798000000,3000,1524000.0,2024-12-05,Multi Leg Cross,Computer and Technology,Electronics - Semiconductors,170.75,172.3981,169.2,170.47,4,6.1829849670035815,1,0,0,0,1
AVGO,Computer and Technology,Electronics - Semiconductors,55__0,55,0.0,3. p9999_trade_value,763500.0,1524000.0,O:AVGO241213C00187500,AVGO,C,187.5,2024-12-13,241,0,323,3.3,1734016806250000000,3000,990000.0,2024-12-12,Stock Options Cross,Computer and Technology,Electronics - Semiconductors,180.93,182.0,175.99,180.66,11,5.99563519459755,1,1,1,1,0
AVGO,Computer and Technology,Electronics - Semiconductors,55__0,55,0.0,3. p9999_trade_value,763500.0,1524000.0,O:AVGO241213C00187500,AVGO,C,187.5,2024-12-13,241,0,323,3.05,1734019500277000000,3000,915000.0,2024-12-12,Stock Options Cross,Computer and Technology,Electronics - Semiconductors,180.93,182.0,175.99,180.66,14,5.9614210940664485,1,1,1,1,0
AVGO,Computer and Technology,Electronics - Semiconductors,55__0,55,0.0,3. p9999_trade_value,763500.0,1524000.0,O:AVGO241213C00187500,AVGO,C,187.5,2024-12-13,234,0,301,3.0,1734022216283000000,3000,900000.0,2024-12-12,Multi Leg Cross,Computer and Technology,Electronics - Semiconductors,180.93,182.0,175.99,180.66,15,5.954242509439325,1,1,1,1,0
AVGO,Computer and Technology,Electronics - Semiconductors,55__0,55,0.0,3. p9999_trade_value,763500.0,1524000.0,O:AVGO250117C00250000,AVGO,C,250.0,2025-01-17,241,0,323,5.7,1735315148180000000,1450,826500.0,2024-12-27,Stock Options Cross,Computer and Technology,Electronics - Semiconductors,245.64,245.78,236.3532,241.75,18,5.917242857907466,1,0,0,0,1
AVGO,Computer and Technology,Electronics - Semiconductors,55__0,55,0.0,3. p9999_trade_value,763500.0,1524000.0,O:AVGO250321P00215000,AVGO,P,215.0,2025-03-21,229,0,301,11.2,1740168560262000000,1000,1120000.0,2025-02-21,Single Leg Cross Non ISO,Computer and Technology,Electronics - Semiconductors,225.65,227.75,215.63,218.66,9,6.049218022670182,1,1,1,1,0
AVGO,Computer and Technology,Electronics - Semiconductors,55__0,55,0.0,2. p99999_trade_value,1906000.0,3228100.0,O:AVGO250314P00180000,AVGO,P,180.0,2025-03-14,233,0,302,9.5,1741102251396000000,3398,3228100.0,2025-03-04,Multi Leg Auction,Computer and Technology,Electronics - Semiconductors,189.215,193.95,180.48,187.48,2,6.508946979821874,1,1,0,0,0
AVGO,Computer and Technology,Electronics - Semiconductors,55__0,55,0.0,3. p9999_trade_value,763500.0,1524000.0,O:AVGO250307C00195000,AVGO,C,195.0,2025-03-07,241,0,323,7.1,1741187998732000000,1500,1065000.0,2025-03-05,Stock Options Cross,Computer and Technology,Electronics - Semiconductors,191.86,194.08,187.1,191.58,10,6.027349607774757,1,1,1,0,0
