security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ADP,Computer and Technology,Internet - Software,25__0,25,0.0,1. p999999_trade_value,168000.0,168000.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
ADP,Computer and Technology,Internet - Software,25__0,25,0.0,5. p99_trade_value,143395.0,61500.0,2.0,5.0,0.4,0.75,2. BELOW BASELINE,2.0,6.0,0.3333333333333333
ADP,Computer and Technology,Internet - Software,25__0,25,0.0,6. p95_trade_value,45816.0,20435.0,12.0,20.0,0.6,0.75,2. BELOW BASELINE,14.0,26.0,0.5384615384615384
ADP,Computer and Technology,Internet - Software,25__0,25,0.0,7. p90_trade_value,19845.0,14391.0,20.0,25.0,0.8,0.75,2. BELOW BASELINE,34.0,51.0,0.6666666666666666
ADP,Computer and Technology,Internet - Software,25__0,25,0.0,8. p75_trade_value,14250.0,8000.0,40.0,77.0,0.5194805194805194,0.75,2. BELOW BASELINE,74.0,128.0,0.578125
ARQQ,Computer and Technology,Internet - Software,25__0,25,0.0,1. p999999_trade_value,50235.0,50235.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
ARQQ,Computer and Technology,Internet - Software,25__0,25,0.0,5. p99_trade_value,40000.0,40000.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,2.0,2.0,1.0
ARQQ,Computer and Technology,Internet - Software,25__0,25,0.0,6. p95_trade_value,38610.0,16000.0,6.0,8.0,0.75,0.75,1. ABOVE BASELINE,8.0,10.0,0.8
ARQQ,Computer and Technology,Internet - Software,25__0,25,0.0,7. p90_trade_value,15263.999999999998,10349.999999999998,3.0,10.0,0.3,0.75,2. BELOW BASELINE,11.0,20.0,0.55
ARQQ,Computer and Technology,Internet - Software,25__0,25,0.0,8. p75_trade_value,10260.0,6500.0,16.0,30.0,0.5333333333333333,0.75,2. BELOW BASELINE,27.0,50.0,0.54
BB,Computer and Technology,Internet - Software,25__0,25,0.0,1. p999999_trade_value,144096.0,144096.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
BB,Computer and Technology,Internet - Software,25__0,25,0.0,5. p99_trade_value,126083.99999999999,42000.0,1.0,2.0,0.5,0.75,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
BB,Computer and Technology,Internet - Software,25__0,25,0.0,6. p95_trade_value,24934.000000000004,13797.0,6.0,11.0,0.5454545454545454,0.75,2. BELOW BASELINE,7.0,14.0,0.5
BB,Computer and Technology,Internet - Software,25__0,25,0.0,7. p90_trade_value,13284.0,10500.0,7.0,14.0,0.5,0.75,2. BELOW BASELINE,14.0,28.0,0.5
BB,Computer and Technology,Internet - Software,25__0,25,0.0,8. p75_trade_value,10000.0,6430.0,17.0,42.0,0.40476190476190477,0.75,2. BELOW BASELINE,31.0,70.0,0.44285714285714284
BOX,Computer and Technology,Internet - Software,25__0,25,0.0,1. p999999_trade_value,213572.00000000003,213572.00000000003,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
BOX,Computer and Technology,Internet - Software,25__0,25,0.0,5. p99_trade_value,54450.0,52500.0,0.0,2.0,0.0,0.75,2. BELOW BASELINE,0.0,3.0,0.0
BOX,Computer and Technology,Internet - Software,25__0,25,0.0,6. p95_trade_value,47586.0,18000.0,3.0,8.0,0.375,0.75,2. BELOW BASELINE,3.0,11.0,0.2727272727272727
BOX,Computer and Technology,Internet - Software,25__0,25,0.0,7. p90_trade_value,16932.000000000004,13688.0,5.0,10.0,0.5,0.75,2. BELOW BASELINE,8.0,21.0,0.38095238095238093
BOX,Computer and Technology,Internet - Software,25__0,25,0.0,8. p75_trade_value,12865.0,7734.999999999999,13.0,32.0,0.40625,0.75,2. BELOW BASELINE,21.0,53.0,0.39622641509433965
BRZE,Computer and Technology,Internet - Software,25__0,25,0.0,1. p999999_trade_value,169020.0,169020.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
BRZE,Computer and Technology,Internet - Software,25__0,25,0.0,5. p99_trade_value,140000.0,100000.0,2.0,3.0,0.6666666666666666,0.75,2. BELOW BASELINE,3.0,4.0,0.75
BRZE,Computer and Technology,Internet - Software,25__0,25,0.0,6. p95_trade_value,87768.0,27000.0,9.0,16.0,0.5625,0.75,2. BELOW BASELINE,12.0,20.0,0.6
BRZE,Computer and Technology,Internet - Software,25__0,25,0.0,7. p90_trade_value,26200.0,16165.0,17.0,21.0,0.8095238095238095,0.75,2. BELOW BASELINE,29.0,41.0,0.7073170731707317
BRZE,Computer and Technology,Internet - Software,25__0,25,0.0,8. p75_trade_value,15800.0,8240.0,41.0,56.0,0.7321428571428571,0.75,2. BELOW BASELINE,70.0,97.0,0.7216494845360825
DBX,Computer and Technology,Internet - Services,25__0,25,0.0,1. p999999_trade_value,682000.0000000001,682000.0000000001,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
DBX,Computer and Technology,Internet - Services,25__0,25,0.0,5. p99_trade_value,280000.0,240000.0,2.0,3.0,0.6666666666666666,0.75,2. BELOW BASELINE,3.0,4.0,0.75
DBX,Computer and Technology,Internet - Services,25__0,25,0.0,6. p95_trade_value,180000.0,38976.0,9.0,15.0,0.6,0.75,2. BELOW BASELINE,12.0,19.0,0.631578947368421
DBX,Computer and Technology,Internet - Services,25__0,25,0.0,7. p90_trade_value,34800.0,20735.0,10.0,19.0,0.5263157894736842,0.75,2. BELOW BASELINE,22.0,38.0,0.5789473684210527
DBX,Computer and Technology,Internet - Services,25__0,25,0.0,8. p75_trade_value,17120.0,8690.0,44.0,57.0,0.7719298245614035,0.75,2. BELOW BASELINE,66.0,95.0,0.6947368421052632
FFIV,Computer and Technology,Internet - Software,25__0,25,0.0,1. p999999_trade_value,89500.0,89500.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
FFIV,Computer and Technology,Internet - Software,25__0,25,0.0,5. p99_trade_value,65570.0,44000.00000000001,4.0,5.0,0.8,0.75,1. ABOVE BASELINE,5.0,6.0,0.8333333333333334
FFIV,Computer and Technology,Internet - Software,25__0,25,0.0,6. p95_trade_value,42560.0,25350.0,14.0,20.0,0.7,0.75,2. BELOW BASELINE,19.0,26.0,0.7307692307692307
FFIV,Computer and Technology,Internet - Software,25__0,25,0.0,7. p90_trade_value,24640.000000000004,17100.0,19.0,25.0,0.76,0.75,2. BELOW BASELINE,38.0,51.0,0.7450980392156863
FFIV,Computer and Technology,Internet - Software,25__0,25,0.0,8. p75_trade_value,17000.0,8470.0,57.0,77.0,0.7402597402597403,0.75,2. BELOW BASELINE,95.0,128.0,0.7421875
FIVN,Computer and Technology,Internet - Software,25__0,25,0.0,1. p999999_trade_value,287500.0,287500.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
FIVN,Computer and Technology,Internet - Software,25__0,25,0.0,5. p99_trade_value,184440.0,88000.00000000001,0.0,4.0,0.0,0.75,2. BELOW BASELINE,1.0,5.0,0.2
FIVN,Computer and Technology,Internet - Software,25__0,25,0.0,6. p95_trade_value,75000.0,39220.0,4.0,11.0,0.36363636363636365,0.75,2. BELOW BASELINE,5.0,16.0,0.3125
FIVN,Computer and Technology,Internet - Software,25__0,25,0.0,7. p90_trade_value,37500.0,22000.0,7.0,15.0,0.4666666666666667,0.75,2. BELOW BASELINE,12.0,31.0,0.3870967741935484
FIVN,Computer and Technology,Internet - Software,25__0,25,0.0,8. p75_trade_value,21200.0,10500.0,34.0,46.0,0.7391304347826086,0.75,2. BELOW BASELINE,46.0,77.0,0.5974025974025974
FROG,Computer and Technology,Internet - Software,25__0,25,0.0,1. p999999_trade_value,250740.0,250740.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
