security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
ADSK,Computer and Technology,Internet - Software,0.55,,,,4229,35__0,35,0.0,13456.0,21045.0,51127.04,184401.73,343149.1,413259.91,420270.99
BEKE,Computer and Technology,Internet - Services,0.55,789842.0,1. p999999_trade_value,1.0,2354,35__3,35,3.0,17708.4,28748.0,100887.0,407645.0,787526.18,789610.42,789818.84
BILL,Computer and Technology,Internet - Software,0.55,,,,2182,35__4,35,4.0,15692.5,24924.0,82875.0,635022.0,1067261.7,1150726.17,1159072.62
DOCU,Computer and Technology,Internet - Software,0.55,183000.0,4. p999_trade_value,4.0,3990,35__0,35,0.0,15400.0,22577.5,51743.14,170143.0,361082.01,380016.2,381909.62
GTLB,Computer and Technology,Internet - Software,0.55,8750.0,8. p75_trade_value,700.0,2799,35__0,35,0.0,15502.0,22495.5,56128.4,167962.42,344959.04,351097.9,351711.79
HUBS,Computer and Technology,Internet - Software,0.55,,,,2177,35__0,35,0.0,15750.0,24800.0,80164.4,326459.84,366015.16,366069.02,366074.4
IOT,Computer and Technology,Internet - Software,0.55,9558.000000000002,8. p75_trade_value,752.0,3006,35__1,35,1.0,19975.0,37995.0,199197.25,801729.37,1082627.71,1188262.77,1198826.28
LYFT,Computer and Technology,Internet - Services,0.55,184932.0,4. p999_trade_value,4.0,3197,35__0,35,0.0,15276.6,21202.0,59964.4,178085.33,485398.91,489104.29,489474.83
MNDY,Computer and Technology,Internet - Software,0.55,,,,3012,35__3,35,3.0,17809.0,28000.0,94080.0,398900.8,691899.27,735189.93,739518.99
PINS,Computer and Technology,Internet - Software,0.55,,,,5203,35__4,35,4.0,15200.0,24836.8,124391.02,699875.91,1745897.89,1983814.79,2007606.48
RBRK,Computer and Technology,Internet - Software,0.55,,,,2837,35__4,35,4.0,18200.0,27650.0,87560.0,554752.67,1934096.16,2071772.62,2085540.26
SE,Computer and Technology,Internet - Software,0.55,,,,5057,35__4,35,4.0,14340.0,22253.0,61959.2,323460.0,1426835.56,1478916.26,1484124.33
TOST,Computer and Technology,Internet - Software,0.55,,,,1906,35__0,35,0.0,14686.0,22823.5,47475.0,89524.0,172760.5,182876.05,183887.6
Z,Computer and Technology,Internet - Services,0.55,,,,2090,35__0,35,0.0,12900.0,19000.0,46780.57,128949.29,162430.9,166003.09,166360.31
ZM,Computer and Technology,Internet - Software,0.55,377718.0,4. p999_trade_value,6.0,5222,35__0,35,0.0,15716.0,24597.6,58701.78,349518.84,683832.75,788383.28,798838.33
