security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ALAB,Computer and Technology,Internet - Software,40__0,40,0.0,1. p999999_trade_value,3600000.0,3600000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ALAB,Computer and Technology,Internet - Software,40__0,40,0.0,3. p9999_trade_value,1700000.0,1700000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
ALAB,Computer and Technology,Internet - Software,40__0,40,0.0,4. p999_trade_value,1626183.0,715340.0,7.0,9.0,0.7777777777777778,0.55,1. ABOVE BASELINE,9.0,11.0,0.8181818181818182
ALAB,Computer and Technology,Internet - Software,40__0,40,0.0,5. p99_trade_value,659483.0,107140.00000000001,59.0,92.0,0.6413043478260869,0.55,1. ABOVE BASELINE,68.0,103.0,0.6601941747572816
ALAB,Computer and Technology,Internet - Software,40__0,40,0.0,6. p95_trade_value,104805.0,27059.999999999996,244.0,412.0,0.5922330097087378,0.55,1. ABOVE BASELINE,312.0,515.0,0.6058252427184466
ALAB,Computer and Technology,Internet - Software,40__0,40,0.0,7. p90_trade_value,27000.0,17150.0,309.0,514.0,0.6011673151750972,0.55,1. ABOVE BASELINE,621.0,1029.0,0.6034985422740525
ALAB,Computer and Technology,Internet - Software,40__0,40,0.0,8. p75_trade_value,17125.0,9000.0,896.0,1568.0,0.5714285714285714,0.55,1. ABOVE BASELINE,1517.0,2597.0,0.5841355410088563
ANET,Computer and Technology,Internet - Software,40__1,40,1.0,1. p999999_trade_value,926250.0,926250.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ANET,Computer and Technology,Internet - Software,40__1,40,1.0,3. p9999_trade_value,537000.0,537000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
ANET,Computer and Technology,Internet - Software,40__1,40,1.0,4. p999_trade_value,475000.0,208680.00000000003,10.0,13.0,0.7692307692307693,0.55,1. ABOVE BASELINE,12.0,15.0,0.8
ANET,Computer and Technology,Internet - Software,40__1,40,1.0,5. p99_trade_value,208610.0,59616.00000000001,81.0,134.0,0.6044776119402985,0.55,1. ABOVE BASELINE,93.0,149.0,0.6241610738255033
ANET,Computer and Technology,Internet - Software,40__1,40,1.0,6. p95_trade_value,59600.0,23355.0,369.0,594.0,0.6212121212121212,0.55,1. ABOVE BASELINE,462.0,743.0,0.6218034993270525
ANET,Computer and Technology,Internet - Software,40__1,40,1.0,7. p90_trade_value,23275.0,15660.0,431.0,745.0,0.5785234899328859,0.55,1. ABOVE BASELINE,893.0,1488.0,0.6001344086021505
ANET,Computer and Technology,Internet - Software,40__1,40,1.0,8. p75_trade_value,15630.999999999998,8483.999999999998,1205.0,2224.0,0.54181654676259,0.55,2. BELOW BASELINE,2098.0,3712.0,0.5651939655172413
DASH,Computer and Technology,Internet - Services,40__0,40,0.0,1. p999999_trade_value,1155000.0,1155000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
DASH,Computer and Technology,Internet - Services,40__0,40,0.0,3. p9999_trade_value,1074000.0,1074000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
DASH,Computer and Technology,Internet - Services,40__0,40,0.0,4. p999_trade_value,980000.0,464000.0,6.0,9.0,0.6666666666666666,0.55,1. ABOVE BASELINE,8.0,11.0,0.7272727272727273
DASH,Computer and Technology,Internet - Services,40__0,40,0.0,5. p99_trade_value,415000.0,79100.0,68.0,99.0,0.6868686868686869,0.55,1. ABOVE BASELINE,76.0,110.0,0.6909090909090909
