security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
GSAT,Computer and Technology,Satellite and Communication,20__0,20,0.0,1. p999999_trade_value,220000.0,220000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
GSAT,Computer and Technology,Satellite and Communication,20__0,20,0.0,5. p99_trade_value,60000.0,60000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
GSAT,Computer and Technology,Satellite and Communication,20__0,20,0.0,6. p95_trade_value,48620.00000000001,36600.0,4.0,5.0,0.8,0.55,1. ABOVE BASELINE,6.0,7.0,0.8571428571428571
GSAT,Computer and Technology,Satellite and Communication,20__0,20,0.0,7. p90_trade_value,36000.0,13100.0,2.0,6.0,0.3333333333333333,0.55,2. BELOW BASELINE,8.0,13.0,0.6153846153846154
GSAT,Computer and Technology,Satellite and Communication,20__0,20,0.0,8. p75_trade_value,13000.0,8150.0,10.0,19.0,0.5263157894736842,0.55,2. BELOW BASELINE,18.0,32.0,0.5625
IRDM,Computer and Technology,Satellite and Communication,15__0,15,0.0,1. p999999_trade_value,17464.999999999996,17464.999999999996,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
IRDM,Computer and Technology,Satellite and Communication,15__0,15,0.0,7. p90_trade_value,14000.0,14000.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
IRDM,Computer and Technology,Satellite and Communication,15__0,15,0.0,8. p75_trade_value,12500.0,10945.0,1.0,3.0,0.3333333333333333,0.55,2. BELOW BASELINE,2.0,5.0,0.4
PL,Computer and Technology,Satellite and Communication,25__1,25,1.0,1. p999999_trade_value,50640.0,50640.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
PL,Computer and Technology,Satellite and Communication,25__1,25,1.0,5. p99_trade_value,41020.0,26009.999999999996,0.0,3.0,0.0,0.55,2. BELOW BASELINE,0.0,4.0,0.0
PL,Computer and Technology,Satellite and Communication,25__1,25,1.0,6. p95_trade_value,24975.0,13500.0,0.0,13.0,0.0,0.55,2. BELOW BASELINE,0.0,17.0,0.0
PL,Computer and Technology,Satellite and Communication,25__1,25,1.0,7. p90_trade_value,13275.0,9860.0,0.0,17.0,0.0,0.55,2. BELOW BASELINE,0.0,34.0,0.0
PL,Computer and Technology,Satellite and Communication,25__1,25,1.0,8. p75_trade_value,9750.0,6720.0,3.0,50.0,0.06,0.55,2. BELOW BASELINE,3.0,84.0,0.03571428571428571
SATL,Computer and Technology,Satellite and Communication,10__0,10,0.0,1. p999999_trade_value,6950.0,6950.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
SATL,Computer and Technology,Satellite and Communication,10__0,10,0.0,8. p75_trade_value,4752.0,4752.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
SATS,Computer and Technology,Satellite and Communication,25__1,25,1.0,1. p999999_trade_value,699525.0,699525.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
SATS,Computer and Technology,Satellite and Communication,25__1,25,1.0,5. p99_trade_value,365000.0,245000.0,1.0,5.0,0.2,0.55,2. BELOW BASELINE,2.0,6.0,0.3333333333333333
SATS,Computer and Technology,Satellite and Communication,25__1,25,1.0,6. p95_trade_value,224640.0,36295.0,7.0,20.0,0.35,0.55,2. BELOW BASELINE,9.0,26.0,0.34615384615384615
SATS,Computer and Technology,Satellite and Communication,25__1,25,1.0,7. p90_trade_value,35700.0,15552.000000000002,19.0,26.0,0.7307692307692307,0.55,2. BELOW BASELINE,28.0,52.0,0.5384615384615384
SATS,Computer and Technology,Satellite and Communication,25__1,25,1.0,8. p75_trade_value,15300.0,8600.0,40.0,78.0,0.5128205128205128,0.55,2. BELOW BASELINE,68.0,130.0,0.5230769230769231
TSAT,Computer and Technology,Satellite and Communication,15__0,15,0.0,1. p999999_trade_value,11000.000000000002,11000.000000000002,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
TSAT,Computer and Technology,Satellite and Communication,15__0,15,0.0,7. p90_trade_value,8000.0,8000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
TSAT,Computer and Technology,Satellite and Communication,15__0,15,0.0,8. p75_trade_value,6000.0,5115.0,0.0,4.0,0.0,0.55,2. BELOW BASELINE,2.0,7.0,0.2857142857142857
