security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ADI,Computer and Technology,Semiconductor - Analog and Mixed,35__3,35,3.0,1. p999999_trade_value,462000.0,462000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
ADI,Computer and Technology,Semiconductor - Analog and Mixed,35__3,35,3.0,4. p999_trade_value,422717.99999999994,371752.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
ADI,Computer and Technology,Semiconductor - Analog and Mixed,35__3,35,3.0,5. p99_trade_value,365000.0,91125.0,14.0,23.0,0.6086956521739131,0.55,2. BELOW BASELINE,15.0,26.0,0.5769230769230769
ADI,Computer and Technology,Semiconductor - Analog and Mixed,35__3,35,3.0,6. p95_trade_value,90000.0,34000.0,38.0,108.0,0.35185185185185186,0.55,2. BELOW BASELINE,53.0,134.0,0.39552238805970147
ADI,Computer and Technology,Semiconductor - Analog and Mixed,35__3,35,3.0,7. p90_trade_value,33370.0,20300.0,49.0,125.0,0.392,0.55,2. BELOW BASELINE,102.0,259.0,0.3938223938223938
ADI,Computer and Technology,Semiconductor - Analog and Mixed,35__3,35,3.0,8. p75_trade_value,20239.999999999996,9000.0,216.0,396.0,0.5454545454545454,0.55,2. BELOW BASELINE,318.0,655.0,0.4854961832061069
INTC,Computer and Technology,Semiconductor - General,45__0,45,0.0,1. p999999_trade_value,1971000.0,1971000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
INTC,Computer and Technology,Semiconductor - General,45__0,45,0.0,3. p9999_trade_value,1296000.0,826200.0,2.0,3.0,0.6666666666666666,0.55,1. ABOVE BASELINE,3.0,4.0,0.75
INTC,Computer and Technology,Semiconductor - General,45__0,45,0.0,4. p999_trade_value,569999.9999999999,178500.0,19.0,35.0,0.5428571428571428,0.55,2. BELOW BASELINE,22.0,39.0,0.5641025641025641
INTC,Computer and Technology,Semiconductor - General,45__0,45,0.0,5. p99_trade_value,178364.0,56882.00000000001,185.0,350.0,0.5285714285714286,0.55,2. BELOW BASELINE,207.0,389.0,0.532133676092545
INTC,Computer and Technology,Semiconductor - General,45__0,45,0.0,6. p95_trade_value,56869.99999999999,22344.0,790.0,1554.0,0.5083655083655083,0.55,2. BELOW BASELINE,997.0,1943.0,0.5131240349974266
