security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
CSL,Conglomerates,Diversified Operations,0.55,8480.0,8. p75_trade_value,6.0,24,15__0,15,0.0,12150.0,13518.25,15591.1,16094.11,16144.41,16149.44,16149.94
FSS,Conglomerates,Diversified Operations,0.55,,,,3,5__3,5,3.0,18675.0,18675.0,18675.0,18675.0,18675.0,18675.0,18675.0
GFF,Conglomerates,Diversified Operations,0.55,,,,1,0__0,0,0.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0
HON,Conglomerates,Diversified Operations,0.55,,,,2542,35__4,35,4.0,13840.5,20471.25,47295.0,200895.75,1230797.25,1500079.73,1527007.97
IAC,Conglomerates,Diversified Operations,0.55,,,,99,20__0,20,0.0,9100.0,20010.0,34769.14,66483.21,69654.62,69971.76,70003.48
IEP,Conglomerates,Diversified Operations,0.55,160000.0,1. p999999_trade_value,1.0,103,20__0,20,0.0,10656.0,12942.5,92842.2,153245.56,159324.56,159932.46,159993.25
ITT,Conglomerates,Diversified Operations,0.55,448000.0,1. p999999_trade_value,1.0,144,20__2,20,2.0,72090.0,110000.0,218205.0,421688.0,445368.8,447736.88,447973.69
MKL,Conglomerates,Diversified Operations,0.55,5080.0,8. p75_trade_value,33.0,131,20__0,20,0.0,9000.0,12435.5,37393.8,46539.3,47403.93,47490.39,47499.04
MMM,Conglomerates,Diversified Operations,0.55,,,,3501,35__4,35,4.0,15543.0,26643.0,108605.0,772032.5,1700280.0,2088108.0,2126890.8
SRL,Conglomerates,Diversified Operations,0.55,,,,1,0__0,0,0.0,4475.0,4475.0,4475.0,4475.0,4475.0,4475.0,4475.0
VATE,Conglomerates,Diversified Operations,0.55,,,,1,0__2,0,2.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
