security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
AAON,Construction,Building Products - Air Conditioner and Heating,0.75,,,,59,20__0,20,0.0,35697.6,49727.5,61050.0,62355.0,62485.5,62498.55,62499.85
AZEK,Construction,Building Products - Air Conditioner and Heating,0.75,130000.0,1. p999999_trade_value,1.0,66,20__0,20,0.0,21424.0,53125.0,110500.0,128050.0,129805.0,129980.5,129998.05
BLD,Construction,Building Products - Miscellaneous,0.75,,,,148,20__0,20,0.0,13763.4,20200.0,38286.0,58771.8,61497.18,61769.72,61796.97
KNF,Construction,Building Products - Miscellaneous,0.75,95004.0,7. p90_trade_value,6.0,60,20__2,20,2.0,70250.4,110819.75,177300.0,193230.0,194823.0,194982.3,194998.23
LPX,Construction,Building Products - Wood,0.75,,,,112,20__0,20,0.0,12692.6,17674.8,31432.4,40072.12,40979.21,41069.92,41078.99
MAS,Construction,Building Products - Miscellaneous,0.75,,,,81,20__0,20,0.0,18600.0,38535.0,93182.4,126318.24,129631.82,129963.18,129996.32
MHO,Construction,Building Products - Home Builders,0.75,12900.0,6. p95_trade_value,5.0,92,20__0,20,0.0,5480.0,12226.8,75212.34,79328.63,79740.26,79781.43,79785.54
MLM,Construction,Building Products - Concrete and Aggregates,0.75,80359.99999999999,1. p999999_trade_value,1.0,88,20__0,20,0.0,13440.0,24127.95,48631.1,77187.11,80042.71,80328.27,80356.83
VMC,Construction,Building Products - Concrete and Aggregates,0.75,20960.000000000004,7. p90_trade_value,10.0,99,20__0,20,0.0,20700.8,35553.8,141610.0,168511.0,171201.1,171470.11,171497.01
WSO,Construction,Building Products - Air Conditioner and Heating,0.75,45000.0,6. p95_trade_value,6.0,113,20__0,20,0.0,27527.0,42600.0,85380.0,91545.12,91720.51,91738.05,91739.81
