security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
OC,Construction,Building Products - Miscellaneous,25__0,25,0.0,5. p99_trade_value,119130.0,119130.0,O:OC250117C00175000,OC,C,175.0,2025-01-17,235,0,301,3.3,1735244006967000000,361,119130.0,2024-12-26,Multi Leg floor trade,Construction,Building Products - Miscellaneous,170.43,173.4153,169.21,172.47,2,5.076021141783546,1,1,1,1,0
OC,Construction,Building Products - Miscellaneous,25__0,25,0.0,1. p999999_trade_value,165000.0,165000.0,O:OC250321P00155000,OC,P,155.0,2025-03-21,231,0,313,3.3,1740163647287000000,500,165000.0,2025-02-21,Single Leg Floor Trade,Construction,Building Products - Miscellaneous,173.63,173.63,162.7217,165.46,1,5.217483944213907,1,1,1,1,0
PATK,Construction,Building Products - Mobile Homes and RV Builders,15__1,15,1.0,1. p999999_trade_value,349800.0,349800.0,O:PATK250221P00090000,PATK,P,90.0,2025-02-21,235,0,301,2.65,1738773557255000000,1320,349800.0,2025-02-05,Multi Leg floor trade,Construction,Building Products - Mobile Homes and RV Builders,96.45,98.6,96.265,97.69,1,5.5438198051426575,1,1,1,0,0
PCH,Construction,Building Products - Wood,10__0,10,0.0,1. p999999_trade_value,56000.0,56000.0,O:PCH241018P00045000,PCH,P,45.0,2024-10-18,231,0,313,0.8,1727103458013000000,700,56000.0,2024-09-23,Single Leg Floor Trade,Construction,Building Products - Wood,45.61,45.965,45.075,45.13,1,4.748188027006201,1,1,1,1,0
PCH,Construction,Building Products - Wood,10__0,10,0.0,8. p75_trade_value,6789.999999999999,6789.999999999999,O:PCH241018P00045000,PCH,P,45.0,2024-10-18,209,0,313,0.7,1727103411093000000,97,6789.999999999999,2024-09-23,Automatic Execution,Construction,Building Products - Wood,45.61,45.965,45.075,45.13,2,3.8318697742805017,2,1,1,1,0
PRIM,Construction,Building Products - Heavy Construction,25__0,25,0.0,6. p95_trade_value,32370.0,63000.0,O:PRIM240920P00050000,PRIM,P,50.0,2024-09-20,235,0,301,1.25,1725464943866000000,500,62500.0,2024-09-04,Multi Leg floor trade,Construction,Building Products - Heavy Construction,51.06,51.84,50.58,50.97,6,4.795880017344075,1,1,0,0,0
PRIM,Construction,Building Products - Heavy Construction,25__0,25,0.0,6. p95_trade_value,32370.0,63000.0,O:PRIM241018C00060000,PRIM,C,60.0,2024-10-18,229,0,302,1.55,1727118981666000000,300,46500.0,2024-09-23,Single Leg Cross Non ISO,Construction,Building Products - Heavy Construction,59.36,59.96,58.35,58.54,9,4.6674529528899535,1,1,1,1,0
PRIM,Construction,Building Products - Heavy Construction,25__0,25,0.0,5. p99_trade_value,66640.0,257000.0,O:PRIM241115C00065000,PRIM,C,65.0,2024-11-15,234,0,301,2.57,1729278445334000000,1000,257000.0,2024-10-18,Multi Leg Cross,Construction,Building Products - Heavy Construction,62.95,63.85,62.16,63.27,2,5.409933123331294,1,1,1,1,0
PRIM,Construction,Building Products - Heavy Construction,25__0,25,0.0,1. p999999_trade_value,540000.0,540000.0,O:PRIM241115C00065000,PRIM,C,65.0,2024-11-15,231,0,323,3.0,1730305632984000000,1800,540000.0,2024-10-30,Single Leg Floor Trade,Construction,Building Products - Heavy Construction,62.81,64.365,62.37,63.75,1,5.732393759822968,1,1,1,1,0
PRIM,Construction,Building Products - Heavy Construction,25__0,25,0.0,5. p99_trade_value,66640.0,257000.0,O:PRIM241115C00070000,PRIM,C,70.0,2024-11-15,229,0,302,0.85,1730302639040000000,784,66640.0,2024-10-30,Single Leg Cross Non ISO,Construction,Building Products - Heavy Construction,62.81,64.365,62.37,63.75,3,4.823734988398731,1,1,1,1,0
PRIM,Construction,Building Products - Heavy Construction,25__0,25,0.0,6. p95_trade_value,32370.0,63000.0,O:PRIM241115P00060000,PRIM,P,60.0,2024-11-15,209,0,313,1.95,1730397911630000000,166,32370.0,2024-10-31,Automatic Execution,Construction,Building Products - Heavy Construction,62.71,64.2,62.13,62.62,13,4.510142699402573,1,0,0,0,1
PRIM,Construction,Building Products - Heavy Construction,25__0,25,0.0,6. p95_trade_value,32370.0,63000.0,O:PRIM241115P00060000,PRIM,P,60.0,2024-11-15,227,0,308,2.23,1730403507926000000,243,54189.0,2024-10-31,Single Leg Auction Non ISO,Construction,Building Products - Heavy Construction,62.71,64.2,62.13,62.62,8,4.733911136646473,1,0,0,0,1
PRIM,Construction,Building Products - Heavy Construction,25__0,25,0.0,6. p95_trade_value,32370.0,63000.0,O:PRIM241115P00060000,PRIM,P,60.0,2024-11-15,234,0,302,2.5,1730749534981000000,167,41750.0,2024-11-04,Multi Leg Cross,Construction,Building Products - Heavy Construction,63.46,64.68,63.12,64.34,11,4.620656479819621,1,0,0,0,1
PRIM,Construction,Building Products - Heavy Construction,25__0,25,0.0,6. p95_trade_value,32370.0,63000.0,O:PRIM250117P00075000,PRIM,P,75.0,2025-01-17,234,0,308,1.78,1735328730316000000,250,44500.0,2024-12-27,Multi Leg Cross,Construction,Building Products - Heavy Construction,80.13,80.51,76.98,77.73,10,4.648360010980932,1,1,0,0,0
PRIM,Construction,Building Products - Heavy Construction,25__0,25,0.0,6. p95_trade_value,32370.0,63000.0,O:PRIM250417P00060000,PRIM,P,60.0,2025-04-17,229,0,302,2.35,1743018707618000000,244,57340.0,2025-03-26,Single Leg Cross Non ISO,Construction,Building Products - Heavy Construction,65.01,65.06,60.71,61.01,7,4.7584576886104655,1,1,1,1,0
PRIM,Construction,Building Products - Heavy Construction,25__0,25,0.0,6. p95_trade_value,32370.0,63000.0,O:PRIM250516C00062500,PRIM,C,62.5,2025-05-16,234,0,302,2.04,1744916154356000000,200,40800.0,2025-04-17,Multi Leg Cross,Construction,Building Products - Heavy Construction,57.56,58.34,56.16,56.45,12,4.61066016308988,1,1,1,1,0
PRIM,Construction,Building Products - Heavy Construction,25__0,25,0.0,6. p95_trade_value,32370.0,63000.0,O:PRIM250516P00055000,PRIM,P,55.0,2025-05-16,234,0,302,3.15,1744916154356000000,200,63000.0,2025-04-17,Multi Leg Cross,Construction,Building Products - Heavy Construction,57.56,58.34,56.16,56.45,4,4.799340549453582,1,1,0,0,0
PRIM,Construction,Building Products - Heavy Construction,25__0,25,0.0,6. p95_trade_value,32370.0,63000.0,O:PRIM250516P00055000,PRIM,P,55.0,2025-05-16,239,0,302,3.15,1744919738959000000,200,63000.0,2025-04-17,Multi Leg floor trade against single leg(s),Construction,Building Products - Heavy Construction,57.56,58.34,56.16,56.45,5,4.799340549453582,1,1,0,0,0
MHO,Construction,Building Products - Home Builders,20__0,20,0.0,6. p95_trade_value,12900.0,74760.0,O:MHO241018C00175000,MHO,C,175.0,2024-10-18,209,0,315,4.3,1726682416427000000,30,12900.0,2024-09-18,Automatic Execution,Construction,Building Products - Home Builders,167.91,172.89,164.185,167.23,4,4.110589710299249,1,1,1,0,0
MHO,Construction,Building Products - Home Builders,20__0,20,0.0,6. p95_trade_value,12900.0,74760.0,O:MHO241018C00175000,MHO,C,175.0,2024-10-18,209,0,320,4.3,1726682415821000000,30,12900.0,2024-09-18,Automatic Execution,Construction,Building Products - Home Builders,167.91,172.89,164.185,167.23,3,4.110589710299249,1,1,1,0,0
MHO,Construction,Building Products - Home Builders,20__0,20,0.0,6. p95_trade_value,12900.0,74760.0,O:MHO241018C00175000,MHO,C,175.0,2024-10-18,209,0,320,4.3,1726682416431000000,30,12900.0,2024-09-18,Automatic Execution,Construction,Building Products - Home Builders,167.91,172.89,164.185,167.23,5,4.110589710299249,1,1,1,0,0
MHO,Construction,Building Products - Home Builders,20__0,20,0.0,6. p95_trade_value,12900.0,74760.0,O:MHO241018C00175000,MHO,C,175.0,2024-10-18,209,0,308,4.2,1727449149781000000,178,74760.0,2024-09-27,Automatic Execution,Construction,Building Products - Home Builders,166.79,171.3618,165.81,170.09,2,4.873669292706794,1,1,1,0,0
MHO,Construction,Building Products - Home Builders,20__0,20,0.0,1. p999999_trade_value,79786.0,79786.0,O:MHO250117C00140000,MHO,C,140.0,2025-01-17,232,0,312,2.87,1735231571956000000,278,79786.0,2024-12-26,Multi Leg auto-electronic trade,Construction,Building Products - Home Builders,134.93,137.04,133.5547,136.34,1,4.901926692652069,1,1,1,0,0
MLM,Construction,Building Products - Concrete and Aggregates,20__0,20,0.0,1. p999999_trade_value,80359.99999999999,80359.99999999999,O:MLM250221P00520000,MLM,P,520.0,2025-02-21,209,0,313,8.2,1739295182109000000,98,80359.99999999999,2025-02-11,Automatic Execution,Construction,Building Products - Concrete and Aggregates,527.06,533.39,523.35,529.0,1,4.905039928076212,1,1,1,1,0
ROAD,Construction,Building Products - Miscellaneous,15__0,15,0.0,7. p90_trade_value,22680.0,22680.0,O:ROAD250221P00080000,ROAD,P,80.0,2025-02-21,209,0,303,3.6,1737653317791000000,63,22680.0,2025-01-23,Automatic Execution,Construction,Building Products - Miscellaneous,85.17,87.4899,80.7812,82.58,3,4.355643050220869,2,1,1,1,0
ROAD,Construction,Building Products - Miscellaneous,15__0,15,0.0,8. p75_trade_value,17640.0,21600.0,O:ROAD250221P00080000,ROAD,P,80.0,2025-02-21,209,0,315,3.6,1737653317791000000,60,21600.0,2025-01-23,Automatic Execution,Construction,Building Products - Miscellaneous,85.17,87.4899,80.7812,82.58,4,4.334453751150931,2,1,1,1,0
ROAD,Construction,Building Products - Miscellaneous,15__0,15,0.0,8. p75_trade_value,17640.0,21600.0,O:ROAD250221P00080000,ROAD,P,80.0,2025-02-21,209,0,318,3.6,1737653317791000000,49,17640.0,2025-01-23,Automatic Execution,Construction,Building Products - Miscellaneous,85.17,87.4899,80.7812,82.58,6,4.246498580795801,4,1,1,1,0
ROAD,Construction,Building Products - Miscellaneous,15__0,15,0.0,1. p999999_trade_value,107500.0,107500.0,O:ROAD250221P00080000,ROAD,P,80.0,2025-02-21,227,0,323,4.3,1737651679452000000,250,107500.0,2025-01-23,Single Leg Auction Non ISO,Construction,Building Products - Miscellaneous,85.17,87.4899,80.7812,82.58,1,5.031408464251625,1,1,1,1,0
ROAD,Construction,Building Products - Miscellaneous,15__0,15,0.0,8. p75_trade_value,17640.0,21600.0,O:ROAD250221P00075000,ROAD,P,75.0,2025-02-21,227,0,323,2.49,1738094544548000000,79,19671.0,2025-01-28,Single Leg Auction Non ISO,Construction,Building Products - Miscellaneous,80.71,82.1,77.125,78.8,5,4.293826438386178,3,1,1,1,0
ROAD,Construction,Building Products - Miscellaneous,15__0,15,0.0,6. p95_trade_value,32250.0,32250.0,O:ROAD250221P00075000,ROAD,P,75.0,2025-02-21,209,0,308,2.5,1738094538368000000,129,32250.0,2025-01-28,Automatic Execution,Construction,Building Products - Miscellaneous,80.71,82.1,77.125,78.8,2,4.508529718971286,1,1,1,1,0
ROCK,Construction,Building Products - Miscellaneous,10__3,10,3.0,7. p90_trade_value,37500.0,37500.0,O:ROCK241115P00065000,ROCK,P,65.0,2024-11-15,235,0,301,1.25,1729089501050000000,300,37500.0,2024-10-16,Multi Leg floor trade,Construction,Building Products - Miscellaneous,67.53,68.54,67.12,67.35,2,4.574031267727719,2,1,0,0,0
ROCK,Construction,Building Products - Miscellaneous,10__3,10,3.0,8. p75_trade_value,7325.0,7325.0,O:ROCK241115P00065000,ROCK,P,65.0,2024-11-15,233,0,302,2.93,1730142041320000000,25,7325.0,2024-10-28,Multi Leg Auction,Construction,Building Products - Miscellaneous,65.81,66.99,65.68,65.72,3,3.864807629026147,3,1,0,0,0
ROCK,Construction,Building Products - Miscellaneous,10__3,10,3.0,8. p75_trade_value,7325.0,7325.0,O:ROCK241115P00065000,ROCK,P,65.0,2024-11-15,233,0,302,2.93,1730142041320000000,25,7325.0,2024-10-28,Multi Leg Auction,Construction,Building Products - Miscellaneous,65.81,66.99,65.68,65.72,4,3.864807629026147,4,1,0,0,0
ROCK,Construction,Building Products - Miscellaneous,10__3,10,3.0,1. p999999_trade_value,117500.0,117500.0,O:ROCK250417P00065000,ROCK,P,65.0,2025-04-17,231,0,323,2.35,1742325346801000000,500,117500.0,2025-03-18,Single Leg Floor Trade,Construction,Building Products - Miscellaneous,65.32,65.92,65.04,65.39,1,5.0700378666077555,1,1,1,1,0
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,8. p75_trade_value,8250.0,15313.999999999998,O:EME240920P00350000,EME,P,350.0,2024-09-20,232,0,308,2.55,1724780547661000000,55,14025.0,2024-08-27,Multi Leg auto-electronic trade,Construction,Building Products - Heavy Construction,375.0,383.16,373.265,380.87,47,4.146902869928199,3,0,0,0,1
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,6. p95_trade_value,23375.0,44478.0,O:EME240920P00360000,EME,P,360.0,2024-09-20,232,0,308,4.25,1724780547661000000,55,23375.0,2024-08-27,Multi Leg auto-electronic trade,Construction,Building Products - Heavy Construction,375.0,383.16,373.265,380.87,20,4.368751619544556,1,1,0,0,0
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,8. p75_trade_value,8250.0,15313.999999999998,O:EME240920P00340000,EME,P,340.0,2024-09-20,209,0,313,2.5,1725890979354000000,40,10000.0,2024-09-09,Automatic Execution,Construction,Building Products - Heavy Construction,355.75,366.27,355.635,364.1,77,4.0,4,0,0,0,1
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,8. p75_trade_value,8250.0,15313.999999999998,O:EME240920C00400000,EME,C,400.0,2024-09-20,209,0,308,5.7,1726152294363000000,20,11400.0,2024-09-12,Automatic Execution,Construction,Building Products - Heavy Construction,385.27,393.765,382.52,388.49,63,4.056904851336473,4,1,1,1,0
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,6. p95_trade_value,23375.0,44478.0,O:EME241018C00420000,EME,C,420.0,2024-10-18,209,0,325,12.05,1726666478274000000,20,24100.0,2024-09-18,Automatic Execution,Construction,Building Products - Heavy Construction,411.84,417.7799,406.235,408.75,19,4.382017042574868,1,1,1,1,0
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,1. p999999_trade_value,91999.99999999999,91999.99999999999,O:EME241018C00440000,EME,C,440.0,2024-10-18,209,0,316,9.2,1726762817823000000,100,91999.99999999999,2024-09-19,Automatic Execution,Construction,Building Products - Heavy Construction,420.67,432.88,412.43,430.05,1,4.963787827345556,1,1,1,1,0
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,6. p95_trade_value,23375.0,44478.0,O:EME241018C00450000,EME,C,450.0,2024-10-18,233,0,312,6.88,1726771612060000000,57,39216.0,2024-09-19,Multi Leg Auction,Construction,Building Products - Heavy Construction,420.67,432.88,412.43,430.05,7,4.593463293908003,1,1,1,1,0
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,8. p75_trade_value,8250.0,15313.999999999998,O:EME241018C00440000,EME,C,440.0,2024-10-18,209,0,313,13.4,1726842352235000000,10,13400.0,2024-09-20,Automatic Execution,Construction,Building Products - Heavy Construction,430.45,437.095,428.0,435.6,50,4.127104798364807,3,1,1,1,0
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,8. p75_trade_value,8250.0,15313.999999999998,O:EME241018C00440000,EME,C,440.0,2024-10-18,209,0,320,10.3,1726840891358000000,9,9270.0,2024-09-20,Automatic Execution,Construction,Building Products - Heavy Construction,430.45,437.095,428.0,435.6,87,3.967079734144497,5,1,1,1,0
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,6. p95_trade_value,23375.0,44478.0,O:EME241018C00440000,EME,C,440.0,2024-10-18,209,0,316,13.15,1726840040199000000,19,24985.0,2024-09-20,Automatic Execution,Construction,Building Products - Heavy Construction,430.45,437.095,428.0,435.6,17,4.397679353778606,1,1,1,1,0
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,8. p75_trade_value,8250.0,15313.999999999998,O:EME241018P00420000,EME,P,420.0,2024-10-18,209,0,320,8.5,1727805605317000000,10,8500.0,2024-10-01,Automatic Execution,Construction,Building Products - Heavy Construction,428.5,429.83,420.2,428.28,94,3.929418925714293,5,0,0,0,1
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,8. p75_trade_value,8250.0,15313.999999999998,O:EME241018P00420000,EME,P,420.0,2024-10-18,209,0,318,8.5,1727805605315000000,10,8500.0,2024-10-01,Automatic Execution,Construction,Building Products - Heavy Construction,428.5,429.83,420.2,428.28,95,3.929418925714293,5,0,0,0,1
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,8. p75_trade_value,8250.0,15313.999999999998,O:EME241018P00420000,EME,P,420.0,2024-10-18,209,0,316,8.5,1727805605316000000,10,8500.0,2024-10-01,Automatic Execution,Construction,Building Products - Heavy Construction,428.5,429.83,420.2,428.28,93,3.929418925714293,5,0,0,0,1
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,8. p75_trade_value,8250.0,15313.999999999998,O:EME241018P00420000,EME,P,420.0,2024-10-18,209,0,302,8.5,1727805605317000000,11,9350.0,2024-10-01,Automatic Execution,Construction,Building Products - Heavy Construction,428.5,429.83,420.2,428.28,86,3.9708116108725178,5,0,0,0,1
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,8. p75_trade_value,8250.0,15313.999999999998,O:EME241018C00440000,EME,C,440.0,2024-10-18,209,0,323,6.2,1727877496870000000,20,12400.0,2024-10-02,Automatic Execution,Construction,Building Products - Heavy Construction,425.0,433.55,423.66,429.89,52,4.093421685162235,3,1,1,1,0
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,8. p75_trade_value,8250.0,15313.999999999998,O:EME241018C00450000,EME,C,450.0,2024-10-18,209,0,301,4.4,1727877450236000000,20,8800.0,2024-10-02,Automatic Execution,Construction,Building Products - Heavy Construction,425.0,433.55,423.66,429.89,89,3.9444826721501687,5,1,1,1,0
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,6. p95_trade_value,23375.0,44478.0,O:EME241115C00490000,EME,C,490.0,2024-11-15,233,0,302,7.06,1729093763717000000,63,44478.0,2024-10-16,Multi Leg Auction,Construction,Building Products - Heavy Construction,447.21,452.44,444.375,447.28,5,4.648145250505386,1,1,1,1,0
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,8. p75_trade_value,8250.0,15313.999999999998,O:EME241115C00460000,EME,C,460.0,2024-11-15,209,0,313,19.0,1729183847342000000,5,9500.0,2024-10-17,Automatic Execution,Construction,Building Products - Heavy Construction,452.25,455.515,448.82,453.75,82,3.9777236052888476,5,1,1,1,0
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,6. p95_trade_value,23375.0,44478.0,O:EME241115C00470000,EME,C,470.0,2024-11-15,209,0,303,14.4,1729193574409000000,20,28800.0,2024-10-17,Automatic Execution,Construction,Building Products - Heavy Construction,452.25,455.515,448.82,453.75,14,4.459392487759231,1,1,1,1,0
