security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
ACA,Construction,Building Products - Miscellaneous,10__0,10,0.0,8. p75_trade_value,30000.0,30000.0,O:ACA250321P00090000,ACA,P,90.0,2025-03-21,209,0,313,3.0,1740680973365000000,100,30000.0,2025-02-27,Automatic Execution,Construction,Building Products - Miscellaneous,93.34,94.47,91.17,91.58,3,4.477121254719663,3,1,1,1,0
ACA,Construction,Building Products - Miscellaneous,10__0,10,0.0,1. p999999_trade_value,74700.0,74700.0,O:ACA250321P00090000,ACA,P,90.0,2025-03-21,209,0,313,3.0,1740683228956000000,249,74700.0,2025-02-27,Automatic Execution,Construction,Building Products - Miscellaneous,93.34,94.47,91.17,91.58,1,4.873320601815399,1,1,1,1,0
ACA,Construction,Building Products - Miscellaneous,10__0,10,0.0,7. p90_trade_value,46575.0,46575.0,O:ACA250516C00090000,ACA,C,90.0,2025-05-16,209,0,313,2.25,1746552903847000000,207,46575.0,2025-05-06,Automatic Execution,Construction,Building Products - Miscellaneous,83.18,86.385,82.97,85.97,2,4.66815286356828,2,1,0,0,0
AGX,Construction,Building Products - Miscellaneous,25__0,25,0.0,1. p999999_trade_value,220000.0,220000.0,O:AGX241220C00160000,AGX,C,160.0,2024-12-20,235,0,323,11.0,1732897848863000000,200,220000.0,2024-11-29,Multi Leg floor trade,Construction,Building Products - Miscellaneous,157.03,159.92,155.0284,155.94,1,5.342422680822207,1,1,0,0,0
AMTM,Construction,Engineering - R and D Services,25__0,25,0.0,1. p999999_trade_value,390000.0,390000.0,O:AMTM241220C00025000,AMTM,C,25.0,2024-12-20,231,0,302,2.6,1733250638320000000,1500,390000.0,2024-12-03,Single Leg Floor Trade,Construction,Engineering - R and D Services,23.63,24.53,23.6151,24.27,1,5.5910646070264995,1,1,0,0,0
AWI,Construction,Building Products - Miscellaneous,15__0,15,0.0,7. p90_trade_value,25160.0,25160.0,O:AWI241115C00140000,AWI,C,140.0,2024-11-15,227,0,301,3.4,1730145354794000000,74,25160.0,2024-10-28,Single Leg Auction Non ISO,Construction,Building Products - Miscellaneous,137.15,138.34,135.555,137.3,2,4.400710636773232,2,1,1,1,0
AWI,Construction,Building Products - Miscellaneous,15__0,15,0.0,1. p999999_trade_value,30600.0,30600.0,O:AWI241115C00140000,AWI,C,140.0,2024-11-15,227,0,301,3.4,1730145354794000000,90,30600.0,2024-10-28,Single Leg Auction Non ISO,Construction,Building Products - Miscellaneous,137.15,138.34,135.555,137.3,1,4.48572142648158,1,1,1,1,0
AWI,Construction,Building Products - Miscellaneous,15__0,15,0.0,8. p75_trade_value,6250.0,11219.999999999998,O:AWI241115C00140000,AWI,C,140.0,2024-11-15,227,0,301,3.4,1730145354794000000,21,7139.999999999999,2024-10-28,Single Leg Auction Non ISO,Construction,Building Products - Miscellaneous,137.15,138.34,135.555,137.3,4,3.8536982117761744,4,1,1,1,0
AWI,Construction,Building Products - Miscellaneous,15__0,15,0.0,8. p75_trade_value,6250.0,11219.999999999998,O:AWI241115P00130000,AWI,P,130.0,2024-11-15,209,0,313,2.55,1730143406051000000,44,11219.999999999998,2024-10-28,Automatic Execution,Construction,Building Products - Miscellaneous,137.15,138.34,135.555,137.3,3,4.049992856920142,3,0,0,0,1
AWI,Construction,Building Products - Miscellaneous,15__0,15,0.0,8. p75_trade_value,6250.0,11219.999999999998,O:AWI250117P00140000,AWI,P,140.0,2025-01-17,209,0,308,1.25,1736174719899000000,50,6250.0,2025-01-06,Automatic Execution,Construction,Building Products - Miscellaneous,142.4,144.84,142.392,142.78,5,3.7958800173440754,5,1,0,0,0
