security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
AMCX,Consumer Discretionary,Broadcast Radio and Television,0.55,5160.0,8. p75_trade_value,2.0,7,10__0,10,0.0,5996.0,6623.0,7124.6,7237.46,7248.75,7249.87,7249.99
BILI,Consumer Discretionary,Broadcast Radio and Television,0.55,,,,3943,35__3,35,3.0,17288.0,27924.3,99796.28,362673.12,1058702.4,1175070.24,1186707.02
FOX,Consumer Discretionary,Broadcast Radio and Television,0.55,6761.999999999999,1. p999999_trade_value,1.0,5,5__0,5,0.0,6235.2,6498.6,6709.32,6756.73,6761.47,6761.95,6761.99
FOXA,Consumer Discretionary,Broadcast Radio and Television,0.55,,,,86,20__0,20,0.0,12902.5,22747.5,74097.0,108659.7,112115.97,112461.6,112496.16
FUBO,Consumer Discretionary,Broadcast Radio and Television,0.55,,,,1299,30__0,30,0.0,13393.6,20201.8,45220.0,128800.24,212696.83,223634.68,224728.47
IHRT,Consumer Discretionary,Broadcast Radio and Television,0.55,,,,5,5__3,5,3.0,15322.2,17404.6,19070.52,19445.35,19482.84,19486.58,19486.96
NFLX,Consumer Discretionary,Broadcast Radio and Television,0.55,241200.0,4. p999_trade_value,301.0,300654,55__0,55,0.0,17160.0,26895.0,68902.94,241095.52,732430.22,1858364.81,2932191.72
NMAX,Consumer Discretionary,Broadcast Radio and Television,0.55,,,,471,25__1,25,1.0,12870.0,19042.5,55296.0,147534.5,149078.45,149232.85,149248.28
ROKU,Consumer Discretionary,Broadcast Radio and Television,0.55,,,,10584,40__1,40,1.0,14735.4,23711.9,86376.5,351684.4,701106.79,1112677.29,1156342.33
SIRI,Consumer Discretionary,Broadcast Radio and Television,0.55,511658.0,1. p999999_trade_value,1.0,1410,30__0,30,0.0,15000.0,27000.0,102681.0,477092.0,507479.19,511240.12,511616.21
SSP,Consumer Discretionary,Broadcast Radio and Television,0.55,3300.0,1. p999999_trade_value,1.0,1,0__0,0,0.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0
TGNA,Consumer Discretionary,Broadcast Radio and Television,0.55,,,,6,10__0,10,0.0,5941.0,6826.5,7534.9,7694.29,7710.23,7711.82,7711.98
TSQ,Consumer Discretionary,Broadcast Radio and Television,0.55,,,,2,5__0,5,0.0,8475.0,8612.5,8722.5,8747.25,8749.73,8749.97,8750.0
WBD,Consumer Discretionary,Broadcast Radio and Television,0.55,,,,866,30__1,30,1.0,14983.5,24103.0,70870.0,1389420.0,2940192.0,3095269.2,3110776.92
