security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
AMCX,Consumer Discretionary,Broadcast Radio and Television,10__0,10,0.0,1. p999999_trade_value,7250.0,7250.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
AMCX,Consumer Discretionary,Broadcast Radio and Television,10__0,10,0.0,8. p75_trade_value,5160.0,5160.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
BILI,Consumer Discretionary,Broadcast Radio and Television,35__3,35,3.0,1. p999999_trade_value,1188000.0,1188000.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,1.0,1.0
BILI,Consumer Discretionary,Broadcast Radio and Television,35__3,35,3.0,4. p999_trade_value,860000.0,407550.00000000006,0.0,3.0,0.0,0.55,2. BELOW BASELINE,1.0,4.0,0.25
BILI,Consumer Discretionary,Broadcast Radio and Television,35__3,35,3.0,5. p99_trade_value,359910.0,99950.0,7.0,36.0,0.19444444444444445,0.55,2. BELOW BASELINE,8.0,40.0,0.2
BILI,Consumer Discretionary,Broadcast Radio and Television,35__3,35,3.0,6. p95_trade_value,99584.0,27927.0,55.0,158.0,0.34810126582278483,0.55,2. BELOW BASELINE,63.0,198.0,0.3181818181818182
BILI,Consumer Discretionary,Broadcast Radio and Television,35__3,35,3.0,7. p90_trade_value,27900.0,17290.0,97.0,197.0,0.49238578680203043,0.55,2. BELOW BASELINE,160.0,395.0,0.4050632911392405
BILI,Consumer Discretionary,Broadcast Radio and Television,35__3,35,3.0,8. p75_trade_value,17280.0,8711.999999999998,317.0,591.0,0.5363790186125211,0.55,2. BELOW BASELINE,477.0,986.0,0.48377281947261663
FOX,Consumer Discretionary,Broadcast Radio and Television,5__0,5,0.0,1. p999999_trade_value,6761.999999999999,6761.999999999999,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
FOX,Consumer Discretionary,Broadcast Radio and Television,5__0,5,0.0,8. p75_trade_value,5445.0,5445.0,0.0,2.0,0.0,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
FOXA,Consumer Discretionary,Broadcast Radio and Television,20__0,20,0.0,1. p999999_trade_value,112500.0,112500.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
FOXA,Consumer Discretionary,Broadcast Radio and Television,20__0,20,0.0,6. p95_trade_value,67320.0,24000.0,3.0,4.0,0.75,0.55,2. BELOW BASELINE,3.0,5.0,0.6
FOXA,Consumer Discretionary,Broadcast Radio and Television,20__0,20,0.0,7. p90_trade_value,18990.0,13065.0,2.0,4.0,0.5,0.55,2. BELOW BASELINE,5.0,9.0,0.5555555555555556
FOXA,Consumer Discretionary,Broadcast Radio and Television,20__0,20,0.0,8. p75_trade_value,12740.0,8690.0,6.0,13.0,0.46153846153846156,0.55,2. BELOW BASELINE,11.0,22.0,0.5
FUBO,Consumer Discretionary,Broadcast Radio and Television,30__0,30,0.0,1. p999999_trade_value,224850.0,224850.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
FUBO,Consumer Discretionary,Broadcast Radio and Television,30__0,30,0.0,4. p999_trade_value,131220.0,131220.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
FUBO,Consumer Discretionary,Broadcast Radio and Television,30__0,30,0.0,5. p99_trade_value,123100.0,45220.00000000001,1.0,13.0,0.07692307692307693,0.55,2. BELOW BASELINE,1.0,15.0,0.06666666666666667
