security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,security_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
CHDN,Consumer Discretionary,Gaming,15__0,15,0.0,1. p999999_trade_value,216000.0,216000.0,O:CHDN250117P00130000,CHDN,P,130.0,2025-01-17,235,0,301,1.8,1734716546417000000,1200,216000.0,2024-12-20,Multi Leg floor trade,Consumer Discretionary,Gaming,132.56,135.04,131.68,132.23,1,5.334453751150931,1,1,1,1,0
CRSR,Consumer Discretionary,Gaming,15__0,15,0.0,1. p999999_trade_value,150500.0,150500.0,O:CRSR250516C00007500,CRSR,C,7.5,2025-05-16,235,0,300,0.43,1746111370682000000,3500,150500.0,2025-05-01,Multi Leg floor trade,Consumer Discretionary,Gaming,7.19,7.3,7.015,7.02,1,5.177536499929862,1,1,1,1,0
LNW,Consumer Discretionary,Gaming,15__0,15,0.0,7. p90_trade_value,11600.0,11600.0,O:LNW241220C00100000,LNW,C,100.0,2024-12-20,209,0,319,2.0,1732648039092000000,58,11600.0,2024-11-26,Automatic Execution,Consumer Discretionary,Gaming,98.08,99.34,97.62,97.94,3,4.064457989226918,2,1,0,0,0
LNW,Consumer Discretionary,Gaming,15__0,15,0.0,6. p95_trade_value,14000.0,14000.0,O:LNW250221C00100000,LNW,C,100.0,2025-02-21,209,0,320,1.4,1739201187053000000,100,14000.0,2025-02-10,Automatic Execution,Consumer Discretionary,Gaming,91.08,98.33,90.54,97.67,2,4.146128035678238,1,1,1,1,0
LNW,Consumer Discretionary,Gaming,15__0,15,0.0,1. p999999_trade_value,16200.0,16200.0,O:LNW250221C00100000,LNW,C,100.0,2025-02-21,209,0,308,1.2,1739202979746000000,135,16200.0,2025-02-10,Automatic Execution,Consumer Discretionary,Gaming,91.08,98.33,90.54,97.67,1,4.209515014542631,1,1,1,1,0
RSI,Consumer Discretionary,Gaming,15__0,15,0.0,7. p90_trade_value,19895.0,37600.0,O:RSI250321P00012500,RSI,P,12.5,2025-03-21,209,0,316,1.15,1740409427308000000,173,19895.0,2025-02-24,Automatic Execution,Consumer Discretionary,Gaming,13.65,13.87,13.1033,13.23,5,4.298743943482407,2,1,1,1,0
RSI,Consumer Discretionary,Gaming,15__0,15,0.0,1. p999999_trade_value,47500.0,47500.0,O:RSI250321P00012500,RSI,P,12.5,2025-03-21,229,0,302,0.95,1740424123679000000,500,47500.0,2025-02-24,Single Leg Cross Non ISO,Consumer Discretionary,Gaming,13.65,13.87,13.1033,13.23,1,4.676693609624866,1,1,1,1,0
RSI,Consumer Discretionary,Gaming,15__0,15,0.0,7. p90_trade_value,19895.0,37600.0,O:RSI250321P00012500,RSI,P,12.5,2025-03-21,229,0,302,0.94,1740427328508000000,400,37600.0,2025-02-24,Single Leg Cross Non ISO,Consumer Discretionary,Gaming,13.65,13.87,13.1033,13.23,4,4.575187844927661,2,1,1,1,0
RSI,Consumer Discretionary,Gaming,15__0,15,0.0,6. p95_trade_value,41547.99999999999,41850.0,O:RSI250321P00012500,RSI,P,12.5,2025-03-21,229,0,302,0.93,1740421742991000000,450,41850.0,2025-02-24,Single Leg Cross Non ISO,Consumer Discretionary,Gaming,13.65,13.87,13.1033,13.23,2,4.621695462329279,1,1,1,1,0
RSI,Consumer Discretionary,Gaming,15__0,15,0.0,6. p95_trade_value,41547.99999999999,41850.0,O:RSI250321P00012500,RSI,P,12.5,2025-03-21,229,0,302,0.94,1740429278591000000,442,41547.99999999999,2025-02-24,Single Leg Cross Non ISO,Consumer Discretionary,Gaming,13.65,13.87,13.1033,13.23,3,4.618550122948791,1,1,1,1,0
