security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
AMC,Consumer Discretionary,Leisure and Recreation Services,35__0,35,0.0,1. p999999_trade_value,89240.00000000001,89240.00000000001,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
AMC,Consumer Discretionary,Leisure and Recreation Services,35__0,35,0.0,4. p999_trade_value,62972.0,62192.00000000001,1.0,2.0,0.5,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
AMC,Consumer Discretionary,Leisure and Recreation Services,35__0,35,0.0,5. p99_trade_value,59049.0,25542.0,5.0,19.0,0.2631578947368421,0.55,2. BELOW BASELINE,6.0,22.0,0.2727272727272727
AMC,Consumer Discretionary,Leisure and Recreation Services,35__0,35,0.0,6. p95_trade_value,25164.0,13437.0,32.0,88.0,0.36363636363636365,0.55,2. BELOW BASELINE,38.0,110.0,0.34545454545454546
AMC,Consumer Discretionary,Leisure and Recreation Services,35__0,35,0.0,7. p90_trade_value,13392.000000000002,9700.0,38.0,110.0,0.34545454545454546,0.55,2. BELOW BASELINE,76.0,220.0,0.34545454545454546
AMC,Consumer Discretionary,Leisure and Recreation Services,35__0,35,0.0,8. p75_trade_value,9652.0,6096.0,110.0,330.0,0.3333333333333333,0.55,2. BELOW BASELINE,186.0,550.0,0.3381818181818182
CCL,Consumer Discretionary,Leisure and Recreation Services,35__4,35,4.0,1. p999999_trade_value,1071799.0,1071799.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,1.0,1.0
CCL,Consumer Discretionary,Leisure and Recreation Services,35__4,35,4.0,4. p999_trade_value,1006262.9999999999,477248.00000000006,2.0,4.0,0.5,0.55,2. BELOW BASELINE,3.0,5.0,0.6
CCL,Consumer Discretionary,Leisure and Recreation Services,35__4,35,4.0,5. p99_trade_value,458298.00000000006,91800.0,23.0,43.0,0.5348837209302325,0.55,2. BELOW BASELINE,26.0,48.0,0.5416666666666666
CCL,Consumer Discretionary,Leisure and Recreation Services,35__4,35,4.0,6. p95_trade_value,90000.0,25914.999999999996,106.0,191.0,0.5549738219895288,0.55,2. BELOW BASELINE,132.0,239.0,0.5523012552301255
CCL,Consumer Discretionary,Leisure and Recreation Services,35__4,35,4.0,7. p90_trade_value,25893.0,16038.0,140.0,238.0,0.5882352941176471,0.55,2. BELOW BASELINE,272.0,477.0,0.570230607966457
CCL,Consumer Discretionary,Leisure and Recreation Services,35__4,35,4.0,8. p75_trade_value,16019.999999999998,8037.0,427.0,715.0,0.5972027972027972,0.55,2. BELOW BASELINE,699.0,1192.0,0.5864093959731543
NCLH,Consumer Discretionary,Leisure and Recreation Services,35__0,35,0.0,1. p999999_trade_value,464000.0,464000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
NCLH,Consumer Discretionary,Leisure and Recreation Services,35__0,35,0.0,4. p999_trade_value,440000.0,440000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
NCLH,Consumer Discretionary,Leisure and Recreation Services,35__0,35,0.0,5. p99_trade_value,425000.0,101000.0,9.0,17.0,0.5294117647058824,0.55,2. BELOW BASELINE,11.0,19.0,0.5789473684210527
NCLH,Consumer Discretionary,Leisure and Recreation Services,35__0,35,0.0,6. p95_trade_value,100580.0,25606.0,57.0,73.0,0.7808219178082192,0.55,2. BELOW BASELINE,68.0,92.0,0.7391304347826086
NCLH,Consumer Discretionary,Leisure and Recreation Services,35__0,35,0.0,7. p90_trade_value,25488.000000000004,14400.0,59.0,90.0,0.6555555555555556,0.55,2. BELOW BASELINE,127.0,182.0,0.6978021978021978
NCLH,Consumer Discretionary,Leisure and Recreation Services,35__0,35,0.0,8. p75_trade_value,14388.0,7872.0,170.0,270.0,0.6296296296296297,0.55,2. BELOW BASELINE,297.0,452.0,0.6570796460176991
