security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
BIRK,Consumer Discretionary,Shoes and Retail Apparel ,25__0,25,0.0,1. p999999_trade_value,405000.00000000006,405000.00000000006,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
BIRK,Consumer Discretionary,Shoes and Retail Apparel ,25__0,25,0.0,5. p99_trade_value,240000.0,192942.0,0.0,3.0,0.0,0.55,2. BELOW BASELINE,1.0,4.0,0.25
BIRK,Consumer Discretionary,Shoes and Retail Apparel ,25__0,25,0.0,6. p95_trade_value,189000.0,69600.0,2.0,15.0,0.13333333333333333,0.55,2. BELOW BASELINE,3.0,19.0,0.15789473684210525
BIRK,Consumer Discretionary,Shoes and Retail Apparel ,25__0,25,0.0,7. p90_trade_value,68750.0,31437.0,7.0,19.0,0.3684210526315789,0.55,2. BELOW BASELINE,10.0,38.0,0.2631578947368421
BIRK,Consumer Discretionary,Shoes and Retail Apparel ,25__0,25,0.0,8. p75_trade_value,30525.0,9900.0,22.0,57.0,0.38596491228070173,0.55,2. BELOW BASELINE,32.0,95.0,0.3368421052631579
CAL,Consumer Discretionary,Shoes and Retail Apparel ,20__0,20,0.0,1. p999999_trade_value,29160.000000000004,29160.000000000004,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
CAL,Consumer Discretionary,Shoes and Retail Apparel ,20__0,20,0.0,6. p95_trade_value,25000.0,22000.000000000004,0.0,4.0,0.0,0.55,2. BELOW BASELINE,1.0,5.0,0.2
CAL,Consumer Discretionary,Shoes and Retail Apparel ,20__0,20,0.0,7. p90_trade_value,21780.0,19900.0,0.0,2.0,0.0,0.55,2. BELOW BASELINE,1.0,7.0,0.14285714285714285
CAL,Consumer Discretionary,Shoes and Retail Apparel ,20__0,20,0.0,8. p75_trade_value,18750.0,10500.0,3.0,9.0,0.3333333333333333,0.55,2. BELOW BASELINE,4.0,16.0,0.25
CRI,Consumer Discretionary,Shoes and Retail Apparel ,20__2,20,2.0,1. p999999_trade_value,763679.9999999999,763679.9999999999,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
CRI,Consumer Discretionary,Shoes and Retail Apparel ,20__2,20,2.0,5. p99_trade_value,750260.0,750260.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
CRI,Consumer Discretionary,Shoes and Retail Apparel ,20__2,20,2.0,6. p95_trade_value,499800.0,165000.00000000003,3.0,6.0,0.5,0.55,2. BELOW BASELINE,5.0,8.0,0.625
CRI,Consumer Discretionary,Shoes and Retail Apparel ,20__2,20,2.0,7. p90_trade_value,159250.0,70472.0,4.0,8.0,0.5,0.55,2. BELOW BASELINE,9.0,16.0,0.5625
CRI,Consumer Discretionary,Shoes and Retail Apparel ,20__2,20,2.0,8. p75_trade_value,60120.00000000001,16000.0,8.0,23.0,0.34782608695652173,0.55,2. BELOW BASELINE,17.0,39.0,0.4358974358974359
NKE,Consumer Discretionary,Shoes and Retail Apparel ,45__2,45,2.0,1. p999999_trade_value,1749924.0000000002,1749924.0000000002,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
NKE,Consumer Discretionary,Shoes and Retail Apparel ,45__2,45,2.0,3. p9999_trade_value,1737644.9999999998,1616340.0,0.0,2.0,0.0,0.55,2. BELOW BASELINE,0.0,3.0,0.0
NKE,Consumer Discretionary,Shoes and Retail Apparel ,45__2,45,2.0,4. p999_trade_value,1530000.0,450532.0,10.0,21.0,0.47619047619047616,0.55,2. BELOW BASELINE,10.0,24.0,0.4166666666666667
NKE,Consumer Discretionary,Shoes and Retail Apparel ,45__2,45,2.0,5. p99_trade_value,438000.0,77910.0,80.0,209.0,0.3827751196172249,0.55,2. BELOW BASELINE,90.0,233.0,0.38626609442060084
NKE,Consumer Discretionary,Shoes and Retail Apparel ,45__2,45,2.0,6. p95_trade_value,77570.99999999999,26733.000000000004,393.0,928.0,0.4234913793103448,0.55,2. BELOW BASELINE,483.0,1161.0,0.4160206718346253
NKE,Consumer Discretionary,Shoes and Retail Apparel ,45__2,45,2.0,7. p90_trade_value,26730.0,16425.0,467.0,1161.0,0.40223944875107664,0.55,2. BELOW BASELINE,950.0,2322.0,0.409130060292851
NKE,Consumer Discretionary,Shoes and Retail Apparel ,45__2,45,2.0,8. p75_trade_value,16416.0,8549.0,1516.0,3482.0,0.4353819643882826,0.55,2. BELOW BASELINE,2466.0,5804.0,0.42487939352170917
SHOO,Consumer Discretionary,Shoes and Retail Apparel ,15__0,15,0.0,1. p999999_trade_value,167025.0,167025.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
SHOO,Consumer Discretionary,Shoes and Retail Apparel ,15__0,15,0.0,6. p95_trade_value,55000.0,55000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
SHOO,Consumer Discretionary,Shoes and Retail Apparel ,15__0,15,0.0,7. p90_trade_value,48200.0,48200.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,3.0,3.0,1.0
SHOO,Consumer Discretionary,Shoes and Retail Apparel ,15__0,15,0.0,8. p75_trade_value,45370.0,10500.0,3.0,4.0,0.75,0.55,1. ABOVE BASELINE,6.0,7.0,0.8571428571428571
SKX,Consumer Discretionary,Shoes and Retail Apparel ,30__0,30,0.0,1. p999999_trade_value,408000.0,408000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
SKX,Consumer Discretionary,Shoes and Retail Apparel ,30__0,30,0.0,5. p99_trade_value,228000.0,115000.0,3.0,6.0,0.5,0.55,2. BELOW BASELINE,3.0,7.0,0.42857142857142855
SKX,Consumer Discretionary,Shoes and Retail Apparel ,30__0,30,0.0,6. p95_trade_value,102000.0,22176.0,12.0,24.0,0.5,0.55,2. BELOW BASELINE,15.0,31.0,0.4838709677419355
SKX,Consumer Discretionary,Shoes and Retail Apparel ,30__0,30,0.0,7. p90_trade_value,20400.000000000004,12220.0,17.0,30.0,0.5666666666666667,0.55,2. BELOW BASELINE,32.0,61.0,0.5245901639344263
SKX,Consumer Discretionary,Shoes and Retail Apparel ,30__0,30,0.0,8. p75_trade_value,12077.000000000002,6884.999999999999,42.0,90.0,0.4666666666666667,0.55,2. BELOW BASELINE,74.0,151.0,0.4900662251655629
WWW,Consumer Discretionary,Shoes and Retail Apparel ,20__1,20,1.0,1. p999999_trade_value,300000.0,300000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
WWW,Consumer Discretionary,Shoes and Retail Apparel ,20__1,20,1.0,5. p99_trade_value,191760.0,191760.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
WWW,Consumer Discretionary,Shoes and Retail Apparel ,20__1,20,1.0,6. p95_trade_value,150000.0,80000.0,4.0,5.0,0.8,0.55,1. ABOVE BASELINE,6.0,7.0,0.8571428571428571
WWW,Consumer Discretionary,Shoes and Retail Apparel ,20__1,20,1.0,7. p90_trade_value,77280.0,30000.0,4.0,6.0,0.6666666666666666,0.55,1. ABOVE BASELINE,10.0,13.0,0.7692307692307693
WWW,Consumer Discretionary,Shoes and Retail Apparel ,20__1,20,1.0,8. p75_trade_value,24000.0,9735.0,14.0,19.0,0.7368421052631579,0.55,1. ABOVE BASELINE,24.0,32.0,0.75
