security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
ACI,Consumer Staples,Consumer Products - Staples,0.55,,,,434,25__1,25,1.0,19758.5,37584.0,100000.0,310000.0,310000.0,310000.0,310000.0
BJ,Consumer Staples,Consumer Products - Staples,0.55,,,,643,30__0,30,0.0,11434.0,16360.0,67067.0,213516.44,302601.64,311510.16,312401.02
CHD,Consumer Staples,Consumer Products - Staples,0.55,,,,186,25__1,25,1.0,19575.0,34400.0,162505.75,255444.42,264584.44,265498.44,265589.84
CL,Consumer Staples,Consumer Products - Staples,0.55,877710.0,1. p999999_trade_value,1.0,694,30__0,30,0.0,13615.0,17535.0,51342.65,535070.01,843446.0,874283.6,877367.36
CLX,Consumer Staples,Consumer Products - Staples,0.55,,,,766,30__0,30,0.0,22325.0,35105.0,145600.0,280875.0,298087.5,299808.75,299980.88
DNUT,Consumer Staples,Consumer Products - Staples,0.55,11060.0,7. p90_trade_value,2.0,13,10__0,10,0.0,10608.0,33082.0,59508.4,65454.34,66048.93,66108.39,66114.34
EYE,Consumer Staples,Consumer Products - Staples,0.55,24000.0,6. p95_trade_value,2.0,21,15__0,15,0.0,14910.0,24000.0,59504.0,67492.4,68291.24,68371.12,68379.11
GO,Consumer Staples,Consumer Products - Staples,0.55,7200.0,8. p75_trade_value,14.0,56,15__0,15,0.0,12500.0,20835.0,195459.0,279420.9,287817.09,288656.71,288740.67
KLG,Consumer Staples,Consumer Products - Staples,0.55,12100.000000000002,1. p999999_trade_value,2.0,7,10__0,10,0.0,12100.0,12100.0,12100.0,12100.0,12100.0,12100.0,12100.0
KMB,Consumer Staples,Consumer Products - Staples,0.55,,,,283,25__0,25,0.0,20297.0,61300.0,193500.0,204527.86,207895.79,208232.58,208266.26
KVUE,Consumer Staples,Consumer Products - Staples,0.55,279378.0,1. p999999_trade_value,1.0,486,25__0,25,0.0,21651.0,47500.0,209062.5,262704.67,277710.67,279211.27,279361.33
LESL,Consumer Staples,Consumer Products - Staples,0.55,6990.000000000001,8. p75_trade_value,3.0,12,10__0,10,0.0,17079.0,20135.0,22027.0,22452.7,22495.27,22499.53,22499.95
NWL,Consumer Staples,Consumer Products - Staples,0.55,140000.0,1. p999999_trade_value,1.0,55,15__0,15,0.0,18082.0,26700.0,88956.5,134895.65,139489.56,139948.96,139994.9
OLLI,Consumer Staples,Consumer Products - Staples,0.55,180071.99999999997,5. p99_trade_value,6.0,525,25__1,25,1.0,15750.0,39136.0,180054.72,504536.9,665482.19,681576.72,683186.17
PG,Consumer Staples,Consumer Products - Staples,0.55,637500.0,1. p999999_trade_value,1.0,5023,35__0,35,0.0,14023.2,22130.4,55209.84,259238.44,543304.86,628080.49,636558.05
RH,Consumer Staples,Consumer Products - Staples,0.55,,,,14469,40__0,40,0.0,17462.4,28525.6,84500.0,445960.0,2237713.04,3089957.1,3166495.71
TBBB,Consumer Staples,Consumer Products - Staples,0.55,,,,11,10__0,10,0.0,9000.0,13940.0,17892.0,18781.2,18870.12,18879.01,18879.9
TDUP,Consumer Staples,Consumer Products - Staples,0.55,10300.0,8. p75_trade_value,9.0,36,15__0,15,0.0,13050.0,33716.25,81681.25,86918.13,87441.81,87494.18,87499.42
UL,Consumer Staples,Consumer Products - Staples,0.55,13650.0,8. p75_trade_value,17.0,65,20__0,20,0.0,25872.0,29736.0,41750.6,42735.56,42834.06,42843.91,42844.89
WDFC,Consumer Staples,Consumer Products - Staples,0.55,10170.0,7. p90_trade_value,9.0,84,20__0,20,0.0,10101.0,11985.0,20072.5,45657.25,48215.72,48471.57,48497.16
WRBY,Consumer Staples,Consumer Products - Staples,0.55,349160.00000000006,1. p999999_trade_value,1.0,48,15__0,15,0.0,20250.5,74511.75,221658.4,336409.84,347884.98,349032.5,349147.25
