security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ACI,Consumer Staples,Consumer Products - Staples,25__1,25,1.0,1. p999999_trade_value,310000.0,310000.0,0.0,2.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
ACI,Consumer Staples,Consumer Products - Staples,25__1,25,1.0,5. p99_trade_value,170000.0,100000.0,1.0,4.0,0.25,0.55,2. BELOW BASELINE,1.0,6.0,0.16666666666666666
ACI,Consumer Staples,Consumer Products - Staples,25__1,25,1.0,6. p95_trade_value,90000.0,37740.0,6.0,16.0,0.375,0.55,2. BELOW BASELINE,7.0,22.0,0.3181818181818182
ACI,Consumer Staples,Consumer Products - Staples,25__1,25,1.0,7. p90_trade_value,37500.0,20000.0,9.0,22.0,0.4090909090909091,0.55,2. BELOW BASELINE,16.0,44.0,0.36363636363636365
ACI,Consumer Staples,Consumer Products - Staples,25__1,25,1.0,8. p75_trade_value,19195.0,8385.0,30.0,65.0,0.46153846153846156,0.55,2. BELOW BASELINE,46.0,109.0,0.42201834862385323
ADM,Consumer Staples,Agriculture - Operations,25__1,25,1.0,1. p999999_trade_value,432000.0,432000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
ADM,Consumer Staples,Agriculture - Operations,25__1,25,1.0,5. p99_trade_value,220837.5,87418.0,2.0,3.0,0.6666666666666666,0.55,2. BELOW BASELINE,2.0,4.0,0.5
ADM,Consumer Staples,Agriculture - Operations,25__1,25,1.0,6. p95_trade_value,55560.0,16560.0,5.0,13.0,0.38461538461538464,0.55,2. BELOW BASELINE,7.0,17.0,0.4117647058823529
ADM,Consumer Staples,Agriculture - Operations,25__1,25,1.0,7. p90_trade_value,16497.0,11025.0,5.0,16.0,0.3125,0.55,2. BELOW BASELINE,12.0,33.0,0.36363636363636365
ADM,Consumer Staples,Agriculture - Operations,25__1,25,1.0,8. p75_trade_value,10920.0,6800.0,21.0,48.0,0.4375,0.55,2. BELOW BASELINE,33.0,81.0,0.4074074074074074
AGRO,Consumer Staples,Agriculture - Operations,10__0,10,0.0,1. p999999_trade_value,22920.0,22920.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
AGRO,Consumer Staples,Agriculture - Operations,10__0,10,0.0,8. p75_trade_value,4520.0,4520.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
AVO,Consumer Staples,Agriculture - Operations,5__0,5,0.0,1. p999999_trade_value,7500.0,7500.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
BGS,Consumer Staples,Food - Miscellaneous,10__0,10,0.0,1. p999999_trade_value,11960.0,11960.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
BGS,Consumer Staples,Food - Miscellaneous,10__0,10,0.0,7. p90_trade_value,10430.0,10430.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
BGS,Consumer Staples,Food - Miscellaneous,10__0,10,0.0,8. p75_trade_value,6340.000000000001,6340.000000000001,0.0,1.0,0.0,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
BJ,Consumer Staples,Consumer Products - Staples,30__0,30,0.0,1. p999999_trade_value,312500.0,312500.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
BJ,Consumer Staples,Consumer Products - Staples,30__0,30,0.0,5. p99_trade_value,158320.0,67550.0,2.0,6.0,0.3333333333333333,0.55,2. BELOW BASELINE,2.0,7.0,0.2857142857142857
BJ,Consumer Staples,Consumer Products - Staples,30__0,30,0.0,6. p95_trade_value,66400.0,16400.0,16.0,26.0,0.6153846153846154,0.55,2. BELOW BASELINE,18.0,33.0,0.5454545454545454
BJ,Consumer Staples,Consumer Products - Staples,30__0,30,0.0,7. p90_trade_value,16000.0,11479.999999999998,23.0,32.0,0.71875,0.55,2. BELOW BASELINE,41.0,65.0,0.6307692307692307
BJ,Consumer Staples,Consumer Products - Staples,30__0,30,0.0,8. p75_trade_value,11250.0,6750.0,56.0,96.0,0.5833333333333334,0.55,2. BELOW BASELINE,97.0,161.0,0.6024844720496895
BRBR,Consumer Staples,Food - Miscellaneous,10__2,10,2.0,1. p999999_trade_value,153600.0,153600.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
BRBR,Consumer Staples,Food - Miscellaneous,10__2,10,2.0,7. p90_trade_value,25000.0,25000.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
BRBR,Consumer Staples,Food - Miscellaneous,10__2,10,2.0,8. p75_trade_value,18750.0,18330.0,2.0,2.0,1.0,0.55,2. BELOW BASELINE,3.0,4.0,0.75
BRFS,Consumer Staples,Food - Miscellaneous,0__0,0,0.0,1. p999999_trade_value,4920.0,4920.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
BTI,Consumer Staples,Tobacco,25__1,25,1.0,1. p999999_trade_value,147600.0,147600.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
BTI,Consumer Staples,Tobacco,25__1,25,1.0,5. p99_trade_value,106600.0,38500.00000000001,2.0,3.0,0.6666666666666666,0.55,1. ABOVE BASELINE,3.0,4.0,0.75
BTI,Consumer Staples,Tobacco,25__1,25,1.0,6. p95_trade_value,29400.0,14850.0,12.0,14.0,0.8571428571428571,0.55,1. ABOVE BASELINE,15.0,18.0,0.8333333333333334
BTI,Consumer Staples,Tobacco,25__1,25,1.0,7. p90_trade_value,14300.0,11250.0,12.0,18.0,0.6666666666666666,0.55,1. ABOVE BASELINE,27.0,36.0,0.75
BTI,Consumer Staples,Tobacco,25__1,25,1.0,8. p75_trade_value,11050.0,7564.999999999999,34.0,51.0,0.6666666666666666,0.55,1. ABOVE BASELINE,61.0,87.0,0.7011494252873564
BUD,Consumer Staples,Beverages - Alcohol,25__1,25,1.0,1. p999999_trade_value,165000.00000000003,165000.00000000003,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
BUD,Consumer Staples,Beverages - Alcohol,25__1,25,1.0,5. p99_trade_value,120000.0,102000.00000000001,1.0,2.0,0.5,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
BUD,Consumer Staples,Beverages - Alcohol,25__1,25,1.0,6. p95_trade_value,75000.0,29000.0,7.0,12.0,0.5833333333333334,0.55,2. BELOW BASELINE,9.0,15.0,0.6
BUD,Consumer Staples,Beverages - Alcohol,25__1,25,1.0,7. p90_trade_value,28980.0,17500.0,6.0,14.0,0.42857142857142855,0.55,2. BELOW BASELINE,15.0,29.0,0.5172413793103449
BUD,Consumer Staples,Beverages - Alcohol,25__1,25,1.0,8. p75_trade_value,17400.0,9840.0,28.0,43.0,0.6511627906976745,0.55,2. BELOW BASELINE,43.0,72.0,0.5972222222222222
BYND,Consumer Staples,Food - Meat Products,25__1,25,1.0,1. p999999_trade_value,176000.0,176000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
BYND,Consumer Staples,Food - Meat Products,25__1,25,1.0,5. p99_trade_value,135100.00000000003,108665.99999999999,0.0,4.0,0.0,0.55,2. BELOW BASELINE,0.0,5.0,0.0
