security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
BYND,Consumer Staples,Food - Meat Products,25__1,25,1.0,1. p999999_trade_value,176000.0,176000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
BYND,Consumer Staples,Food - Meat Products,25__1,25,1.0,5. p99_trade_value,135100.00000000003,108665.99999999999,0.0,4.0,0.0,0.55,2. BELOW BASELINE,0.0,5.0,0.0
BYND,Consumer Staples,Food - Meat Products,25__1,25,1.0,6. p95_trade_value,94500.0,21300.0,3.0,19.0,0.15789473684210525,0.55,2. BELOW BASELINE,3.0,24.0,0.125
BYND,Consumer Staples,Food - Meat Products,25__1,25,1.0,7. p90_trade_value,21000.000000000004,13640.0,8.0,24.0,0.3333333333333333,0.55,2. BELOW BASELINE,11.0,48.0,0.22916666666666666
BYND,Consumer Staples,Food - Meat Products,25__1,25,1.0,8. p75_trade_value,13185.0,6500.0,32.0,72.0,0.4444444444444444,0.55,2. BELOW BASELINE,43.0,120.0,0.35833333333333334
CPB,Consumer Staples,Food - Miscellaneous,25__1,25,1.0,1. p999999_trade_value,312564.0,312564.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
CPB,Consumer Staples,Food - Miscellaneous,25__1,25,1.0,5. p99_trade_value,143166.0,141828.0,2.0,2.0,1.0,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
CPB,Consumer Staples,Food - Miscellaneous,25__1,25,1.0,6. p95_trade_value,68600.0,40404.0,5.0,8.0,0.625,0.55,2. BELOW BASELINE,7.0,11.0,0.6363636363636364
CPB,Consumer Staples,Food - Miscellaneous,25__1,25,1.0,7. p90_trade_value,40140.0,21000.0,6.0,10.0,0.6,0.55,2. BELOW BASELINE,13.0,21.0,0.6190476190476191
CPB,Consumer Staples,Food - Miscellaneous,25__1,25,1.0,8. p75_trade_value,19550.0,8148.0,15.0,29.0,0.5172413793103449,0.55,2. BELOW BASELINE,28.0,50.0,0.56
FRPT,Consumer Staples,Food - Miscellaneous,25__1,25,1.0,1. p999999_trade_value,556050.0,556050.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
FRPT,Consumer Staples,Food - Miscellaneous,25__1,25,1.0,5. p99_trade_value,490000.0,247625.0,4.0,4.0,1.0,0.55,1. ABOVE BASELINE,5.0,5.0,1.0
FRPT,Consumer Staples,Food - Miscellaneous,25__1,25,1.0,6. p95_trade_value,174825.0,42000.0,10.0,19.0,0.5263157894736842,0.55,2. BELOW BASELINE,15.0,24.0,0.625
FRPT,Consumer Staples,Food - Miscellaneous,25__1,25,1.0,7. p90_trade_value,40655.0,18000.0,15.0,23.0,0.6521739130434783,0.55,2. BELOW BASELINE,30.0,47.0,0.6382978723404256
FRPT,Consumer Staples,Food - Miscellaneous,25__1,25,1.0,8. p75_trade_value,16905.0,7800.0,43.0,70.0,0.6142857142857143,0.55,2. BELOW BASELINE,73.0,117.0,0.6239316239316239
GIS,Consumer Staples,Food - Miscellaneous,25__1,25,1.0,1. p999999_trade_value,300000.0,300000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
GIS,Consumer Staples,Food - Miscellaneous,25__1,25,1.0,5. p99_trade_value,169200.0,113130.0,1.0,4.0,0.25,0.55,2. BELOW BASELINE,2.0,5.0,0.4
GIS,Consumer Staples,Food - Miscellaneous,25__1,25,1.0,6. p95_trade_value,96000.0,26205.0,11.0,19.0,0.5789473684210527,0.55,2. BELOW BASELINE,13.0,24.0,0.5416666666666666
GIS,Consumer Staples,Food - Miscellaneous,25__1,25,1.0,7. p90_trade_value,24839.999999999996,17860.0,7.0,23.0,0.30434782608695654,0.55,2. BELOW BASELINE,20.0,47.0,0.425531914893617
