security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
AB,Finance,Financial - Investment Management,10__0,10,0.0,1. p999999_trade_value,22500.0,22500.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
AB,Finance,Financial - Investment Management,10__0,10,0.0,7. p90_trade_value,16000.0,16000.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
AB,Finance,Financial - Investment Management,10__0,10,0.0,8. p75_trade_value,13050.0,13050.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
ABL,Finance,Insurance - Life Insurance,0__0,0,0.0,1. p999999_trade_value,3060.0,3060.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
ABR,Finance,REIT and Equity Trust,25__0,25,0.0,1. p999999_trade_value,315000.0,315000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ABR,Finance,REIT and Equity Trust,25__0,25,0.0,5. p99_trade_value,220000.0,179475.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
ABR,Finance,REIT and Equity Trust,25__0,25,0.0,6. p95_trade_value,164250.0,74940.0,7.0,10.0,0.7,0.55,2. BELOW BASELINE,9.0,13.0,0.6923076923076923
ABR,Finance,REIT and Equity Trust,25__0,25,0.0,7. p90_trade_value,72355.0,29976.0,5.0,13.0,0.38461538461538464,0.55,2. BELOW BASELINE,14.0,26.0,0.5384615384615384
ABR,Finance,REIT and Equity Trust,25__0,25,0.0,8. p75_trade_value,29070.0,9810.0,29.0,39.0,0.7435897435897436,0.55,2. BELOW BASELINE,43.0,65.0,0.6615384615384615
ACGL,Finance,Insurance - Property and Casualty,20__0,20,0.0,1. p999999_trade_value,53370.00000000001,53370.00000000001,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
ACGL,Finance,Insurance - Property and Casualty,20__0,20,0.0,5. p99_trade_value,31395.0,31395.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
ACGL,Finance,Insurance - Property and Casualty,20__0,20,0.0,6. p95_trade_value,27650.0,14445.000000000002,2.0,5.0,0.4,0.55,2. BELOW BASELINE,3.0,7.0,0.42857142857142855
ACGL,Finance,Insurance - Property and Casualty,20__0,20,0.0,7. p90_trade_value,12390.0,8910.0,2.0,6.0,0.3333333333333333,0.55,2. BELOW BASELINE,5.0,13.0,0.38461538461538464
ACGL,Finance,Insurance - Property and Casualty,20__0,20,0.0,8. p75_trade_value,8235.0,5780.0,12.0,18.0,0.6666666666666666,0.55,2. BELOW BASELINE,17.0,31.0,0.5483870967741935
ACIC,Finance,Insurance - Property and Casualty,10__0,10,0.0,1. p999999_trade_value,7350.0,7350.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
