security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
ORI,Finance,Insurance - Multi line,10__0,10,0.0,1. p999999_trade_value,58960.0,58960.0,O:ORI241115P00035000,ORI,P,35.0,2024-11-15,235,0,313,0.55,1729604581520000000,1072,58960.0,2024-10-22,Multi Leg floor trade,Finance,Insurance - Multi line,35.93,35.94,35.365,35.77,1,4.770557474850995,1,1,0,0,0
PFG,Finance,Insurance - Multi line,10__0,10,0.0,7. p90_trade_value,22200.0,22200.0,O:PFG250417C00085000,PFG,C,85.0,2025-04-17,231,0,301,1.2,1742572722384000000,185,22200.0,2025-03-21,Single Leg Floor Trade,Finance,Insurance - Multi line,83.38,83.7,82.605,83.26,2,4.346352974450639,2,1,0,0,0
PFG,Finance,Insurance - Multi line,10__0,10,0.0,1. p999999_trade_value,41065.0,41065.0,O:PFG250516C00075000,PFG,C,75.0,2025-05-16,227,0,301,2.15,1744905596912000000,191,41065.0,2025-04-17,Single Leg Auction Non ISO,Finance,Insurance - Multi line,72.03,73.33,71.98,72.14,1,4.613471827163333,1,1,1,1,0
PLMR,Finance,Insurance - Property and Casualty,10__0,10,0.0,8. p75_trade_value,7350.0,10500.0,O:PLMR241220P00105000,PLMR,P,105.0,2024-12-20,209,0,325,2.1,1733429851646000000,50,10500.0,2024-12-05,Automatic Execution,Finance,Insurance - Property and Casualty,110.58,111.565,105.8,108.42,2,4.021189299069938,2,1,1,1,0
PLMR,Finance,Insurance - Property and Casualty,10__0,10,0.0,1. p999999_trade_value,20000.0,20000.0,O:PLMR241220P00105000,PLMR,P,105.0,2024-12-20,209,0,325,2.0,1733426844138000000,100,20000.0,2024-12-05,Automatic Execution,Finance,Insurance - Property and Casualty,110.58,111.565,105.8,108.42,1,4.301029995663981,1,1,1,1,0
PLMR,Finance,Insurance - Property and Casualty,10__0,10,0.0,8. p75_trade_value,7350.0,10500.0,O:PLMR241220P00105000,PLMR,P,105.0,2024-12-20,209,0,304,1.5,1733502958571000000,49,7350.0,2024-12-06,Automatic Execution,Finance,Insurance - Property and Casualty,109.73,111.36,108.135,110.45,3,3.8662873390841948,3,1,1,1,0
SPNT,Finance,Insurance - Multi line,10__0,10,0.0,1. p999999_trade_value,6000.0,6000.0,O:SPNT250321C00015000,SPNT,C,15.0,2025-03-21,209,0,308,0.2,1741789224775000000,300,6000.0,2025-03-12,Automatic Execution,Finance,Insurance - Multi line,14.85,14.85,14.34,14.41,1,3.7781512503836434,1,1,1,1,0
ACIC,Finance,Insurance - Property and Casualty,10__0,10,0.0,7. p90_trade_value,7200.0,7200.0,O:ACIC241115C00013000,ACIC,C,13.0,2024-11-15,227,0,300,0.8,1729799652111000000,90,7200.0,2024-10-24,Single Leg Auction Non ISO,Finance,Insurance - Property and Casualty,10.95,12.73,10.95,12.65,2,3.8573324964312685,2,1,1,0,0
ACIC,Finance,Insurance - Property and Casualty,10__0,10,0.0,8. p75_trade_value,4990.000000000001,5700.0,O:ACIC241220C00015000,ACIC,C,15.0,2024-12-20,209,0,304,0.4,1732559207562000000,131,5240.000000000001,2024-11-25,Automatic Execution,Finance,Insurance - Property and Casualty,13.55,13.91,13.45,13.57,4,3.719331286983727,4,1,0,0,0
ACIC,Finance,Insurance - Property and Casualty,10__0,10,0.0,8. p75_trade_value,4990.000000000001,5700.0,O:ACIC250117P00012000,ACIC,P,12.0,2025-01-17,227,0,323,0.38,1734725220206000000,150,5700.0,2024-12-20,Single Leg Auction Non ISO,Finance,Insurance - Property and Casualty,12.85,13.3,12.78,13.13,3,3.7558748556724915,3,1,0,0,0
ACIC,Finance,Insurance - Property and Casualty,10__0,10,0.0,8. p75_trade_value,4990.000000000001,5700.0,O:ACIC250221P00012500,ACIC,P,12.5,2025-02-21,233,0,302,0.1,1739997710163000000,499,4990.000000000001,2025-02-19,Multi Leg Auction,Finance,Insurance - Property and Casualty,12.76,13.5,12.69,13.38,5,3.69810054562339,5,0,0,0,1
ACIC,Finance,Insurance - Property and Casualty,10__0,10,0.0,1. p999999_trade_value,7350.0,7350.0,O:ACIC250321P00012000,ACIC,P,12.0,2025-03-21,209,0,318,0.7,1740079321608000000,105,7350.0,2025-02-20,Automatic Execution,Finance,Insurance - Property and Casualty,13.28,13.4482,12.6,12.7,1,3.8662873390841948,1,1,1,1,0
EQH,Finance,Insurance - Multi line,10__3,10,3.0,7. p90_trade_value,13319.999999999998,13319.999999999998,O:EQH240920P00040000,EQH,P,40.0,2024-09-20,235,0,300,0.37,1725373934433000000,360,13319.999999999998,2024-09-03,Multi Leg floor trade,Finance,Insurance - Multi line,41.99,42.35,41.14,41.35,2,4.124504224834282,2,1,0,0,0
EQH,Finance,Insurance - Multi line,10__3,10,3.0,8. p75_trade_value,7650.0,9360.0,O:EQH241115P00045000,EQH,P,45.0,2024-11-15,236,0,308,0.9,1730317369044000000,85,7650.0,2024-10-30,Multi Leg auto-electronic trade against single leg(s),Finance,Insurance - Multi line,45.87,46.48,45.66,46.19,4,3.8836614351536176,4,1,0,0,0
