security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,security_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
HHH,Finance,Real Estate - Development,20__0,20,0.0,1. p999999_trade_value,91908.0,91908.0,O:HHH250516C00075000,HHH,C,75.0,2025-05-16,209,0,325,0.92,1745945562707000000,999,91908.0,2025-04-29,Automatic Execution,Finance,Real Estate - Development,67.03,68.22,66.3438,67.71,1,4.9633533155715375,1,1,0,0,0
JLL,Finance,Real Estate - Operations,20__0,20,0.0,7. p90_trade_value,19800.0,23500.0,O:JLL240920C00260000,JLL,C,260.0,2024-09-20,209,0,316,7.4,1724436928030000000,27,19980.0,2024-08-23,Automatic Execution,Finance,Real Estate - Operations,249.18,259.91,248.66,259.04,5,4.300595483889963,2,1,1,1,0
JLL,Finance,Real Estate - Operations,20__0,20,0.0,1. p999999_trade_value,226000.0,226000.0,O:JLL250117P00240000,JLL,P,240.0,2025-01-17,235,0,313,4.0,1734637818814000000,565,226000.0,2024-12-19,Multi Leg floor trade,Finance,Real Estate - Operations,255.75,258.895,246.23,246.93,1,5.354108439147401,1,1,0,0,0
JLL,Finance,Real Estate - Operations,20__0,20,0.0,8. p75_trade_value,13330.000000000002,17200.0,O:JLL250221P00250000,JLL,P,250.0,2025-02-21,235,0,301,2.7,1738612826802000000,50,13500.0,2025-02-03,Multi Leg floor trade,Finance,Real Estate - Operations,276.06,279.66,271.675,276.76,14,4.1303337684950066,5,0,0,0,1
JLL,Finance,Real Estate - Operations,20__0,20,0.0,6. p95_trade_value,33000.0,34500.0,O:JLL250221P00270000,JLL,P,270.0,2025-02-21,235,0,301,6.9,1738612826802000000,50,34500.0,2025-02-03,Multi Leg floor trade,Finance,Real Estate - Operations,276.06,279.66,271.675,276.76,2,4.537819095073274,1,1,1,1,0
JLL,Finance,Real Estate - Operations,20__0,20,0.0,7. p90_trade_value,19800.0,23500.0,O:JLL250321P00270000,JLL,P,270.0,2025-03-21,235,0,323,4.7,1739996828239000000,50,23500.0,2025-02-19,Multi Leg floor trade,Finance,Real Estate - Operations,274.18,283.48,272.92,279.27,4,4.371067862271736,2,1,1,1,0
JLL,Finance,Real Estate - Operations,20__0,20,0.0,8. p75_trade_value,13330.000000000002,17200.0,O:JLL250516C00240000,JLL,C,240.0,2025-05-16,219,0,316,4.0,1746455234307000000,38,15200.0,2025-05-05,Intermarket Sweep Order,Finance,Real Estate - Operations,232.26,236.095,232.11,232.84,10,4.181843587944773,4,1,0,0,0
JLL,Finance,Real Estate - Operations,20__0,20,0.0,8. p75_trade_value,13330.000000000002,17200.0,O:JLL250516C00240000,JLL,C,240.0,2025-05-16,209,0,316,4.5,1746456488280000000,38,17100.0,2025-05-05,Automatic Execution,Finance,Real Estate - Operations,232.26,236.095,232.11,232.84,8,4.232996110392154,3,1,0,0,0
JLL,Finance,Real Estate - Operations,20__0,20,0.0,8. p75_trade_value,13330.000000000002,17200.0,O:JLL250516C00240000,JLL,C,240.0,2025-05-16,209,0,316,3.8,1746454075082000000,37,14060.0,2025-05-05,Automatic Execution,Finance,Real Estate - Operations,232.26,236.095,232.11,232.84,12,4.147985320683805,4,1,0,0,0
JLL,Finance,Real Estate - Operations,20__0,20,0.0,8. p75_trade_value,13330.000000000002,17200.0,O:JLL250516C00240000,JLL,C,240.0,2025-05-16,209,0,316,4.0,1746455216066000000,43,17200.0,2025-05-05,Automatic Execution,Finance,Real Estate - Operations,232.26,236.095,232.11,232.84,7,4.235528446907549,3,1,0,0,0
