security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
AMT,Finance,REIT and Equity Trust - Other,30__2,30,2.0,1. p999999_trade_value,621900.0,621900.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
AMT,Finance,REIT and Equity Trust - Other,30__2,30,2.0,5. p99_trade_value,345000.0,149760.0,1.0,5.0,0.2,0.55,2. BELOW BASELINE,1.0,6.0,0.16666666666666666
AMT,Finance,REIT and Equity Trust - Other,30__2,30,2.0,6. p95_trade_value,115000.0,54390.0,9.0,24.0,0.375,0.55,2. BELOW BASELINE,10.0,30.0,0.3333333333333333
AMT,Finance,REIT and Equity Trust - Other,30__2,30,2.0,7. p90_trade_value,50220.0,26208.000000000004,10.0,29.0,0.3448275862068966,0.55,2. BELOW BASELINE,20.0,59.0,0.3389830508474576
AMT,Finance,REIT and Equity Trust - Other,30__2,30,2.0,8. p75_trade_value,25550.0,10080.0,54.0,89.0,0.6067415730337079,0.55,2. BELOW BASELINE,74.0,148.0,0.5
DLR,Finance,REIT and Equity Trust - Other,30__0,30,0.0,1. p999999_trade_value,608585.0,608585.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
DLR,Finance,REIT and Equity Trust - Other,30__0,30,0.0,5. p99_trade_value,198000.0,47500.0,5.0,9.0,0.5555555555555556,0.55,2. BELOW BASELINE,5.0,10.0,0.5
DLR,Finance,REIT and Equity Trust - Other,30__0,30,0.0,6. p95_trade_value,45600.0,22620.0,18.0,40.0,0.45,0.55,2. BELOW BASELINE,23.0,50.0,0.46
DLR,Finance,REIT and Equity Trust - Other,30__0,30,0.0,7. p90_trade_value,22330.0,14210.0,34.0,48.0,0.7083333333333334,0.55,2. BELOW BASELINE,57.0,98.0,0.5816326530612245
DLR,Finance,REIT and Equity Trust - Other,30__0,30,0.0,8. p75_trade_value,14100.0,8370.0,99.0,146.0,0.678082191780822,0.55,2. BELOW BASELINE,156.0,244.0,0.639344262295082
EQIX,Finance,REIT and Equity Trust - Retail,30__0,30,0.0,1. p999999_trade_value,151900.0,151900.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
EQIX,Finance,REIT and Equity Trust - Retail,30__0,30,0.0,5. p99_trade_value,147000.0,61050.0,2.0,5.0,0.4,0.55,2. BELOW BASELINE,2.0,6.0,0.3333333333333333
EQIX,Finance,REIT and Equity Trust - Retail,30__0,30,0.0,6. p95_trade_value,58112.0,25800.0,19.0,24.0,0.7916666666666666,0.55,2. BELOW BASELINE,21.0,30.0,0.7
EQIX,Finance,REIT and Equity Trust - Retail,30__0,30,0.0,7. p90_trade_value,25740.000000000004,18090.0,24.0,29.0,0.8275862068965517,0.55,2. BELOW BASELINE,45.0,59.0,0.7627118644067796
EQIX,Finance,REIT and Equity Trust - Retail,30__0,30,0.0,8. p75_trade_value,18000.0,10080.0,41.0,93.0,0.44086021505376344,0.55,2. BELOW BASELINE,86.0,152.0,0.5657894736842105
MPW,Finance,REIT and Equity Trust - Other,30__0,30,0.0,1. p999999_trade_value,727398.0,727398.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
MPW,Finance,REIT and Equity Trust - Other,30__0,30,0.0,5. p99_trade_value,300000.0,114977.0,7.0,9.0,0.7777777777777778,0.55,2. BELOW BASELINE,7.0,10.0,0.7
MPW,Finance,REIT and Equity Trust - Other,30__0,30,0.0,6. p95_trade_value,111370.0,26850.0,25.0,39.0,0.6410256410256411,0.55,2. BELOW BASELINE,32.0,49.0,0.6530612244897959
MPW,Finance,REIT and Equity Trust - Other,30__0,30,0.0,7. p90_trade_value,26360.000000000004,15000.0,30.0,48.0,0.625,0.55,2. BELOW BASELINE,62.0,97.0,0.6391752577319587
MPW,Finance,REIT and Equity Trust - Other,30__0,30,0.0,8. p75_trade_value,14994.0,7739.999999999999,99.0,146.0,0.678082191780822,0.55,2. BELOW BASELINE,161.0,243.0,0.6625514403292181
