security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,6. p95_trade_value,30951.0,103000.0,O:AA240920P00030000,AA,P,30.0,2024-09-20,209,0,307,0.48,1724854102902000000,646,31008.0,2024-08-28,Automatic Execution,Industrial Products,Metal Products - Distribution,33.19,33.305,32.0,32.09,81,4.491473755370671,1,1,0,0,0
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,5. p99_trade_value,110000.0,744571.9999999999,O:AA240920P00030000,AA,P,30.0,2024-09-20,227,0,323,0.56,1724854753555000000,3103,173768.0,2024-08-28,Single Leg Auction Non ISO,Industrial Products,Metal Products - Distribution,33.19,33.305,32.0,32.09,10,5.239969802590366,1,1,0,0,0
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,6. p95_trade_value,30951.0,103000.0,O:AA241004C00035000,AA,C,35.0,2024-10-04,209,0,313,0.54,1725468810248000000,610,32940.0,2024-09-04,Automatic Execution,Industrial Products,Metal Products - Distribution,30.84,31.22,30.46,30.48,70,4.517723594833735,1,1,1,1,0
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,6. p95_trade_value,30951.0,103000.0,O:AA241004P00028000,AA,P,28.0,2024-10-04,209,0,325,1.35,1725650390820000000,700,94500.00000000001,2024-09-06,Automatic Execution,Industrial Products,Metal Products - Distribution,30.0,30.2274,28.345,28.53,25,4.975431808509263,1,1,0,0,0
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,5. p99_trade_value,110000.0,744571.9999999999,O:AA241004P00032000,AA,P,32.0,2024-10-04,234,0,300,0.48,1726673423014000000,2498,119904.0,2024-09-18,Multi Leg Cross,Industrial Products,Metal Products - Distribution,34.24,35.95,33.88,34.34,14,5.078833671413704,1,0,0,0,1
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,6. p95_trade_value,30951.0,103000.0,O:AA241018P00030000,AA,P,30.0,2024-10-18,209,0,313,0.37,1726756591130000000,949,35113.0,2024-09-19,Automatic Execution,Industrial Products,Metal Products - Distribution,35.4,35.76,34.8,34.92,65,4.545467936494288,1,0,0,0,1
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,5. p99_trade_value,110000.0,744571.9999999999,O:AA241018C00040000,AA,C,40.0,2024-10-18,227,0,301,1.8,1727358700552000000,1500,270000.0,2024-09-26,Single Leg Auction Non ISO,Industrial Products,Metal Products - Distribution,38.3,39.62,38.0,39.28,9,5.431363764158987,1,1,1,1,0
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,6. p95_trade_value,30951.0,103000.0,O:AA241018C00041000,AA,C,41.0,2024-10-18,209,0,320,1.71,1727447562126000000,181,30951.0,2024-09-27,Automatic Execution,Industrial Products,Metal Products - Distribution,39.53,40.2999,39.0901,39.27,82,4.490674685261339,1,1,1,1,0
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,5. p99_trade_value,110000.0,744571.9999999999,O:AA241018C00040000,AA,C,40.0,2024-10-18,235,0,301,1.72,1727798989472000000,3496,601312.0,2024-10-01,Multi Leg floor trade,Industrial Products,Metal Products - Distribution,39.42,39.8399,38.772,39.18,6,5.779099870869914,1,1,1,1,0
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,6. p95_trade_value,30951.0,103000.0,O:AA241018P00038000,AA,P,38.0,2024-10-18,209,0,316,1.29,1727799009071000000,253,32637.0,2024-10-01,Automatic Execution,Industrial Products,Metal Products - Distribution,39.42,39.8399,38.772,39.18,71,4.513710231475067,1,1,0,0,0
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,6. p95_trade_value,30951.0,103000.0,O:AA241018P00038000,AA,P,38.0,2024-10-18,209,0,319,1.29,1727799009072000000,253,32637.0,2024-10-01,Automatic Execution,Industrial Products,Metal Products - Distribution,39.42,39.8399,38.772,39.18,72,4.513710231475067,1,1,0,0,0
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,6. p95_trade_value,30951.0,103000.0,O:AA241101C00040000,AA,C,40.0,2024-11-01,209,0,309,2.23,1728322643102000000,189,42147.0,2024-10-07,Automatic Execution,Industrial Products,Metal Products - Distribution,38.68,39.798,38.68,39.47,54,4.6247666672214045,1,1,1,1,0
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,6. p95_trade_value,30951.0,103000.0,O:AA241018C00040000,AA,C,40.0,2024-10-18,209,0,313,0.7,1728417019144000000,867,60690.0,2024-10-08,Automatic Execution,Industrial Products,Metal Products - Distribution,38.42,38.72,37.2,37.73,31,4.783117137490467,1,1,1,1,0
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,6. p95_trade_value,30951.0,103000.0,O:AA241018C00040000,AA,C,40.0,2024-10-18,209,0,313,0.64,1728411807583000000,494,31616.000000000004,2024-10-08,Automatic Execution,Industrial Products,Metal Products - Distribution,38.42,38.72,37.2,37.73,77,4.499906922907535,1,1,1,1,0
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,5. p99_trade_value,110000.0,744571.9999999999,O:AA241018C00040000,AA,C,40.0,2024-10-18,209,0,313,0.62,1728407120889000000,1999,123937.99999999999,2024-10-08,Automatic Execution,Industrial Products,Metal Products - Distribution,38.42,38.72,37.2,37.73,13,5.093204483616371,1,1,1,1,0
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,6. p95_trade_value,30951.0,103000.0,O:AA241101C00040000,AA,C,40.0,2024-11-01,227,0,323,1.97,1728587041502000000,200,39400.0,2024-10-10,Single Leg Auction Non ISO,Industrial Products,Metal Products - Distribution,38.45,39.73,38.21,39.25,58,4.595496221825574,1,1,1,1,0
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,6. p95_trade_value,30951.0,103000.0,O:AA241018C00042000,AA,C,42.0,2024-10-18,209,0,313,1.12,1728653518939000000,387,43344.00000000001,2024-10-11,Automatic Execution,Industrial Products,Metal Products - Distribution,40.65,41.28,40.22,41.02,51,4.636928987689093,1,1,1,0,0
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,6. p95_trade_value,30951.0,103000.0,O:AA241018C00042000,AA,C,42.0,2024-10-18,209,0,316,1.3,1728935783324000000,250,32500.0,2024-10-14,Automatic Execution,Industrial Products,Metal Products - Distribution,40.45,41.99,40.44,41.8,74,4.511883360978874,1,1,1,0,0
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,6. p95_trade_value,30951.0,103000.0,O:AA241018C00042000,AA,C,42.0,2024-10-18,209,0,313,1.3,1728935783323000000,250,32500.0,2024-10-14,Automatic Execution,Industrial Products,Metal Products - Distribution,40.45,41.99,40.44,41.8,75,4.511883360978874,1,1,1,0,0
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,6. p95_trade_value,30951.0,103000.0,O:AA241018C00042000,AA,C,42.0,2024-10-18,209,0,313,1.3,1728935783323000000,250,32500.0,2024-10-14,Automatic Execution,Industrial Products,Metal Products - Distribution,40.45,41.99,40.44,41.8,76,4.511883360978874,1,1,1,0,0
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,6. p95_trade_value,30951.0,103000.0,O:AA241115C00045000,AA,C,45.0,2024-11-15,233,0,308,1.29,1729091457985000000,557,71853.0,2024-10-16,Multi Leg Auction,Industrial Products,Metal Products - Distribution,42.09,42.24,41.56,42.07,28,4.856444905472978,1,1,1,0,0
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,6. p95_trade_value,30951.0,103000.0,O:AA241115P00040000,AA,P,40.0,2024-11-15,219,0,302,1.56,1729106536540000000,309,48204.0,2024-10-16,Intermarket Sweep Order,Industrial Products,Metal Products - Distribution,42.09,42.24,41.56,42.07,47,4.683083077779297,1,1,0,0,0
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,6. p95_trade_value,30951.0,103000.0,O:AA241115C00045000,AA,C,45.0,2024-11-15,235,0,313,0.68,1729194354451000000,1500,102000.00000000001,2024-10-17,Multi Leg floor trade,Industrial Products,Metal Products - Distribution,42.8,42.95,40.02,40.35,20,5.008600171761918,1,1,1,0,0
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,5. p99_trade_value,110000.0,744571.9999999999,O:AA241115P00040000,AA,P,40.0,2024-11-15,227,0,312,1.55,1729173708803000000,736,114080.0,2024-10-17,Single Leg Auction Non ISO,Industrial Products,Metal Products - Distribution,42.8,42.95,40.02,40.35,16,5.05720951250779,1,1,0,0,0
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,6. p95_trade_value,30951.0,103000.0,O:AA241115P00040000,AA,P,40.0,2024-11-15,209,0,313,1.8,1729178741886000000,359,64620.00000000001,2024-10-17,Automatic Execution,Industrial Products,Metal Products - Distribution,42.8,42.95,40.02,40.35,30,4.810366953681625,1,1,0,0,0
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,6. p95_trade_value,30951.0,103000.0,O:AA241115P00040000,AA,P,40.0,2024-11-15,233,0,302,1.41,1729517987977000000,234,32994.0,2024-10-21,Multi Leg Auction,Industrial Products,Metal Products - Distribution,41.82,41.9499,41.18,41.52,68,4.518434970065523,1,1,0,0,0
AA,Industrial Products,Metal Products - Distribution,30__1,30,1.0,6. p95_trade_value,30951.0,103000.0,O:AA241115P00040000,AA,P,40.0,2024-11-15,233,0,302,1.41,1729517987977000000,234,32994.0,2024-10-21,Multi Leg Auction,Industrial Products,Metal Products - Distribution,41.82,41.9499,41.18,41.52,69,4.518434970065523,1,1,0,0,0
