security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
FLS,Industrial Products,Manufacturing - General Industrial ,15__0,15,0.0,1. p999999_trade_value,60600.0,60600.0,O:FLS250620P00048000,FLS,P,48.0,2025-06-20,235,0,313,0.75,1748622253193000000,808,60600.0,2025-05-30,Multi Leg floor trade,Industrial Products,Manufacturing - General Industrial ,50.2,50.54,49.445,49.91,1,4.782472624166286,1,1,0,0,0
GGG,Industrial Products,Manufacturing - General Industrial ,10__0,10,0.0,8. p75_trade_value,17577.0,17577.0,O:GGG240920C00085000,GGG,C,85.0,2024-09-20,232,0,308,0.93,1726514991213000000,189,17577.0,2024-09-16,Multi Leg auto-electronic trade,Industrial Products,Manufacturing - General Industrial ,83.55,84.26,83.34,83.97,2,4.2449447527271795,2,1,1,0,0
GGG,Industrial Products,Manufacturing - General Industrial ,10__0,10,0.0,1. p999999_trade_value,41495.0,41495.0,O:GGG241115C00090000,GGG,C,90.0,2024-11-15,235,0,301,2.15,1729091942888000000,193,41495.0,2024-10-16,Multi Leg floor trade,Industrial Products,Manufacturing - General Industrial ,86.41,86.81,86.02,86.11,1,4.617995768923379,1,1,1,0,0
GTES,Industrial Products,Manufacturing - General Industrial ,15__0,15,0.0,1. p999999_trade_value,97500.0,97500.0,O:GTES250321P00021000,GTES,P,21.0,2025-03-21,235,0,301,0.65,1740516418672000000,1500,97500.0,2025-02-25,Multi Leg floor trade,Industrial Products,Manufacturing - General Industrial ,21.78,22.15,21.35,21.42,1,4.989004615698537,1,1,1,1,0
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,6. p95_trade_value,18125.0,28400.0,O:GTLS241115P00115000,GTLS,P,115.0,2024-11-15,231,0,301,4.8,1729618672972000000,40,19200.0,2024-10-22,Single Leg Floor Trade,Industrial Products,Manufacturing - General Industrial ,125.38,126.62,122.29,122.3,24,4.283301228703549,1,0,0,0,1
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,6. p95_trade_value,18125.0,28400.0,O:GTLS241115C00130000,GTLS,C,130.0,2024-11-15,209,0,323,6.6,1729864232653000000,30,19800.0,2024-10-25,Automatic Execution,Industrial Products,Manufacturing - General Industrial ,123.94,125.52,122.5,123.68,21,4.296665190261531,1,1,1,1,0
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,1. p999999_trade_value,367500.0,367500.0,O:GTLS241115C00125000,GTLS,C,125.0,2024-11-15,235,0,300,7.35,1730389997216000000,500,367500.0,2024-10-31,Multi Leg floor trade,Industrial Products,Manufacturing - General Industrial ,122.04,123.1,120.38,120.72,1,5.565257343420214,1,1,1,1,0
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,6. p95_trade_value,18125.0,28400.0,O:GTLS241115C00150000,GTLS,C,150.0,2024-11-15,209,0,303,1.4,1730388079165000000,200,28000.0,2024-10-31,Automatic Execution,Industrial Products,Manufacturing - General Industrial ,122.04,123.1,120.38,120.72,9,4.447158031342219,1,1,1,1,0
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,5. p99_trade_value,29500.0,244000.0,O:GTLS241115C00170000,GTLS,C,170.0,2024-11-15,234,0,302,2.4,1730919266776000000,275,66000.0,2024-11-06,Multi Leg Cross,Industrial Products,Manufacturing - General Industrial ,160.0,166.37,155.14,166.01,5,4.819543935541868,1,1,1,0,0
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,5. p99_trade_value,29500.0,244000.0,O:GTLS241220C00195000,GTLS,C,195.0,2024-12-20,235,0,323,5.1,1732305304594000000,200,101999.99999999999,2024-11-22,Multi Leg floor trade,Industrial Products,Manufacturing - General Industrial ,176.93,186.175,176.3,183.8,3,5.008600171761917,1,1,0,0,0
