security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
AZTA,Medical,Medical Info Systems,10__3,10,3.0,8. p75_trade_value,12665.0,12665.0,O:AZTA250516P00025000,AZTA,P,25.0,2025-05-16,232,0,313,1.49,1746561466954000000,85,12665.0,2025-05-06,Multi Leg auto-electronic trade,Medical,Medical Info Systems,25.91,26.07,25.305,25.42,2,4.102605194126567,2,1,0,0,0
AZTA,Medical,Medical Info Systems,10__3,10,3.0,1. p999999_trade_value,260000.0,260000.0,O:AZTA250516P00025000,AZTA,P,25.0,2025-05-16,235,0,313,1.3,1746560803991000000,2000,260000.0,2025-05-06,Multi Leg floor trade,Medical,Medical Info Systems,25.91,26.07,25.305,25.42,1,5.414973347970818,1,1,0,0,0
BFLY,Medical,Medical Info Systems,5__0,5,0.0,1. p999999_trade_value,13000.0,13000.0,O:BFLY241115C00002000,BFLY,C,2.0,2024-11-15,227,0,323,0.13,1730397724917000000,1000,13000.0,2024-10-31,Single Leg Auction Non ISO,Medical,Medical Info Systems,1.87,1.87,1.75,1.78,1,4.113943352306837,1,1,1,1,0
CCLD,Medical,Medical Info Systems,0__2,0,2.0,1. p999999_trade_value,4768.0,4768.0,O:CCLD250321C00002000,CCLD,C,2.0,2025-03-21,209,0,316,0.16,1741615889715000000,298,4768.0,2025-03-10,Automatic Execution,Medical,Medical Info Systems,1.63,1.94,1.51,1.68,1,3.67833624673218,1,1,0,0,0
CLOV,Medical,Medical Info Systems,25__0,25,0.0,5. p99_trade_value,20295.0,28458.0,O:CLOV240927C00003000,CLOV,C,3.0,2024-09-27,209,0,313,0.3,1725460328205000000,700,21000.0,2024-09-04,Automatic Execution,Medical,Medical Info Systems,2.72,2.985,2.67,2.865,3,4.3222192947339195,1,1,0,0,0
CLOV,Medical,Medical Info Systems,25__0,25,0.0,6. p95_trade_value,12909.0,20000.0,O:CLOV241018C00004500,CLOV,C,4.5,2024-10-18,209,0,316,0.12,1728667190786000000,1104,13247.999999999998,2024-10-11,Automatic Execution,Medical,Medical Info Systems,4.11,4.22,4.004,4.07,13,4.122150319440805,1,1,0,0,0
CLOV,Medical,Medical Info Systems,25__0,25,0.0,6. p95_trade_value,12909.0,20000.0,O:CLOV241108C00004500,CLOV,C,4.5,2024-11-08,209,0,304,0.27,1728920067307000000,700,18900.0,2024-10-14,Automatic Execution,Medical,Medical Info Systems,4.07,4.19,3.93,4.12,6,4.276461804173244,1,1,0,0,0
CLOV,Medical,Medical Info Systems,25__0,25,0.0,6. p95_trade_value,12909.0,20000.0,O:CLOV241025C00004500,CLOV,C,4.5,2024-10-25,209,0,313,0.2,1729021365370000000,1000,20000.0,2024-10-15,Automatic Execution,Medical,Medical Info Systems,4.09,4.22,4.0051,4.13,5,4.301029995663981,1,1,0,0,0
CLOV,Medical,Medical Info Systems,25__0,25,0.0,6. p95_trade_value,12909.0,20000.0,O:CLOV241101C00004500,CLOV,C,4.5,2024-11-01,209,0,313,0.35,1729095909337000000,478,16730.0,2024-10-16,Automatic Execution,Medical,Medical Info Systems,4.19,4.275,4.1,4.26,9,4.223495940962395,1,1,0,0,0
CLOV,Medical,Medical Info Systems,25__0,25,0.0,6. p95_trade_value,12909.0,20000.0,O:CLOV241115C00004500,CLOV,C,4.5,2024-11-15,209,0,322,0.46,1729094527819000000,287,13202.000000000002,2024-10-16,Automatic Execution,Medical,Medical Info Systems,4.19,4.275,4.1,4.26,14,4.120639728415567,1,1,0,0,0
CLOV,Medical,Medical Info Systems,25__0,25,0.0,6. p95_trade_value,12909.0,20000.0,O:CLOV241115C00005500,CLOV,C,5.5,2024-11-15,227,0,301,0.26,1729187021356000000,499,12974.0,2024-10-17,Single Leg Auction Non ISO,Medical,Medical Info Systems,4.46,4.71,4.15,4.18,15,4.1130738935942075,1,0,0,0,1
CLOV,Medical,Medical Info Systems,25__0,25,0.0,6. p95_trade_value,12909.0,20000.0,O:CLOV241122C00004500,CLOV,C,4.5,2024-11-22,209,0,316,0.27,1730134519771000000,526,14202.000000000002,2024-10-28,Automatic Execution,Medical,Medical Info Systems,4.01,4.09,3.97,4.02,11,4.152349508312726,1,1,0,0,0
CLOV,Medical,Medical Info Systems,25__0,25,0.0,5. p99_trade_value,20295.0,28458.0,O:CLOV241122C00004500,CLOV,C,4.5,2024-11-22,209,0,313,0.41,1730834270780000000,495,20295.0,2024-11-05,Automatic Execution,Medical,Medical Info Systems,4.35,4.37,4.21,4.32,4,4.307389055653304,1,1,0,0,0
CLOV,Medical,Medical Info Systems,25__0,25,0.0,1. p999999_trade_value,39760.0,39760.0,O:CLOV241122C00004500,CLOV,C,4.5,2024-11-22,209,0,323,0.4,1730817064186000000,994,39760.0,2024-11-05,Automatic Execution,Medical,Medical Info Systems,4.35,4.37,4.21,4.32,1,4.599446375725275,1,1,0,0,0
CLOV,Medical,Medical Info Systems,25__0,25,0.0,6. p95_trade_value,12909.0,20000.0,O:CLOV241129C00004000,CLOV,C,4.0,2024-11-29,209,0,323,0.35,1730989804077000000,500,17500.0,2024-11-07,Automatic Execution,Medical,Medical Info Systems,3.89,3.98,3.455,3.67,7,4.243038048686294,1,0,0,0,1
CLOV,Medical,Medical Info Systems,25__0,25,0.0,6. p95_trade_value,12909.0,20000.0,O:CLOV250124C00003500,CLOV,C,3.5,2025-01-24,231,0,301,0.18,1735310823496000000,750,13500.0,2024-12-27,Single Leg Floor Trade,Medical,Medical Info Systems,3.26,3.29,3.19,3.26,12,4.1303337684950066,1,1,1,1,0
CLOV,Medical,Medical Info Systems,25__0,25,0.0,6. p95_trade_value,12909.0,20000.0,O:CLOV250321C00005000,CLOV,C,5.0,2025-03-21,227,0,301,0.27,1740063340594000000,647,17469.0,2025-02-20,Single Leg Auction Non ISO,Medical,Medical Info Systems,4.57,4.8,4.42,4.49,8,4.2422680448276875,1,0,0,0,1
CLOV,Medical,Medical Info Systems,25__0,25,0.0,6. p95_trade_value,12909.0,20000.0,O:CLOV250321C00005000,CLOV,C,5.0,2025-03-21,209,0,304,0.19,1740148498759000000,778,14782.0,2025-02-21,Automatic Execution,Medical,Medical Info Systems,4.48,4.52,4.22,4.4,10,4.169733197942518,1,0,0,0,1
CLOV,Medical,Medical Info Systems,25__0,25,0.0,5. p99_trade_value,20295.0,28458.0,O:CLOV250314C00004500,CLOV,C,4.5,2025-03-14,209,0,323,0.31,1740407477122000000,918,28458.0,2025-02-24,Automatic Execution,Medical,Medical Info Systems,4.45,4.49,4.17,4.18,2,4.454204375035515,1,1,0,0,0
CLOV,Medical,Medical Info Systems,25__0,25,0.0,6. p95_trade_value,12909.0,20000.0,O:CLOV250627C00003000,CLOV,C,3.0,2025-06-27,209,0,313,0.13,1749744900264000000,993,12909.0,2025-06-12,Automatic Execution,Medical,Medical Info Systems,2.95,2.97,2.88,2.93,16,4.1108926008022175,1,0,0,0,1
FLGT,Medical,Medical Info Systems,0__2,0,2.0,1. p999999_trade_value,3900.0,3900.0,O:FLGT241115C00020000,FLGT,C,20.0,2024-11-15,227,0,323,0.78,1729870459262000000,50,3900.0,2024-10-25,Single Leg Auction Non ISO,Medical,Medical Info Systems,19.22,19.61,19.115,19.42,1,3.591064607026499,1,1,0,0,0
HCAT,Medical,Medical Info Systems,5__1,5,1.0,8. p75_trade_value,45350.0,45350.0,O:HCAT250117C00007500,HCAT,C,7.5,2025-01-17,231,0,313,0.5,1734984276941000000,907,45350.0,2024-12-23,Single Leg Floor Trade,Medical,Medical Info Systems,7.06,7.14,6.85,6.94,2,4.656577291396114,2,1,0,0,0
HCAT,Medical,Medical Info Systems,5__1,5,1.0,1. p999999_trade_value,49610.0,49610.0,O:HCAT250117C00007500,HCAT,C,7.5,2025-01-17,231,0,301,0.55,1735312176824000000,902,49610.0,2024-12-27,Single Leg Floor Trade,Medical,Medical Info Systems,7.05,7.2,6.775,7.08,1,4.695569227036185,1,1,0,0,0
HNGE,Medical,Medical Info Systems,10__0,10,0.0,8. p75_trade_value,4680.0,4680.0,O:HNGE250620P00035000,HNGE,P,35.0,2025-06-20,209,0,304,1.2,1749583586189000000,39,4680.0,2025-06-10,Automatic Execution,Medical,Medical Info Systems,38.05,39.29,35.59,36.59,2,3.670245853074124,2,1,0,0,0
HNGE,Medical,Medical Info Systems,10__0,10,0.0,1. p999999_trade_value,5375.0,5375.0,O:HNGE250620P00035000,HNGE,P,35.0,2025-06-20,209,0,313,1.25,1749583331774000000,43,5375.0,2025-06-10,Automatic Execution,Medical,Medical Info Systems,38.05,39.29,35.59,36.59,1,3.730378468587643,1,1,0,0,0
