security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
AMWL,Medical,Medical Info Systems,0__0,0,0.0,1. p999999_trade_value,5750.0,5750.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
AZTA,Medical,Medical Info Systems,10__2,10,2.0,1. p999999_trade_value,260000.0,260000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
AZTA,Medical,Medical Info Systems,10__2,10,2.0,8. p75_trade_value,12665.0,12665.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
BFLY,Medical,Medical Info Systems,5__0,5,0.0,1. p999999_trade_value,13000.0,13000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
CCLD,Medical,Medical Info Systems,0__0,0,0.0,1. p999999_trade_value,4768.0,4768.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
CLOV,Medical,Medical Info Systems,25__1,25,1.0,1. p999999_trade_value,39760.0,39760.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
CLOV,Medical,Medical Info Systems,25__1,25,1.0,5. p99_trade_value,28458.0,20295.0,3.0,3.0,1.0,0.55,1. ABOVE BASELINE,4.0,4.0,1.0
CLOV,Medical,Medical Info Systems,25__1,25,1.0,6. p95_trade_value,20000.0,12909.0,7.0,13.0,0.5384615384615384,0.55,2. BELOW BASELINE,11.0,17.0,0.6470588235294118
CLOV,Medical,Medical Info Systems,25__1,25,1.0,7. p90_trade_value,12805.000000000002,10017.0,7.0,17.0,0.4117647058823529,0.55,2. BELOW BASELINE,18.0,34.0,0.5294117647058824
CLOV,Medical,Medical Info Systems,25__1,25,1.0,8. p75_trade_value,10000.0,6344.000000000001,27.0,51.0,0.5294117647058824,0.55,2. BELOW BASELINE,45.0,85.0,0.5294117647058824
CTEV,Medical,Medical Info Systems,5__3,5,3.0,1. p999999_trade_value,15620.000000000002,15620.000000000002,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
CTEV,Medical,Medical Info Systems,5__3,5,3.0,8. p75_trade_value,8800.0,8800.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
ENOV,Medical,Medical Info Systems,15__0,15,0.0,1. p999999_trade_value,86249.99999999999,86249.99999999999,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
ENOV,Medical,Medical Info Systems,15__0,15,0.0,6. p95_trade_value,65000.0,65000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
ENOV,Medical,Medical Info Systems,15__0,15,0.0,7. p90_trade_value,28000.0,28000.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
ENOV,Medical,Medical Info Systems,15__0,15,0.0,8. p75_trade_value,16235.999999999998,6800.0,3.0,3.0,1.0,0.55,2. BELOW BASELINE,4.0,6.0,0.6666666666666666
FLGT,Medical,Medical Info Systems,5__0,5,0.0,1. p999999_trade_value,4000.0,4000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
HCAT,Medical,Medical Info Systems,5__1,5,1.0,1. p999999_trade_value,49610.0,49610.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
HCAT,Medical,Medical Info Systems,5__1,5,1.0,8. p75_trade_value,45350.0,45350.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
