security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ADCT,Medical,Medical - Biomedical and Genetics,0__0,0,0.0,1. p999999_trade_value,4500.0,4500.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
AKBA,Medical,Medical - Drugs,0__0,0,0.0,1. p999999_trade_value,3500.0,3500.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ALGS,Medical,Medical - Biomedical and Genetics,0__0,0,0.0,1. p999999_trade_value,3400.0,3400.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
ATRC,Medical,Medical - Products,0__0,0,0.0,1. p999999_trade_value,5200.0,5200.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ATXS,Medical,Medical - Biomedical and Genetics,0__0,0,0.0,1. p999999_trade_value,5100.0,5100.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
BKD,Medical,Medical - Nursing Homes,0__0,0,0.0,1. p999999_trade_value,4000.0,4000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
BTAI,Medical,Medical - Biomedical and Genetics,0__0,0,0.0,1. p999999_trade_value,6500.0,6500.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
CELC,Medical,Medical - Biomedical and Genetics,0__2,0,2.0,1. p999999_trade_value,14500.0,14500.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
CERS,Medical,Medical - Products,0__0,0,0.0,1. p999999_trade_value,3020.0000000000005,3020.0000000000005,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
COLL,Medical,Medical - Drugs,0__0,0,0.0,1. p999999_trade_value,7200.0,7200.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
CRON,Medical,Medical - Drugs,0__0,0,0.0,1. p999999_trade_value,4990.000000000001,4990.000000000001,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
DWTX,Medical,Medical - Biomedical and Genetics,0__2,0,2.0,1. p999999_trade_value,18000.0,18000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
DYAI,Medical,Medical - Biomedical and Genetics,0__0,0,0.0,1. p999999_trade_value,5400.0,5400.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
EDAP,Medical,Medical - Instruments,0__0,0,0.0,1. p999999_trade_value,4975.0,4975.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
FGEN,Medical,Medical - Drugs,0__0,0,0.0,1. p999999_trade_value,7265.000000000001,7265.000000000001,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
GANX,Medical,Medical - Drugs,0__0,0,0.0,1. p999999_trade_value,7500.0,7500.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
GNLX,Medical,Medical - Biomedical and Genetics,0__0,0,0.0,1. p999999_trade_value,3100.0,3100.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
HCM,Medical,Medical - Biomedical and Genetics,0__0,0,0.0,1. p999999_trade_value,5500.0,5500.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
IFRX,Medical,Medical - Biomedical and Genetics,0__0,0,0.0,1. p999999_trade_value,4440.0,4440.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
KNSA,Medical,Medical - Biomedical and Genetics,0__0,0,0.0,1. p999999_trade_value,3400.0,3400.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
KZIA,Medical,Medical - Biomedical and Genetics,0__0,0,0.0,1. p999999_trade_value,3885.0,3885.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
LXEO,Medical,Medical - Drugs,0__0,0,0.0,1. p999999_trade_value,4500.0,4500.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
MDWD,Medical,Medical - Drugs,0__0,0,0.0,1. p999999_trade_value,4000.0,4000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
MGTX,Medical,Medical - Biomedical and Genetics,0__0,0,0.0,1. p999999_trade_value,5500.000000000001,5500.000000000001,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
NKTX,Medical,Medical - Biomedical and Genetics,0__0,0,0.0,1. p999999_trade_value,3140.0,3140.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
NNVC,Medical,Medical - Drugs,0__0,0,0.0,1. p999999_trade_value,4140.0,4140.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
NUVB,Medical,Medical - Biomedical and Genetics,0__0,0,0.0,1. p999999_trade_value,3500.0,3500.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
PAHC,Medical,Medical - Products,0__0,0,0.0,1. p999999_trade_value,6435.000000000001,6435.000000000001,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
