security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
ABEO,Medical,Medical - Biomedical and Genetics,0.75,12000.0,7. p90_trade_value,5.0,42,15__0,15,0.0,11870.0,14520.0,24242.72,27271.47,27574.35,27604.63,27607.66
ABSI,Medical,Medical - Biomedical and Genetics,0.75,,,,42,15__0,15,0.0,7436.0,7956.0,13971.24,16752.02,17030.1,17057.91,17060.69
ACB,Medical,Medical - Products,0.75,,,,45,15__0,15,0.0,12704.2,19196.0,21784.72,22957.67,23074.97,23086.7,23087.87
ADUS,Medical,Medical - Outpatient and Home Healthcare,0.75,,,,39,15__0,15,0.0,8896.0,11463.0,19650.0,22215.0,22471.5,22497.15,22499.71
AGEN,Medical,Medical - Biomedical and Genetics,0.75,14700.0,1. p999999_trade_value,1.0,45,15__0,15,0.0,7735.2,10144.0,13952.0,14625.2,14692.52,14699.25,14699.93
AGIO,Medical,Medical - Biomedical and Genetics,0.75,100000.0,1. p999999_trade_value,1.0,28,15__0,15,0.0,40000.0,52350.0,88930.0,98893.0,99889.3,99988.93,99998.89
ALDX,Medical,Medical - Drugs,0.75,,,,37,15__0,15,0.0,14820.0,16005.0,39623.08,50152.11,51205.01,51310.3,51320.83
ALEC,Medical,Medical - Biomedical and Genetics,0.75,,,,24,15__0,15,0.0,7550.0,9568.25,48464.35,58846.44,59884.64,59988.46,59998.85
ALKS,Medical,Medical - Biomedical and Genetics,0.75,22500.0,8. p75_trade_value,13.0,49,15__0,15,0.0,40414.4,90896.0,129584.0,137446.4,138232.64,138311.26,138319.13
AMED,Medical,Medical - Outpatient and Home Healthcare,0.75,,,,30,15__0,15,0.0,45500.0,63750.0,75000.0,75000.0,75000.0,75000.0,75000.0
APGE,Medical,Medical - Biomedical and Genetics,0.75,,,,50,15__0,15,0.0,16651.6,37142.0,183420.0,201942.0,203794.2,203979.42,203997.94
ARCT,Medical,Medical - Biomedical and Genetics,0.75,,,,31,15__0,15,0.0,9000.0,10250.0,18364.0,21204.4,21488.44,21516.84,21519.68
ARWR,Medical,Medical - Biomedical and Genetics,0.75,54329.99999999999,1. p999999_trade_value,1.0,37,15__0,15,0.0,15684.0,20500.0,42871.2,53184.12,54215.41,54318.54,54328.85
ASTH,Medical,Medical - Outpatient and Home Healthcare,0.75,940320.0000000001,6. p95_trade_value,2.0,23,15__2,15,2.0,373171.0,891248.0,1358166.0,1464234.6,1474841.46,1475902.15,1476008.21
ATAI,Medical,Medical - Outpatient and Home Healthcare,0.75,32868.0,7. p90_trade_value,2.0,19,15__0,15,0.0,22533.6,36868.2,65669.64,72149.96,72798.0,72862.8,72869.28
AUPH,Medical,Medical - Drugs,0.75,,,,28,15__0,15,0.0,10545.0,11852.5,12500.0,12500.0,12500.0,12500.0,12500.0
BCRX,Medical,Medical - Drugs,0.75,,,,24,15__0,15,0.0,7764.2,9691.9,15813.5,17376.35,17532.64,17548.26,17549.83
BDTX,Medical,Medical - Biomedical and Genetics,0.75,,,,39,15__0,15,0.0,10324.4,18190.0,50888.0,58548.8,59314.88,59391.49,59399.15
BIO,Medical,Medical - Products,0.75,101250.0,6. p95_trade_value,2.0,32,15__0,15,0.0,41775.0,78562.5,123157.5,132015.75,132901.58,132990.16,132999.02
CLPT,Medical,Medical - Instruments,0.75,17000.0,7. p90_trade_value,3.0,21,15__0,15,0.0,17000.0,29250.0,31450.0,31945.0,31994.5,31999.45,31999.95
CPRX,Medical,Medical - Drugs,0.75,,,,19,15__0,15,0.0,10171.0,10931.5,13786.3,14428.63,14492.86,14499.29,14499.93
CRNX,Medical,Medical - Drugs,0.75,,,,29,15__0,15,0.0,19420.8,21141.6,60076.0,73507.6,74850.76,74985.08,74998.51
CSTL,Medical,Medical - Biomedical and Genetics,0.75,,,,31,15__0,15,0.0,8000.0,9935.0,41860.0,53686.0,54868.6,54986.86,54998.69
DAWN,Medical,Medical - Biomedical and Genetics,0.75,,,,18,15__0,15,0.0,8343.3,10864.35,13372.87,13937.29,13993.73,13999.37,13999.94
EHC,Medical,Medical - Outpatient and Home Healthcare,0.75,,,,37,15__0,15,0.0,8050.0,36000.0,61600.0,62410.0,62491.0,62499.1,62499.91
ELAN,Medical,Medical - Outpatient and Home Healthcare,0.75,,,,56,15__0,15,0.0,8482.5,10869.0,16244.55,17243.96,17343.9,17353.89,17354.89
ETNB,Medical,Medical - Biomedical and Genetics,0.75,11940.0,1. p999999_trade_value,1.0,40,15__0,15,0.0,7609.5,8330.0,11124.9,11858.49,11931.85,11939.18,11939.92
FOLD,Medical,Medical - Biomedical and Genetics,0.75,,,,28,15__0,15,0.0,52750.0,125075.0,149460.0,149946.0,149994.6,149999.46,149999.95
GERN,Medical,Medical - Biomedical and Genetics,0.75,,,,19,15__0,15,0.0,11000.0,17500.0,35500.0,39550.0,39955.0,39995.5,39999.55
GRFS,Medical,Medical - Drugs,0.75,16887.0,7. p90_trade_value,2.0,18,15__0,15,0.0,9266.1,16892.85,16919.37,16925.34,16925.93,16925.99,16926.0
HSIC,Medical,Medical - Dental Supplies,0.75,,,,53,15__0,15,0.0,60000.0,69600.0,110000.0,110000.0,110000.0,110000.0,110000.0
ICUI,Medical,Medical - Products,0.75,,,,24,15__0,15,0.0,10522.0,26249.0,75508.0,88010.8,89261.08,89386.11,89398.61
INMB,Medical,Medical - Biomedical and Genetics,0.75,,,,37,15__0,15,0.0,6220.0,6456.0,10128.0,11812.8,11981.28,11998.13,11999.81
IONS,Medical,Medical - Drugs,0.75,,,,25,15__0,15,0.0,10880.0,34400.0,56488.2,61174.32,61642.93,61689.79,61694.48
IRON,Medical,Medical - Biomedical and Genetics,0.75,,,,30,15__1,15,1.0,124000.0,198581.4,236279.56,238533.56,238758.96,238781.5,238783.75
ITOS,Medical,Medical - Biomedical and Genetics,0.75,,,,42,15__0,15,0.0,50000.0,51710.0,143673.0,149097.3,149639.73,149693.97,149699.4
KROS,Medical,Medical - Biomedical and Genetics,0.75,,,,25,15__0,15,0.0,10650.0,11270.0,17176.0,18817.6,18981.76,18998.18,18999.82
KURA,Medical,Medical - Biomedical and Genetics,0.75,,,,19,15__0,15,0.0,12069.0,16709.7,19335.54,19926.35,19985.44,19991.34,19991.93
KYMR,Medical,Medical - Biomedical and Genetics,0.75,,,,21,15__0,15,0.0,6160.0,7000.0,7416.0,7509.6,7518.96,7519.9,7519.99
MIST,Medical,Medical - Biomedical and Genetics,0.75,,,,33,15__0,15,0.0,12920.0,14080.0,18010.0,19306.0,19435.6,19448.56,19449.86
MLTX,Medical,Medical - Biomedical and Genetics,0.75,23625.000000000004,1. p999999_trade_value,1.0,18,15__0,15,0.0,8950.0,12043.75,21308.75,23393.38,23601.84,23622.68,23624.77
MLYS,Medical,Medical - Biomedical and Genetics,0.75,,,,34,15__0,15,0.0,7818.0,31250.0,49175.0,49917.5,49991.75,49999.18,49999.92
MRVI,Medical,Medical - Products,0.75,,,,22,15__0,15,0.0,15253.0,23379.5,38842.65,42440.26,42800.03,42836.0,42839.6
MYGN,Medical,Medical - Biomedical and Genetics,0.75,21280.0,6. p95_trade_value,2.0,21,15__0,15,0.0,7800.0,21280.0,22256.0,22475.6,22497.56,22499.76,22499.98
NAMS,Medical,Medical - Drugs,0.75,,,,25,15__1,15,1.0,234000.0,378000.0,468400.0,487840.0,489784.0,489978.4,489997.84
NEO,Medical,Medical - Biomedical and Genetics,0.75,,,,19,15__0,15,0.0,14211.0,22589.5,36517.9,39651.79,39965.18,39996.52,39999.65
NVST,Medical,Medical - Products,0.75,,,,27,15__1,15,1.0,121000.0,195250.0,217850.0,224285.0,224928.5,224992.85,224999.28
ONC,Medical,Medical - Drugs,0.75,8400.0,8. p75_trade_value,8.0,29,15__0,15,0.0,21820.0,35900.0,37500.0,37500.0,37500.0,37500.0,37500.0
OPCH,Medical,Medical - Outpatient and Home Healthcare,0.75,,,,28,15__0,15,0.0,15795.0,23850.0,115235.1,144606.51,147543.65,147837.37,147866.74
ORIC,Medical,Medical - Biomedical and Genetics,0.75,60000.0,1. p999999_trade_value,1.0,32,15__0,15,0.0,32807.0,42168.6,55350.0,59535.0,59953.5,59995.35,59999.54
PCRX,Medical,Medical - Biomedical and Genetics,0.75,200000.0,1. p999999_trade_value,1.0,29,15__0,15,0.0,35200.0,50000.0,158000.0,195800.0,199580.0,199958.0,199995.8
PHG,Medical,Medical - Products,0.75,,,,21,15__0,15,0.0,10000.0,18480.0,18796.0,18867.1,18874.21,18874.92,18874.99
PLSE,Medical,Medical - Instruments,0.75,8550.0,7. p90_trade_value,2.0,19,15__0,15,0.0,8270.0,8695.0,9739.0,9973.9,9997.39,9999.74,9999.97
PRGO,Medical,Medical - Products,0.75,372900.0,6. p95_trade_value,3.0,51,15__1,15,1.0,157710.0,296406.0,818000.0,1161800.0,1196180.0,1199618.0,1199961.8
PRQR,Medical,Medical - Biomedical and Genetics,0.75,,,,27,15__0,15,0.0,43400.0,48776.0,63366.8,67536.68,67953.67,67995.37,67999.54
PTCT,Medical,Medical - Biomedical and Genetics,0.75,,,,44,15__1,15,1.0,339500.0,546700.25,646034.65,685603.47,689560.35,689956.03,689995.6
RARE,Medical,Medical - Biomedical and Genetics,0.75,185000.0,1. p999999_trade_value,1.0,24,15__0,15,0.0,86500.0,96750.0,164875.0,182987.5,184798.75,184979.88,184997.99
RCUS,Medical,Medical - Biomedical and Genetics,0.75,49335.0,6. p95_trade_value,2.0,39,15__0,15,0.0,21496.0,31573.5,64317.3,72581.73,73408.17,73490.82,73499.08
RGLS,Medical,Medical - Drugs,0.75,7600.0,8. p75_trade_value,6.0,22,15__0,15,0.0,12193.5,13853.5,16888.55,17596.35,17667.14,17674.21,17674.92
RLMD,Medical,Medical - Drugs,0.75,,,,19,15__0,15,0.0,7376.0,11280.0,11856.0,11985.6,11998.56,11999.86,11999.99
ROIV,Medical,Medical - Biomedical and Genetics,0.75,92463.0,6. p95_trade_value,2.0,34,15__0,15,0.0,55232.2,88719.65,117612.79,128761.28,129876.13,129987.61,129998.76
RPRX,Medical,Medical - Biomedical and Genetics,0.75,52320.00000000001,7. p90_trade_value,4.0,40,15__0,15,0.0,50119.5,79877.7,124880.0,127688.0,127968.8,127996.88,127999.69
RYTM,Medical,Medical - Biomedical and Genetics,0.75,,,,56,15__0,15,0.0,39810.0,57187.5,82840.5,87340.05,87790.01,87835.0,87839.5
SEM,Medical,Medical - HMOs,0.75,,,,32,15__0,15,0.0,7450.0,12390.25,41344.15,52374.42,53477.44,53587.74,53598.77
SGMT,Medical,Medical - Biomedical and Genetics,0.75,,,,55,15__0,15,0.0,8402.0,10533.0,33559.4,56590.94,58894.09,59124.41,59147.44
SLDB,Medical,Medical - Biomedical and Genetics,0.75,,,,26,15__0,15,0.0,6300.0,6912.5,10750.0,11875.0,11987.5,11998.75,11999.87
SPRY,Medical,Medical - Drugs,0.75,25000.0,7. p90_trade_value,4.0,37,15__0,15,0.0,17938.0,28348.8,38307.84,41630.78,41963.08,41996.31,41999.63
STE,Medical,Medical - Instruments,0.75,,,,55,15__0,15,0.0,15484.0,62245.6,177990.0,181149.0,181464.9,181496.49,181499.65
SYRE,Medical,Medical - Biomedical and Genetics,0.75,,,,23,15__0,15,0.0,11820.0,14646.0,22591.8,24534.18,24728.42,24747.84,24749.78
TECH,Medical,Medical - Biomedical and Genetics,0.75,11760.0,7. p90_trade_value,3.0,27,15__0,15,0.0,10104.0,16128.0,30765.0,34801.5,35205.15,35245.52,35249.55
TFX,Medical,Medical - Instruments,0.75,,,,22,15__0,15,0.0,18180.0,18320.0,37422.2,41992.22,42449.22,42494.92,42499.49
TRAW,Medical,Medical - Drugs,0.75,,,,24,15__0,15,0.0,14800.0,23480.0,35888.0,38868.8,39166.88,39196.69,39199.67
TRVI,Medical,Medical - Biomedical and Genetics,0.75,,,,56,15__0,15,0.0,15525.0,23509.25,60400.0,96040.0,99604.0,99960.4,99996.04
TVTX,Medical,Medical - Biomedical and Genetics,0.75,,,,51,15__0,15,0.0,9900.0,16200.0,32362.5,43736.25,44873.62,44987.36,44998.74
TWST,Medical,Medical - Biomedical and Genetics,0.75,375000.0,1. p999999_trade_value,1.0,56,15__0,15,0.0,12125.0,20686.25,193500.0,356850.0,373185.0,374818.5,374981.85
VCEL,Medical,Medical - Biomedical and Genetics,0.75,17755.0,8. p75_trade_value,10.0,37,15__0,15,0.0,39700.0,50472.0,54689.6,55868.96,55986.9,55998.69,55999.87
VCYT,Medical,Medical - Instruments,0.75,,,,42,15__0,15,0.0,13326.0,13744.0,66691.6,96669.16,99666.92,99966.69,99996.67
VERU,Medical,Medical - Products,0.75,,,,30,15__0,15,0.0,9986.6,10110.1,15179.04,17012.3,17195.63,17213.96,17215.8
VIR,Medical,Medical - Biomedical and Genetics,0.75,50000.0,1. p999999_trade_value,1.0,47,15__0,15,0.0,10516.0,12000.0,34249.6,48424.96,49842.5,49984.25,49998.42
VSTM,Medical,Medical - Biomedical and Genetics,0.75,,,,28,15__0,15,0.0,9965.0,10364.0,13253.7,14150.37,14240.04,14249.0,14249.9
XENE,Medical,Medical - Biomedical and Genetics,0.75,490000.0,1. p999999_trade_value,1.0,28,15__1,15,1.0,109250.0,192500.0,414400.0,482440.0,489244.0,489924.4,489992.44
XRAY,Medical,Medical - Dental Supplies,0.75,,,,21,15__0,15,0.0,10000.0,10600.0,14120.0,14912.0,14991.2,14999.12,14999.91
ZLAB,Medical,Medical - Biomedical and Genetics,0.75,,,,29,15__0,15,0.0,7920.0,19520.0,28976.0,30437.6,30583.76,30598.38,30599.84
ZNTL,Medical,Medical - Biomedical and Genetics,0.75,9250.0,7. p90_trade_value,2.0,19,15__0,15,0.0,6650.0,9256.0,9299.2,9308.92,9309.89,9309.99,9310.0
ZVRA,Medical,Medical - Drugs,0.75,,,,40,15__0,15,0.0,9948.5,10682.0,13183.0,13288.3,13298.83,13299.88,13299.99
