security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
ABT,Medical,Medical - Products,0.55,458000.0,1. p999999_trade_value,1.0,2254,35__0,35,0.0,13997.6,21400.0,70854.93,397778.04,451691.6,457369.16,457936.92
ALGN,Medical,Medical - Dental Supplies,0.55,,,,1824,35__0,35,0.0,15500.0,23868.0,64518.78,266607.24,603268.6,667826.86,674282.69
BMY,Medical,Medical - Biomedical and Genetics,0.55,7960.000000000001,8. p75_trade_value,660.0,2639,35__3,35,3.0,14744.8,25521.4,97386.0,325860.0,659961.63,758996.16,768899.62
BSX,Medical,Medical - Products,0.55,,,,2141,35__1,35,1.0,19250.0,36000.0,145969.6,512476.0,552510.0,559251.0,559925.1
CAH,Medical,Medical - Dental Supplies,0.55,,,,3071,35__3,35,3.0,15840.0,25966.0,92760.0,486675.0,642147.87,681024.39,684912.04
CI,Medical,Medical - HMOs,0.55,77600.0,5. p99_trade_value,25.0,2474,35__3,35,3.0,17375.7,26896.0,69139.3,360793.84,500216.0,518021.6,519802.16
DXCM,Medical,Medical - Instruments,0.55,100000.0,5. p99_trade_value,21.0,2082,35__0,35,0.0,15363.0,23610.5,99100.9,380312.96,451015.68,463601.57,464860.16
GILD,Medical,Medical - Biomedical and Genetics,0.55,,,,3178,35__1,35,1.0,16729.5,27507.8,127500.0,658433.07,1005741.33,1102018.53,1111646.25
HCA,Medical,Medical - Hospital,0.55,19470.0,7. p90_trade_value,228.0,2279,35__1,35,1.0,19398.0,29169.0,166320.0,469063.27,595042.95,626504.3,629650.43
MCK,Medical,Medical - Dental Supplies,0.55,450000.0,1. p999999_trade_value,1.0,3088,35__0,35,0.0,15144.0,25061.5,83620.56,267434.88,437652.0,448765.2,449876.52
REGN,Medical,Medical - Biomedical and Genetics,0.55,683100.0,1. p999999_trade_value,1.0,4271,35__0,35,0.0,15000.0,22995.0,60270.0,327600.0,664696.3,681259.63,682915.96
SAVA,Medical,Medical - Drugs,0.55,,,,2920,35__4,35,4.0,16800.0,26885.4,96002.01,392695.07,1329982.8,1536998.28,1557699.83
SWTX,Medical,Medical - Biomedical and Genetics,0.55,,,,5122,35__4,35,4.0,16298.0,26723.5,115773.2,541225.76,1420248.1,1545160.81,1557652.08
TMDX,Medical,Medical - Instruments,0.55,14250.0,7. p90_trade_value,268.0,2657,35__0,35,0.0,14250.0,22624.0,79645.6,496632.0,824064.0,838406.4,839840.64
TMO,Medical,Medical - Instruments,0.55,,,,3839,35__0,35,0.0,14275.2,22176.4,70400.0,327240.06,742620.33,866262.03,878626.2
VRTX,Medical,Medical - Biomedical and Genetics,0.55,8700.0,8. p75_trade_value,1083.0,4329,35__0,35,0.0,16500.0,23042.0,46957.6,224616.0,416225.76,469122.58,474412.26
