security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
A,Medical,Medical - Products,30__0,30,0.0,1. p999999_trade_value,357903.0,357903.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
A,Medical,Medical - Products,30__0,30,0.0,5. p99_trade_value,269100.0,195000.0,3.0,5.0,0.6,0.55,1. ABOVE BASELINE,4.0,6.0,0.6666666666666666
A,Medical,Medical - Products,30__0,30,0.0,6. p95_trade_value,135192.0,31625.0,13.0,24.0,0.5416666666666666,0.55,2. BELOW BASELINE,17.0,30.0,0.5666666666666667
A,Medical,Medical - Products,30__0,30,0.0,7. p90_trade_value,30870.0,17908.0,24.0,29.0,0.8275862068965517,0.55,2. BELOW BASELINE,41.0,59.0,0.6949152542372882
A,Medical,Medical - Products,30__0,30,0.0,8. p75_trade_value,17500.0,8640.0,65.0,88.0,0.7386363636363636,0.55,2. BELOW BASELINE,106.0,147.0,0.7210884353741497
ABCL,Medical,Medical - Biomedical and Genetics,5__0,5,0.0,1. p999999_trade_value,6750.0,6750.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
ABEO,Medical,Medical - Biomedical and Genetics,15__0,15,0.0,1. p999999_trade_value,27608.0,27608.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ABEO,Medical,Medical - Biomedical and Genetics,15__0,15,0.0,6. p95_trade_value,19400.0,14600.0,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,3.0,3.0,1.0
ABEO,Medical,Medical - Biomedical and Genetics,15__0,15,0.0,7. p90_trade_value,13000.0,12000.0,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,5.0,5.0,1.0
ABEO,Medical,Medical - Biomedical and Genetics,15__0,15,0.0,8. p75_trade_value,10700.0,7200.0,4.0,6.0,0.6666666666666666,0.55,1. ABOVE BASELINE,9.0,11.0,0.8181818181818182
ABSI,Medical,Medical - Biomedical and Genetics,15__0,15,0.0,1. p999999_trade_value,17061.0,17061.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
ABSI,Medical,Medical - Biomedical and Genetics,15__0,15,0.0,6. p95_trade_value,9525.0,7980.000000000001,2.0,2.0,1.0,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
ABSI,Medical,Medical - Biomedical and Genetics,15__0,15,0.0,7. p90_trade_value,7500.0,7440.000000000001,1.0,2.0,0.5,0.55,2. BELOW BASELINE,3.0,5.0,0.6
ABSI,Medical,Medical - Biomedical and Genetics,15__0,15,0.0,8. p75_trade_value,7400.0,6440.000000000001,3.0,6.0,0.5,0.55,2. BELOW BASELINE,6.0,11.0,0.5454545454545454
ABT,Medical,Medical - Products,35__0,35,0.0,1. p999999_trade_value,458000.0,458000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ABT,Medical,Medical - Products,35__0,35,0.0,4. p999_trade_value,430000.0,399735.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
ABT,Medical,Medical - Products,35__0,35,0.0,5. p99_trade_value,392000.0,71024.0,13.0,20.0,0.65,0.55,2. BELOW BASELINE,15.0,23.0,0.6521739130434783
ABT,Medical,Medical - Products,35__0,35,0.0,6. p95_trade_value,70705.0,21400.0,55.0,91.0,0.6043956043956044,0.55,2. BELOW BASELINE,70.0,114.0,0.6140350877192983
ABT,Medical,Medical - Products,35__0,35,0.0,7. p90_trade_value,21389.999999999996,14000.0,78.0,112.0,0.6964285714285714,0.55,2. BELOW BASELINE,148.0,226.0,0.6548672566371682
ABT,Medical,Medical - Products,35__0,35,0.0,8. p75_trade_value,13992.000000000002,7254.000000000001,198.0,338.0,0.5857988165680473,0.55,2. BELOW BASELINE,346.0,564.0,0.6134751773049646
ABUS,Medical,Medical - Biomedical and Genetics,5__0,5,0.0,1. p999999_trade_value,6330.0,6330.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
ACAD,Medical,Medical - Biomedical and Genetics,20__0,20,0.0,1. p999999_trade_value,152750.0,152750.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ACAD,Medical,Medical - Biomedical and Genetics,20__0,20,0.0,6. p95_trade_value,141000.0,33250.0,1.0,4.0,0.25,0.55,2. BELOW BASELINE,2.0,5.0,0.4
ACAD,Medical,Medical - Biomedical and Genetics,20__0,20,0.0,7. p90_trade_value,24430.0,11160.0,1.0,5.0,0.2,0.55,2. BELOW BASELINE,3.0,10.0,0.3
ACAD,Medical,Medical - Biomedical and Genetics,20__0,20,0.0,8. p75_trade_value,9000.0,5950.0,7.0,14.0,0.5,0.55,2. BELOW BASELINE,10.0,24.0,0.4166666666666667
ACB,Medical,Medical - Products,15__0,15,0.0,1. p999999_trade_value,23088.0,23088.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
ACB,Medical,Medical - Products,15__0,15,0.0,6. p95_trade_value,20126.0,20000.0,0.0,2.0,0.0,0.55,2. BELOW BASELINE,0.0,3.0,0.0
ACB,Medical,Medical - Products,15__0,15,0.0,7. p90_trade_value,15980.000000000002,14586.999999999998,0.0,2.0,0.0,0.55,2. BELOW BASELINE,0.0,5.0,0.0
ACB,Medical,Medical - Products,15__0,15,0.0,8. p75_trade_value,9880.0,5544.0,2.0,7.0,0.2857142857142857,0.55,2. BELOW BASELINE,2.0,12.0,0.16666666666666666
ACHC,Medical,Medical - Hospital,25__1,25,1.0,1. p999999_trade_value,199200.0,199200.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
ACHC,Medical,Medical - Hospital,25__1,25,1.0,5. p99_trade_value,169280.00000000003,169280.00000000003,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
ACHC,Medical,Medical - Hospital,25__1,25,1.0,6. p95_trade_value,81000.0,34840.0,1.0,7.0,0.14285714285714285,0.55,2. BELOW BASELINE,2.0,9.0,0.2222222222222222
ACHC,Medical,Medical - Hospital,25__1,25,1.0,7. p90_trade_value,34160.0,17600.0,5.0,9.0,0.5555555555555556,0.55,2. BELOW BASELINE,7.0,18.0,0.3888888888888889
ACHC,Medical,Medical - Hospital,25__1,25,1.0,8. p75_trade_value,16492.0,10340.0,15.0,27.0,0.5555555555555556,0.55,2. BELOW BASELINE,22.0,45.0,0.4888888888888889
ACLX,Medical,Medical - Biomedical and Genetics,25__0,25,0.0,1. p999999_trade_value,500000.0,500000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
ACLX,Medical,Medical - Biomedical and Genetics,25__0,25,0.0,5. p99_trade_value,270000.0,240000.0,5.0,5.0,1.0,0.55,2. BELOW BASELINE,5.0,6.0,0.8333333333333334
ACLX,Medical,Medical - Biomedical and Genetics,25__0,25,0.0,6. p95_trade_value,236250.0,175000.0,5.0,6.0,0.8333333333333334,0.55,2. BELOW BASELINE,10.0,12.0,0.8333333333333334
ACLX,Medical,Medical - Biomedical and Genetics,25__0,25,0.0,7. p90_trade_value,105000.0,45000.0,9.0,11.0,0.8181818181818182,0.55,2. BELOW BASELINE,19.0,23.0,0.8260869565217391
ACLX,Medical,Medical - Biomedical and Genetics,25__0,25,0.0,8. p75_trade_value,34300.0,9800.0,23.0,33.0,0.696969696969697,0.55,2. BELOW BASELINE,42.0,56.0,0.75
ACRS,Medical,Medical - Drugs,5__0,5,0.0,1. p999999_trade_value,5000.0,5000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
ADCT,Medical,Medical - Biomedical and Genetics,0__0,0,0.0,1. p999999_trade_value,4500.0,4500.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
ADMA,Medical,Medical - Biomedical and Genetics,25__0,25,0.0,1. p999999_trade_value,669465.0,669465.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ADMA,Medical,Medical - Biomedical and Genetics,25__0,25,0.0,5. p99_trade_value,640922.0,396795.0,2.0,3.0,0.6666666666666666,0.55,1. ABOVE BASELINE,3.0,4.0,0.75
ADMA,Medical,Medical - Biomedical and Genetics,25__0,25,0.0,6. p95_trade_value,329890.0,50000.0,6.0,14.0,0.42857142857142855,0.55,2. BELOW BASELINE,9.0,18.0,0.5
ADMA,Medical,Medical - Biomedical and Genetics,25__0,25,0.0,7. p90_trade_value,40905.0,21000.0,6.0,18.0,0.3333333333333333,0.55,2. BELOW BASELINE,15.0,36.0,0.4166666666666667
ADMA,Medical,Medical - Biomedical and Genetics,25__0,25,0.0,8. p75_trade_value,20895.0,10098.0,20.0,43.0,0.46511627906976744,0.55,2. BELOW BASELINE,35.0,79.0,0.4430379746835443
ADUS,Medical,Medical - Outpatient and Home Healthcare,15__0,15,0.0,1. p999999_trade_value,22500.0,22500.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
ADUS,Medical,Medical - Outpatient and Home Healthcare,15__0,15,0.0,6. p95_trade_value,15000.0,15000.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
ADUS,Medical,Medical - Outpatient and Home Healthcare,15__0,15,0.0,7. p90_trade_value,11069.999999999998,9200.0,2.0,2.0,1.0,0.55,2. BELOW BASELINE,3.0,4.0,0.75
ADUS,Medical,Medical - Outpatient and Home Healthcare,15__0,15,0.0,8. p75_trade_value,8820.0,7140.000000000001,6.0,6.0,1.0,0.55,2. BELOW BASELINE,9.0,10.0,0.9
AGEN,Medical,Medical - Biomedical and Genetics,15__0,15,0.0,1. p999999_trade_value,14700.0,14700.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
AGEN,Medical,Medical - Biomedical and Genetics,15__0,15,0.0,6. p95_trade_value,13000.0,10430.0,0.0,2.0,0.0,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
AGEN,Medical,Medical - Biomedical and Genetics,15__0,15,0.0,7. p90_trade_value,9000.0,8092.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,2.0,5.0,0.4
AGEN,Medical,Medical - Biomedical and Genetics,15__0,15,0.0,8. p75_trade_value,7200.0,5880.0,1.0,7.0,0.14285714285714285,0.55,2. BELOW BASELINE,3.0,12.0,0.25
AGIO,Medical,Medical - Biomedical and Genetics,15__0,15,0.0,1. p999999_trade_value,100000.0,100000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
AGIO,Medical,Medical - Biomedical and Genetics,15__0,15,0.0,6. p95_trade_value,59000.0,59000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
AGIO,Medical,Medical - Biomedical and Genetics,15__0,15,0.0,7. p90_trade_value,40000.0,40000.0,2.0,2.0,1.0,0.55,2. BELOW BASELINE,3.0,4.0,0.75
AGIO,Medical,Medical - Biomedical and Genetics,15__0,15,0.0,8. p75_trade_value,14000.0,9800.0,2.0,3.0,0.6666666666666666,0.55,2. BELOW BASELINE,5.0,7.0,0.7142857142857143
AHCO,Medical,Medical - Products,5__3,5,3.0,1. p999999_trade_value,13860.000000000002,13860.000000000002,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
