security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
CEG,Oils-Energy,Alternative Energy - Other,45__1,45,1.0,1. p999999_trade_value,2878848.0,2878848.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
CEG,Oils-Energy,Alternative Energy - Other,45__1,45,1.0,3. p9999_trade_value,1603200.0,1603200.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
CEG,Oils-Energy,Alternative Energy - Other,45__1,45,1.0,4. p999_trade_value,1287000.0,558000.0,12.0,18.0,0.6666666666666666,0.55,1. ABOVE BASELINE,14.0,20.0,0.7
CEG,Oils-Energy,Alternative Energy - Other,45__1,45,1.0,5. p99_trade_value,511446.0,86632.0,108.0,176.0,0.6136363636363636,0.55,1. ABOVE BASELINE,122.0,196.0,0.6224489795918368
CEG,Oils-Energy,Alternative Energy - Other,45__1,45,1.0,6. p95_trade_value,86140.0,29000.0,514.0,784.0,0.6556122448979592,0.55,1. ABOVE BASELINE,636.0,980.0,0.6489795918367347
CEG,Oils-Energy,Alternative Energy - Other,45__1,45,1.0,7. p90_trade_value,28980.0,18700.0,657.0,976.0,0.673155737704918,0.55,1. ABOVE BASELINE,1293.0,1956.0,0.661042944785276
CEG,Oils-Energy,Alternative Energy - Other,45__1,45,1.0,8. p75_trade_value,18694.0,9440.0,1746.0,2928.0,0.5963114754098361,0.55,1. ABOVE BASELINE,3039.0,4884.0,0.6222358722358723
GEV,Oils-Energy,Alternative Energy - Other,45__1,45,1.0,1. p999999_trade_value,2698000.0,2698000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
GEV,Oils-Energy,Alternative Energy - Other,45__1,45,1.0,3. p9999_trade_value,2223000.0,2223000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
GEV,Oils-Energy,Alternative Energy - Other,45__1,45,1.0,4. p999_trade_value,1940000.0,599400.0,11.0,17.0,0.6470588235294118,0.55,2. BELOW BASELINE,11.0,19.0,0.5789473684210527
GEV,Oils-Energy,Alternative Energy - Other,45__1,45,1.0,5. p99_trade_value,575000.0,93480.0,94.0,166.0,0.5662650602409639,0.55,2. BELOW BASELINE,105.0,185.0,0.5675675675675675
GEV,Oils-Energy,Alternative Energy - Other,45__1,45,1.0,6. p95_trade_value,93309.99999999999,28910.000000000004,416.0,740.0,0.5621621621621622,0.55,2. BELOW BASELINE,521.0,925.0,0.5632432432432433
GEV,Oils-Energy,Alternative Energy - Other,45__1,45,1.0,7. p90_trade_value,28859.999999999996,18630.0,539.0,924.0,0.5833333333333334,0.55,2. BELOW BASELINE,1060.0,1849.0,0.5732828555976204
GEV,Oils-Energy,Alternative Energy - Other,45__1,45,1.0,8. p75_trade_value,18620.0,9940.0,1672.0,2773.0,0.6029570861882437,0.55,2. BELOW BASELINE,2732.0,4622.0,0.5910861099091302
OKLO,Oils-Energy,Alternative Energy - Other,45__2,45,2.0,1. p999999_trade_value,752500.0,752500.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
OKLO,Oils-Energy,Alternative Energy - Other,45__2,45,2.0,3. p9999_trade_value,611184.0,500666.0,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,3.0,3.0,1.0
OKLO,Oils-Energy,Alternative Energy - Other,45__2,45,2.0,4. p999_trade_value,485676.0,252000.0,10.0,18.0,0.5555555555555556,0.55,1. ABOVE BASELINE,13.0,21.0,0.6190476190476191
OKLO,Oils-Energy,Alternative Energy - Other,45__2,45,2.0,5. p99_trade_value,251888.0,70920.0,84.0,183.0,0.45901639344262296,0.55,2. BELOW BASELINE,97.0,204.0,0.47549019607843135
OKLO,Oils-Energy,Alternative Energy - Other,45__2,45,2.0,6. p95_trade_value,70600.0,25370.0,462.0,813.0,0.5682656826568265,0.55,2. BELOW BASELINE,559.0,1017.0,0.5496558505408063
OKLO,Oils-Energy,Alternative Energy - Other,45__2,45,2.0,7. p90_trade_value,25365.0,16720.0,597.0,1018.0,0.5864440078585462,0.55,2. BELOW BASELINE,1156.0,2035.0,0.568058968058968
OKLO,Oils-Energy,Alternative Energy - Other,45__2,45,2.0,8. p75_trade_value,16717.0,9000.0,1785.0,3113.0,0.5734018631545134,0.55,2. BELOW BASELINE,2941.0,5148.0,0.5712898212898213
