security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ARLP,Oils-Energy,Coal,15__0,15,0.0,1. p999999_trade_value,7500.0,7500.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,1.0,2.0,0.5
ARLP,Oils-Energy,Coal,15__0,15,0.0,8. p75_trade_value,5865.0,4950.0,1.0,3.0,0.3333333333333333,0.55,2. BELOW BASELINE,2.0,5.0,0.4
BTU,Oils-Energy,Coal,30__0,30,0.0,1. p999999_trade_value,495000.0,495000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
BTU,Oils-Energy,Coal,30__0,30,0.0,5. p99_trade_value,159500.0,80000.0,2.0,5.0,0.4,0.55,2. BELOW BASELINE,3.0,6.0,0.5
BTU,Oils-Energy,Coal,30__0,30,0.0,6. p95_trade_value,60640.0,29172.000000000004,13.0,24.0,0.5416666666666666,0.55,2. BELOW BASELINE,16.0,30.0,0.5333333333333333
BTU,Oils-Energy,Coal,30__0,30,0.0,7. p90_trade_value,28000.0,17673.0,21.0,30.0,0.7,0.55,2. BELOW BASELINE,37.0,60.0,0.6166666666666667
BTU,Oils-Energy,Coal,30__0,30,0.0,8. p75_trade_value,17630.0,8112.0,50.0,87.0,0.5747126436781609,0.55,2. BELOW BASELINE,87.0,147.0,0.5918367346938775
CNR,Oils-Energy,Coal,20__0,20,0.0,1. p999999_trade_value,105000.0,105000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
CNR,Oils-Energy,Coal,20__0,20,0.0,6. p95_trade_value,103500.0,68000.0,2.0,3.0,0.6666666666666666,0.55,2. BELOW BASELINE,2.0,4.0,0.5
CNR,Oils-Energy,Coal,20__0,20,0.0,7. p90_trade_value,49980.0,26250.0,2.0,3.0,0.6666666666666666,0.55,2. BELOW BASELINE,4.0,7.0,0.5714285714285714
CNR,Oils-Energy,Coal,20__0,20,0.0,8. p75_trade_value,19625.0,6500.0,5.0,10.0,0.5,0.55,2. BELOW BASELINE,9.0,17.0,0.5294117647058824
HCC,Oils-Energy,Coal,20__0,20,0.0,1. p999999_trade_value,169980.0,169980.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
HCC,Oils-Energy,Coal,20__0,20,0.0,6. p95_trade_value,74800.0,59500.0,0.0,3.0,0.0,0.55,2. BELOW BASELINE,1.0,4.0,0.25
HCC,Oils-Energy,Coal,20__0,20,0.0,7. p90_trade_value,56100.0,18000.0,1.0,3.0,0.3333333333333333,0.55,2. BELOW BASELINE,2.0,7.0,0.2857142857142857
HCC,Oils-Energy,Coal,20__0,20,0.0,8. p75_trade_value,15810.0,9401.0,5.0,10.0,0.5,0.55,2. BELOW BASELINE,7.0,17.0,0.4117647058823529
METC,Oils-Energy,Coal,15__0,15,0.0,1. p999999_trade_value,51520.00000000001,51520.00000000001,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
METC,Oils-Energy,Coal,15__0,15,0.0,6. p95_trade_value,39960.0,29970.0,0.0,2.0,0.0,0.55,2. BELOW BASELINE,0.0,3.0,0.0
METC,Oils-Energy,Coal,15__0,15,0.0,7. p90_trade_value,28470.0,28400.0,0.0,2.0,0.0,0.55,2. BELOW BASELINE,0.0,5.0,0.0
METC,Oils-Energy,Coal,15__0,15,0.0,8. p75_trade_value,24975.0,7500.0,2.0,6.0,0.3333333333333333,0.55,2. BELOW BASELINE,2.0,11.0,0.18181818181818182
NRP,Oils-Energy,Coal,10__0,10,0.0,1. p999999_trade_value,39840.0,39840.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
NRP,Oils-Energy,Coal,10__0,10,0.0,7. p90_trade_value,30000.0,30000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
NRP,Oils-Energy,Coal,10__0,10,0.0,8. p75_trade_value,27000.0,27000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,3.0,3.0,1.0
SXC,Oils-Energy,Coal,5__1,5,1.0,1. p999999_trade_value,44000.0,44000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
