security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
ACDC,Oils-Energy,Oil and Gas - Field Services,15__0,15,0.0,1. p999999_trade_value,12180.0,12180.0,O:ACDC250117C00007500,ACDC,C,7.5,2025-01-17,209,0,325,0.42,1735229697457000000,290,12180.0,2024-12-26,Automatic Execution,Oils-Energy,Oil and Gas - Field Services,7.36,7.465,7.205,7.44,1,4.085647288296856,1,1,1,1,0
ACDC,Oils-Energy,Oil and Gas - Field Services,15__0,15,0.0,8. p75_trade_value,5000.0,6000.0,O:ACDC250221P00007500,ACDC,P,7.5,2025-02-21,209,0,301,0.25,1737988633054000000,200,5000.0,2025-01-27,Automatic Execution,Oils-Energy,Oil and Gas - Field Services,8.41,8.435,7.51,7.555,5,3.6989700043360187,4,1,1,1,0
ACDC,Oils-Energy,Oil and Gas - Field Services,15__0,15,0.0,6. p95_trade_value,11025.0,11025.0,O:ACDC250221P00007500,ACDC,P,7.5,2025-02-21,209,0,322,0.35,1738768758319000000,315,11025.0,2025-02-05,Automatic Execution,Oils-Energy,Oil and Gas - Field Services,7.74,7.94,7.51,7.72,2,4.0423785981398765,1,1,1,1,0
ACDC,Oils-Energy,Oil and Gas - Field Services,15__0,15,0.0,7. p90_trade_value,7440.000000000001,7440.000000000001,O:ACDC250516C00005000,ACDC,C,5.0,2025-05-16,209,0,325,0.4,1745847713087000000,186,7440.000000000001,2025-04-28,Automatic Execution,Oils-Energy,Oil and Gas - Field Services,4.71,4.79,4.43,4.55,3,3.8715729355458786,2,1,1,1,0
ACDC,Oils-Energy,Oil and Gas - Field Services,15__0,15,0.0,8. p75_trade_value,5000.0,6000.0,O:ACDC250620C00009000,ACDC,C,9.0,2025-06-20,209,0,325,0.3,1749141063803000000,200,6000.0,2025-06-05,Automatic Execution,Oils-Energy,Oil and Gas - Field Services,7.82,8.8697,7.74,8.63,4,3.7781512503836434,3,1,0,0,0
ACDC,Oils-Energy,Oil and Gas - Field Services,15__0,15,0.0,8. p75_trade_value,5000.0,6000.0,O:ACDC250620C00009000,ACDC,C,9.0,2025-06-20,209,0,325,0.25,1749140581911000000,200,5000.0,2025-06-05,Automatic Execution,Oils-Energy,Oil and Gas - Field Services,7.82,8.8697,7.74,8.63,6,3.6989700043360187,5,1,0,0,0
ENB,Oils-Energy,Oil and Gas - Production and Pipelines,15__0,15,0.0,6. p95_trade_value,25389.0,73850.0,O:ENB250117C00042500,ENB,C,42.5,2025-01-17,227,0,312,0.35,1734625838755000000,2110,73850.0,2024-12-19,Single Leg Auction Non ISO,Oils-Energy,Oil and Gas - Production and Pipelines,40.73,41.13,40.465,40.71,2,4.868350499647969,1,1,1,1,0
ENB,Oils-Energy,Oil and Gas - Production and Pipelines,15__0,15,0.0,6. p95_trade_value,25389.0,73850.0,O:ENB250321C00042500,ENB,C,42.5,2025-03-21,227,0,312,0.63,1740590910282000000,403,25389.0,2025-02-26,Single Leg Auction Non ISO,Oils-Energy,Oil and Gas - Production and Pipelines,41.69,42.13,41.48,41.75,3,4.404645595594691,1,1,1,1,0
ENB,Oils-Energy,Oil and Gas - Production and Pipelines,15__0,15,0.0,1. p999999_trade_value,258615.0,258615.0,O:ENB250321C00042500,ENB,C,42.5,2025-03-21,227,0,312,0.63,1740590910282000000,4105,258615.0,2025-02-26,Single Leg Auction Non ISO,Oils-Energy,Oil and Gas - Production and Pipelines,41.69,42.13,41.48,41.75,1,5.412653710909042,1,1,1,1,0
FTI,Oils-Energy,Oil and Gas - Field Services,15__1,15,1.0,1. p999999_trade_value,540000.0,540000.0,O:FTI250516C00026000,FTI,C,26.0,2025-05-16,234,0,301,1.35,1744824652269000000,4000,540000.0,2025-04-16,Multi Leg Cross,Oils-Energy,Oil and Gas - Field Services,25.1,25.59,24.55,24.99,1,5.732393759822968,1,1,1,1,0
FTI,Oils-Energy,Oil and Gas - Field Services,15__1,15,1.0,7. p90_trade_value,256000.0,256000.0,O:FTI250516C00028000,FTI,C,28.0,2025-05-16,234,0,301,0.64,1744911564246000000,4000,256000.0,2025-04-17,Multi Leg Cross,Oils-Energy,Oil and Gas - Field Services,25.44,26.13,25.08,25.54,6,5.408239965311849,2,1,1,1,0
FTI,Oils-Energy,Oil and Gas - Field Services,15__1,15,1.0,6. p95_trade_value,269500.0,300000.0,O:FTI250516P00024000,FTI,P,24.0,2025-05-16,234,0,301,0.75,1744911564245000000,4000,300000.0,2025-04-17,Multi Leg Cross,Oils-Energy,Oil and Gas - Field Services,25.44,26.13,25.08,25.54,2,5.477121254719663,1,0,0,0,1
FTI,Oils-Energy,Oil and Gas - Field Services,15__1,15,1.0,6. p95_trade_value,269500.0,300000.0,O:FTI250620C00032000,FTI,C,32.0,2025-06-20,234,0,300,0.49,1748370597342000000,5500,269500.0,2025-05-27,Multi Leg Cross,Oils-Energy,Oil and Gas - Field Services,30.02,30.3,29.62,30.25,5,5.430558769522757,2,1,0,0,0
FTI,Oils-Energy,Oil and Gas - Field Services,15__1,15,1.0,6. p95_trade_value,269500.0,300000.0,O:FTI250620C00032000,FTI,C,32.0,2025-06-20,234,0,300,0.49,1748371820092000000,5500,269500.0,2025-05-27,Multi Leg Cross,Oils-Energy,Oil and Gas - Field Services,30.02,30.3,29.62,30.25,4,5.430558769522757,2,1,0,0,0
FTI,Oils-Energy,Oil and Gas - Field Services,15__1,15,1.0,6. p95_trade_value,269500.0,300000.0,O:FTI250620C00032000,FTI,C,32.0,2025-06-20,234,0,300,0.49,1748371913951000000,5500,269500.0,2025-05-27,Multi Leg Cross,Oils-Energy,Oil and Gas - Field Services,30.02,30.3,29.62,30.25,3,5.430558769522757,1,1,0,0,0
HLX,Oils-Energy,Oil and Gas - Field Services,15__0,15,0.0,1. p999999_trade_value,45400.0,45400.0,O:HLX241018C00011000,HLX,C,11.0,2024-10-18,209,0,325,0.2,1727370183922000000,2270,45400.0,2024-09-26,Automatic Execution,Oils-Energy,Oil and Gas - Field Services,9.89,10.3,9.715,10.24,1,4.657055852857104,1,1,0,0,0
HP,Oils-Energy,Oil and Gas - Drilling,15__1,15,1.0,1. p999999_trade_value,700000.0,700000.0,O:HP240920P00030000,HP,P,30.0,2024-09-20,235,0,323,0.7,1725644049656000000,10000,700000.0,2024-09-06,Multi Leg floor trade,Oils-Energy,Oil and Gas - Drilling,30.63,31.2385,30.18,30.34,1,5.845098040014257,1,1,0,0,0
KNTK,Oils-Energy,Oil and Gas - Field Services,15__0,15,0.0,1. p999999_trade_value,106820.0,106820.0,O:KNTK250620C00045000,KNTK,C,45.0,2025-06-20,229,0,302,1.4,1747924526867000000,763,106820.0,2025-05-22,Single Leg Cross Non ISO,Oils-Energy,Oil and Gas - Field Services,43.97,44.76,43.57,44.41,1,5.028652573633119,1,1,0,0,0
NOG,Oils-Energy,Oil and Gas - Exploration and Production - United States,15__0,15,0.0,1. p999999_trade_value,16500.0,16500.0,O:NOG241115C00037000,NOG,C,37.0,2024-11-15,227,0,309,1.1,1730827073845000000,150,16500.0,2024-11-05,Single Leg Auction Non ISO,Oils-Energy,Oil and Gas - Exploration and Production - United States,36.3,36.99,36.01,36.76,1,4.217483944213907,1,1,1,1,0
PAA,Oils-Energy,Oil and Gas - Production Pipeline - MLB,15__0,15,0.0,1. p999999_trade_value,48660.0,48660.0,O:PAA241018C00018000,PAA,C,18.0,2024-10-18,209,0,308,0.3,1726775333780000000,1622,48660.0,2024-09-19,Automatic Execution,Oils-Energy,Oil and Gas - Production Pipeline - MLB,17.99,17.99,17.755,17.87,1,4.6871721045948,1,1,0,0,0
