security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
APA,Oils-Energy,Oil and Gas - Exploration and Production - United States,30__0,30,0.0,1. p999999_trade_value,770000.0000000001,770000.0000000001,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
APA,Oils-Energy,Oil and Gas - Exploration and Production - United States,30__0,30,0.0,5. p99_trade_value,675000.0,135000.0,3.0,9.0,0.3333333333333333,0.55,2. BELOW BASELINE,3.0,10.0,0.3
APA,Oils-Energy,Oil and Gas - Exploration and Production - United States,30__0,30,0.0,6. p95_trade_value,132000.0,15574.0,17.0,36.0,0.4722222222222222,0.55,2. BELOW BASELINE,20.0,46.0,0.43478260869565216
APA,Oils-Energy,Oil and Gas - Exploration and Production - United States,30__0,30,0.0,7. p90_trade_value,15568.0,11250.0,19.0,45.0,0.4222222222222222,0.55,2. BELOW BASELINE,39.0,91.0,0.42857142857142855
APA,Oils-Energy,Oil and Gas - Exploration and Production - United States,30__0,30,0.0,8. p75_trade_value,11200.000000000002,6600.0,75.0,136.0,0.5514705882352942,0.55,2. BELOW BASELINE,114.0,227.0,0.5022026431718062
BP,Oils-Energy,Oil and Gas - Integrated - International,30__2,30,2.0,1. p999999_trade_value,836000.0,836000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
BP,Oils-Energy,Oil and Gas - Integrated - International,30__2,30,2.0,4. p999_trade_value,800000.0,800000.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
BP,Oils-Energy,Oil and Gas - Integrated - International,30__2,30,2.0,5. p99_trade_value,629685.0,169965.0,10.0,14.0,0.7142857142857143,0.55,2. BELOW BASELINE,11.0,16.0,0.6875
BP,Oils-Energy,Oil and Gas - Integrated - International,30__2,30,2.0,6. p95_trade_value,169775.0,31895.999999999996,35.0,63.0,0.5555555555555556,0.55,2. BELOW BASELINE,46.0,79.0,0.5822784810126582
BP,Oils-Energy,Oil and Gas - Integrated - International,30__2,30,2.0,7. p90_trade_value,31841.999999999996,19116.000000000004,48.0,78.0,0.6153846153846154,0.55,2. BELOW BASELINE,94.0,157.0,0.5987261146496815
BP,Oils-Energy,Oil and Gas - Integrated - International,30__2,30,2.0,8. p75_trade_value,19000.0,8640.0,149.0,236.0,0.6313559322033898,0.55,2. BELOW BASELINE,243.0,393.0,0.6183206106870229
CLMT,Oils-Energy,Oil and Gas - Integrated - United States,30__0,30,0.0,1. p999999_trade_value,440000.0,440000.0,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
CLMT,Oils-Energy,Oil and Gas - Integrated - United States,30__0,30,0.0,5. p99_trade_value,390000.0,168750.0,5.0,6.0,0.8333333333333334,0.55,1. ABOVE BASELINE,7.0,8.0,0.875
CLMT,Oils-Energy,Oil and Gas - Integrated - United States,30__0,30,0.0,6. p95_trade_value,154882.00000000003,40000.0,15.0,29.0,0.5172413793103449,0.55,2. BELOW BASELINE,22.0,37.0,0.5945945945945946
CLMT,Oils-Energy,Oil and Gas - Integrated - United States,30__0,30,0.0,7. p90_trade_value,39750.0,18000.0,23.0,37.0,0.6216216216216216,0.55,2. BELOW BASELINE,45.0,74.0,0.6081081081081081
CLMT,Oils-Energy,Oil and Gas - Integrated - United States,30__0,30,0.0,8. p75_trade_value,17985.0,9000.0,74.0,118.0,0.6271186440677966,0.55,2. BELOW BASELINE,119.0,192.0,0.6197916666666666
EOG,Oils-Energy,Oil and Gas - Exploration and Production - United States,30__0,30,0.0,1. p999999_trade_value,172250.0,172250.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
EOG,Oils-Energy,Oil and Gas - Exploration and Production - United States,30__0,30,0.0,5. p99_trade_value,110500.0,77520.0,4.0,8.0,0.5,0.55,2. BELOW BASELINE,4.0,9.0,0.4444444444444444
EOG,Oils-Energy,Oil and Gas - Exploration and Production - United States,30__0,30,0.0,6. p95_trade_value,68250.0,22969.0,20.0,32.0,0.625,0.55,2. BELOW BASELINE,24.0,41.0,0.5853658536585366
