security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,security_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
SEDG,Oils-Energy,Solar,30__0,30,0.0,7. p90_trade_value,12000.0,17600.0,O:SEDG240830C00029000,SEDG,C,29.0,2024-08-30,209,0,313,1.13,1724442880158000000,138,15594.0,2024-08-23,Automatic Execution,Oils-Energy,Solar,25.39,28.78,25.2,28.77,101,4.192957529884656,2,1,0,0,0
SEDG,Oils-Energy,Solar,30__0,30,0.0,7. p90_trade_value,12000.0,17600.0,O:SEDG240830C00029000,SEDG,C,29.0,2024-08-30,209,0,313,1.12,1724441537046000000,136,15232.000000000002,2024-08-23,Automatic Execution,Oils-Energy,Solar,25.39,28.78,25.2,28.77,109,4.182756931040399,2,1,0,0,0
SEDG,Oils-Energy,Solar,30__0,30,0.0,6. p95_trade_value,17640.0,32178.000000000004,O:SEDG240830C00029000,SEDG,C,29.0,2024-08-30,209,0,313,0.95,1724438290951000000,199,18905.0,2024-08-23,Automatic Execution,Oils-Energy,Solar,25.39,28.78,25.2,28.77,69,4.276576681698554,1,1,0,0,0
SEDG,Oils-Energy,Solar,30__0,30,0.0,8. p75_trade_value,7482.000000000001,11940.0,O:SEDG240830C00030000,SEDG,C,30.0,2024-08-30,209,0,313,0.79,1724443129875000000,100,7900.0,2024-08-23,Automatic Execution,Oils-Energy,Solar,25.39,28.78,25.2,28.77,366,3.8976270912904414,5,1,0,0,0
SEDG,Oils-Energy,Solar,30__0,30,0.0,6. p95_trade_value,17640.0,32178.000000000004,O:SEDG240920C00029000,SEDG,C,29.0,2024-09-20,209,0,313,2.15,1724430702445000000,100,21500.0,2024-08-23,Automatic Execution,Oils-Energy,Solar,25.39,28.78,25.2,28.77,52,4.332438459915605,1,1,0,0,0
SEDG,Oils-Energy,Solar,30__0,30,0.0,7. p90_trade_value,12000.0,17600.0,O:SEDG240913P00024000,SEDG,P,24.0,2024-09-13,209,0,301,1.2,1724688296064000000,100,12000.0,2024-08-26,Automatic Execution,Oils-Energy,Solar,30.99,31.07,26.01,26.13,161,4.079181246047625,2,1,1,1,0
SEDG,Oils-Energy,Solar,30__0,30,0.0,8. p75_trade_value,7482.000000000001,11940.0,O:SEDG240920P00020000,SEDG,P,20.0,2024-09-20,209,0,313,0.42,1724681662680000000,250,10500.0,2024-08-26,Automatic Execution,Oils-Energy,Solar,30.99,31.07,26.01,26.13,206,4.021189299069938,3,1,0,0,0
SEDG,Oils-Energy,Solar,30__0,30,0.0,8. p75_trade_value,7482.000000000001,11940.0,O:SEDG240920P00024000,SEDG,P,24.0,2024-09-20,209,0,307,1.5,1724682091257000000,50,7500.0,2024-08-26,Automatic Execution,Oils-Energy,Solar,30.99,31.07,26.01,26.13,397,3.8750612633917,5,1,1,1,0
SEDG,Oils-Energy,Solar,30__0,30,0.0,8. p75_trade_value,7482.000000000001,11940.0,O:SEDG240920P00025500,SEDG,P,25.5,2024-09-20,209,0,316,2.17,1724702043210000000,38,8246.0,2024-08-26,Automatic Execution,Oils-Energy,Solar,30.99,31.07,26.01,26.13,340,3.9162433304653397,5,1,1,1,0
SEDG,Oils-Energy,Solar,30__0,30,0.0,8. p75_trade_value,7482.000000000001,11940.0,O:SEDG240920C00031000,SEDG,C,31.0,2024-09-20,209,0,313,0.88,1724769802504000000,90,7920.0,2024-08-27,Automatic Execution,Oils-Energy,Solar,25.87,26.3,24.31,25.69,364,3.8987251815894934,5,0,0,0,1
SEDG,Oils-Energy,Solar,30__0,30,0.0,6. p95_trade_value,17640.0,32178.000000000004,O:SEDG240920C00029000,SEDG,C,29.0,2024-09-20,209,0,304,1.21,1724868645456000000,169,20448.999999999996,2024-08-28,Automatic Execution,Oils-Energy,Solar,25.66,26.5,25.19,25.69,58,4.310672074930124,1,0,0,0,1
SEDG,Oils-Energy,Solar,30__0,30,0.0,8. p75_trade_value,7482.000000000001,11940.0,O:SEDG240920P00024000,SEDG,P,24.0,2024-09-20,209,0,313,1.59,1724865295641000000,50,7950.0,2024-08-28,Automatic Execution,Oils-Energy,Solar,25.66,26.5,25.19,25.69,357,3.9003671286564705,5,1,1,1,0
SEDG,Oils-Energy,Solar,30__0,30,0.0,8. p75_trade_value,7482.000000000001,11940.0,O:SEDG240913C00026000,SEDG,C,26.0,2024-09-13,209,0,319,1.17,1725028952471000000,80,9360.0,2024-08-30,Automatic Execution,Oils-Energy,Solar,25.16,25.32,24.14,24.33,260,3.971275848738105,4,0,0,0,1
SEDG,Oils-Energy,Solar,30__0,30,0.0,6. p95_trade_value,17640.0,32178.000000000004,O:SEDG240920C00026500,SEDG,C,26.5,2024-09-20,227,0,301,1.23,1725030153581000000,160,19680.0,2024-08-30,Single Leg Auction Non ISO,Oils-Energy,Solar,25.16,25.32,24.14,24.33,65,4.294025094095323,1,0,0,0,1
SEDG,Oils-Energy,Solar,30__0,30,0.0,7. p90_trade_value,12000.0,17600.0,O:SEDG240920C00026500,SEDG,C,26.5,2024-09-20,227,0,301,1.23,1725030153581000000,126,15497.999999999998,2024-08-30,Single Leg Auction Non ISO,Oils-Energy,Solar,25.16,25.32,24.14,24.33,105,4.1902756565569605,2,0,0,0,1
