security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
ARRY,Oils-Energy,Solar,0.55,,,,121,20__0,20,0.0,10710.0,16650.0,42944.0,85156.8,89731.68,90189.17,90234.92
CSIQ,Oils-Energy,Solar,0.55,38960.0,1. p999999_trade_value,1.0,253,25__1,25,1.0,10272.0,14091.0,22740.0,35190.08,38583.01,38922.3,38956.23
ENPH,Oils-Energy,Solar,0.55,442000.0,3. p9999_trade_value,2.0,11501,40__1,40,1.0,13930.0,21120.0,49970.0,235650.0,432382.0,736567.83,771017.28
FSLR,Oils-Energy,Solar,0.55,,,,32417,45__1,45,1.0,17400.0,29450.0,118272.0,963510.46,3697059.84,4400000.0,4400000.0
JKS,Oils-Energy,Solar,0.55,,,,327,25__1,25,1.0,14099.0,18879.0,47884.6,87616.95,93403.1,93981.71,94039.57
MAXN,Oils-Energy,Solar,0.55,,,,39,15__0,15,0.0,7000.0,7020.0,8812.0,9701.2,9790.12,9799.01,9799.9
NXT,Oils-Energy,Solar,0.55,,,,784,30__0,30,0.0,17271.5,27177.9,86819.5,304743.62,320148.36,321688.84,321842.88
RUN,Oils-Energy,Solar,0.55,,,,3621,35__2,35,2.0,18081.0,30063.0,151839.0,900647.36,2635599.24,3246141.92,3307196.19
SEDG,Oils-Energy,Solar,0.55,7482.000000000001,8. p75_trade_value,404.0,1610,30__0,30,0.0,12000.0,17622.0,32885.98,306679.08,670565.32,713828.03,718154.3
SHLS,Oils-Energy,Solar,0.55,8540.0,6. p95_trade_value,2.0,32,15__0,15,0.0,5500.0,7126.5,31608.08,40935.61,41868.36,41961.64,41970.96
