security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ARRY,Oils-Energy,Solar,20__0,20,0.0,1. p999999_trade_value,90240.00000000001,90240.00000000001,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
ARRY,Oils-Energy,Solar,20__0,20,0.0,5. p99_trade_value,47879.99999999999,47879.99999999999,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
ARRY,Oils-Energy,Solar,20__0,20,0.0,6. p95_trade_value,23200.0,16650.0,4.0,5.0,0.8,0.55,2. BELOW BASELINE,4.0,7.0,0.5714285714285714
ARRY,Oils-Energy,Solar,20__0,20,0.0,7. p90_trade_value,15000.0,10710.0,4.0,6.0,0.6666666666666666,0.55,2. BELOW BASELINE,8.0,13.0,0.6153846153846154
ARRY,Oils-Energy,Solar,20__0,20,0.0,8. p75_trade_value,10575.0,7875.0,13.0,18.0,0.7222222222222222,0.55,2. BELOW BASELINE,21.0,31.0,0.6774193548387096
CSIQ,Oils-Energy,Solar,25__1,25,1.0,1. p999999_trade_value,38960.0,38960.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
CSIQ,Oils-Energy,Solar,25__1,25,1.0,5. p99_trade_value,24000.0,22999.999999999996,1.0,2.0,0.5,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
CSIQ,Oils-Energy,Solar,25__1,25,1.0,6. p95_trade_value,22500.0,14700.0,5.0,10.0,0.5,0.55,2. BELOW BASELINE,7.0,13.0,0.5384615384615384
CSIQ,Oils-Energy,Solar,25__1,25,1.0,7. p90_trade_value,13685.0,10290.0,9.0,13.0,0.6923076923076923,0.55,2. BELOW BASELINE,16.0,26.0,0.6153846153846154
CSIQ,Oils-Energy,Solar,25__1,25,1.0,8. p75_trade_value,10200.0,6698.0,21.0,38.0,0.5526315789473685,0.55,2. BELOW BASELINE,37.0,64.0,0.578125
ENPH,Oils-Energy,Solar,40__1,40,1.0,1. p999999_trade_value,774845.0,774845.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ENPH,Oils-Energy,Solar,40__1,40,1.0,3. p9999_trade_value,442000.0,442000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
ENPH,Oils-Energy,Solar,40__1,40,1.0,4. p999_trade_value,377880.0,238500.0,5.0,10.0,0.5,0.55,2. BELOW BASELINE,7.0,12.0,0.5833333333333334
ENPH,Oils-Energy,Solar,40__1,40,1.0,5. p99_trade_value,232800.0,49970.0,59.0,104.0,0.5673076923076923,0.55,2. BELOW BASELINE,66.0,116.0,0.5689655172413793
ENPH,Oils-Energy,Solar,40__1,40,1.0,6. p95_trade_value,49800.00000000001,21120.0,275.0,460.0,0.5978260869565217,0.55,2. BELOW BASELINE,341.0,576.0,0.5920138888888888
ENPH,Oils-Energy,Solar,40__1,40,1.0,7. p90_trade_value,21098.0,13930.000000000002,267.0,575.0,0.4643478260869565,0.55,2. BELOW BASELINE,608.0,1151.0,0.5282363162467419
ENPH,Oils-Energy,Solar,40__1,40,1.0,8. p75_trade_value,13920.000000000002,7750.0,815.0,1725.0,0.47246376811594204,0.55,2. BELOW BASELINE,1423.0,2876.0,0.49478442280945756
FSLR,Oils-Energy,Solar,45__1,45,1.0,1. p999999_trade_value,4400000.0,4400000.0,2.0,2.0,1.0,0.55,2. BELOW BASELINE,2.0,2.0,1.0
FSLR,Oils-Energy,Solar,45__1,45,1.0,3. p9999_trade_value,3850000.0,3775000.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,3.0,4.0,0.75
FSLR,Oils-Energy,Solar,45__1,45,1.0,4. p999_trade_value,3452400.0,976695.9999999999,21.0,29.0,0.7241379310344828,0.55,2. BELOW BASELINE,24.0,33.0,0.7272727272727273
FSLR,Oils-Energy,Solar,45__1,45,1.0,5. p99_trade_value,945000.0,118300.0,117.0,292.0,0.4006849315068493,0.55,2. BELOW BASELINE,141.0,325.0,0.4338461538461538
FSLR,Oils-Energy,Solar,45__1,45,1.0,6. p95_trade_value,118125.0,29450.0,600.0,1298.0,0.4622496147919877,0.55,2. BELOW BASELINE,741.0,1623.0,0.4565619223659889
FSLR,Oils-Energy,Solar,45__1,45,1.0,7. p90_trade_value,29440.000000000004,17400.0,782.0,1624.0,0.4815270935960591,0.55,2. BELOW BASELINE,1523.0,3247.0,0.4690483523252233
FSLR,Oils-Energy,Solar,45__1,45,1.0,8. p75_trade_value,17395.0,9010.0,2306.0,4863.0,0.47419288505038043,0.55,2. BELOW BASELINE,3829.0,8110.0,0.4721331689272503
JKS,Oils-Energy,Solar,25__1,25,1.0,1. p999999_trade_value,94045.99999999999,94045.99999999999,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
JKS,Oils-Energy,Solar,25__1,25,1.0,5. p99_trade_value,74325.0,48480.0,1.0,3.0,0.3333333333333333,0.55,2. BELOW BASELINE,1.0,4.0,0.25
JKS,Oils-Energy,Solar,25__1,25,1.0,6. p95_trade_value,46190.0,18900.0,4.0,13.0,0.3076923076923077,0.55,2. BELOW BASELINE,5.0,17.0,0.29411764705882354
JKS,Oils-Energy,Solar,25__1,25,1.0,7. p90_trade_value,18830.0,14210.0,5.0,16.0,0.3125,0.55,2. BELOW BASELINE,10.0,33.0,0.30303030303030304
JKS,Oils-Energy,Solar,25__1,25,1.0,8. p75_trade_value,14025.0,8164.999999999999,17.0,49.0,0.3469387755102041,0.55,2. BELOW BASELINE,27.0,82.0,0.32926829268292684
MAXN,Oils-Energy,Solar,15__0,15,0.0,1. p999999_trade_value,9800.0,9800.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
MAXN,Oils-Energy,Solar,15__0,15,0.0,6. p95_trade_value,7200.0,7200.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
MAXN,Oils-Energy,Solar,15__0,15,0.0,7. p90_trade_value,7000.0,7000.0,1.0,3.0,0.3333333333333333,0.55,2. BELOW BASELINE,2.0,5.0,0.4
MAXN,Oils-Energy,Solar,15__0,15,0.0,8. p75_trade_value,6930.0,6000.0,3.0,6.0,0.5,0.55,2. BELOW BASELINE,5.0,11.0,0.45454545454545453
NXT,Oils-Energy,Solar,30__0,30,0.0,1. p999999_trade_value,321860.00000000006,321860.00000000006,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
NXT,Oils-Energy,Solar,30__0,30,0.0,5. p99_trade_value,300000.0,89600.00000000001,5.0,7.0,0.7142857142857143,0.55,2. BELOW BASELINE,5.0,8.0,0.625
NXT,Oils-Energy,Solar,30__0,30,0.0,6. p95_trade_value,86249.99999999999,27180.0,23.0,32.0,0.71875,0.55,2. BELOW BASELINE,28.0,40.0,0.7
