security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
BLDR,Retail-Wholesale,Building Products - Retail,30__2,30,2.0,4. p999_trade_value,145000.0,145000.0,O:BLDR241115P00170000,BLDR,P,170.0,2024-11-15,231,0,301,5.8,1729789433434000000,250,145000.0,2024-10-24,Single Leg Floor Trade,Retail-Wholesale,Building Products - Retail,179.31,182.35,177.67,181.66,2,5.161368002234975,1,1,0,0,0
BLDR,Retail-Wholesale,Building Products - Retail,30__2,30,2.0,1. p999999_trade_value,450000.0,450000.0,O:BLDR250516P00115000,BLDR,P,115.0,2025-05-16,241,0,323,4.5,1746042076151000000,1000,450000.0,2025-04-30,Stock Options Cross,Retail-Wholesale,Building Products - Retail,117.69,119.68,117.02,119.63,1,5.653212513775344,1,1,0,0,0
GMS,Retail-Wholesale,Building Products - Retail,10__0,10,0.0,1. p999999_trade_value,7575.0,7575.0,O:GMS240920P00090000,GMS,P,90.0,2024-09-20,233,0,302,3.03,1724870818176000000,25,7575.0,2024-08-28,Multi Leg Auction,Retail-Wholesale,Building Products - Retail,91.15,92.7099,90.71,91.15,2,3.8793826371743427,2,1,0,0,0
GMS,Retail-Wholesale,Building Products - Retail,10__0,10,0.0,1. p999999_trade_value,7575.0,7575.0,O:GMS240920P00090000,GMS,P,90.0,2024-09-20,233,0,302,3.03,1724870818176000000,25,7575.0,2024-08-28,Multi Leg Auction,Retail-Wholesale,Building Products - Retail,91.15,92.7099,90.71,91.15,1,3.8793826371743427,1,1,0,0,0
GMS,Retail-Wholesale,Building Products - Retail,10__0,10,0.0,8. p75_trade_value,7500.0,7500.0,O:GMS241220P00090000,GMS,P,90.0,2024-12-20,209,0,320,0.75,1733345945788000000,100,7500.0,2024-12-04,Automatic Execution,Retail-Wholesale,Building Products - Retail,102.37,103.01,101.54,102.29,3,3.8750612633917,3,1,1,1,0
GMS,Retail-Wholesale,Building Products - Retail,10__0,10,0.0,8. p75_trade_value,7500.0,7500.0,O:GMS241220P00090000,GMS,P,90.0,2024-12-20,209,0,320,0.75,1733345946531000000,100,7500.0,2024-12-04,Automatic Execution,Retail-Wholesale,Building Products - Retail,102.37,103.01,101.54,102.29,8,3.8750612633917,8,1,1,1,0
GMS,Retail-Wholesale,Building Products - Retail,10__0,10,0.0,8. p75_trade_value,7500.0,7500.0,O:GMS241220P00090000,GMS,P,90.0,2024-12-20,209,0,320,0.75,1733345947981000000,100,7500.0,2024-12-04,Automatic Execution,Retail-Wholesale,Building Products - Retail,102.37,103.01,101.54,102.29,5,3.8750612633917,5,1,1,1,0
GMS,Retail-Wholesale,Building Products - Retail,10__0,10,0.0,8. p75_trade_value,7500.0,7500.0,O:GMS241220P00090000,GMS,P,90.0,2024-12-20,209,0,320,0.75,1733345955058000000,100,7500.0,2024-12-04,Automatic Execution,Retail-Wholesale,Building Products - Retail,102.37,103.01,101.54,102.29,7,3.8750612633917,7,1,1,1,0
GMS,Retail-Wholesale,Building Products - Retail,10__0,10,0.0,8. p75_trade_value,7500.0,7500.0,O:GMS241220P00090000,GMS,P,90.0,2024-12-20,209,0,320,0.75,1733345948859000000,100,7500.0,2024-12-04,Automatic Execution,Retail-Wholesale,Building Products - Retail,102.37,103.01,101.54,102.29,6,3.8750612633917,6,1,1,1,0
GMS,Retail-Wholesale,Building Products - Retail,10__0,10,0.0,8. p75_trade_value,7500.0,7500.0,O:GMS241220P00090000,GMS,P,90.0,2024-12-20,209,0,320,0.75,1733345946932000000,100,7500.0,2024-12-04,Automatic Execution,Retail-Wholesale,Building Products - Retail,102.37,103.01,101.54,102.29,4,3.8750612633917,4,1,1,1,0
TGLS,Retail-Wholesale,Building Products - Retail,10__0,10,0.0,1. p999999_trade_value,63360.0,63360.0,O:TGLS241115C00080000,TGLS,C,80.0,2024-11-15,209,0,308,3.2,1729279365319000000,198,63360.0,2024-10-18,Automatic Execution,Retail-Wholesale,Building Products - Retail,77.72,78.82,76.83,78.1,1,4.801815168581437,1,1,0,0,0
