security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
BABA,Retail-Wholesale,Internet - Commerce,50__3,50,3.0,1. p999999_trade_value,2130000.0,2130000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
BABA,Retail-Wholesale,Internet - Commerce,50__3,50,3.0,2. p99999_trade_value,1593000.0,1593000.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
BABA,Retail-Wholesale,Internet - Commerce,50__3,50,3.0,3. p9999_trade_value,1545000.0000000002,1071360.0,6.0,12.0,0.5,0.55,2. BELOW BASELINE,7.0,14.0,0.5
BABA,Retail-Wholesale,Internet - Commerce,50__3,50,3.0,4. p999_trade_value,1038500.0,343200.0,73.0,124.0,0.5887096774193549,0.55,2. BELOW BASELINE,80.0,138.0,0.5797101449275363
BABA,Retail-Wholesale,Internet - Commerce,50__3,50,3.0,5. p99_trade_value,339000.0,85500.0,732.0,1244.0,0.5884244372990354,0.55,2. BELOW BASELINE,812.0,1382.0,0.5875542691751086
BABA,Retail-Wholesale,Internet - Commerce,50__3,50,3.0,6. p95_trade_value,85459.0,30690.000000000004,2972.0,5504.0,0.5399709302325582,0.55,2. BELOW BASELINE,3784.0,6886.0,0.549520766773163
BABA,Retail-Wholesale,Internet - Commerce,50__3,50,3.0,7. p90_trade_value,30680.0,19530.0,3593.0,6886.0,0.5217833284925937,0.55,2. BELOW BASELINE,7377.0,13772.0,0.5356520476328783
BABA,Retail-Wholesale,Internet - Commerce,50__3,50,3.0,8. p75_trade_value,19529.0,9960.0,10361.0,20675.0,0.501136638452237,0.55,2. BELOW BASELINE,17738.0,34447.0,0.5149359886201992
CVNA,Retail-Wholesale,Internet - Commerce,50__0,50,0.0,1. p999999_trade_value,8624000.0,8624000.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,1.0,1.0
CVNA,Retail-Wholesale,Internet - Commerce,50__0,50,0.0,3. p9999_trade_value,4550000.0,1428154.0,4.0,8.0,0.5,0.55,2. BELOW BASELINE,5.0,9.0,0.5555555555555556
CVNA,Retail-Wholesale,Internet - Commerce,50__0,50,0.0,4. p999_trade_value,1425600.0,471000.0,47.0,75.0,0.6266666666666667,0.55,2. BELOW BASELINE,52.0,84.0,0.6190476190476191
CVNA,Retail-Wholesale,Internet - Commerce,50__0,50,0.0,5. p99_trade_value,468531.00000000006,149700.0,489.0,753.0,0.649402390438247,0.55,2. BELOW BASELINE,541.0,837.0,0.6463560334528077
CVNA,Retail-Wholesale,Internet - Commerce,50__0,50,0.0,6. p95_trade_value,149500.0,46860.0,1956.0,3340.0,0.5856287425149701,0.55,2. BELOW BASELINE,2497.0,4177.0,0.597797462293512
CVNA,Retail-Wholesale,Internet - Commerce,50__0,50,0.0,7. p90_trade_value,46842.0,26300.0,2396.0,4178.0,0.5734801340354236,0.55,2. BELOW BASELINE,4893.0,8355.0,0.585637342908438
CVNA,Retail-Wholesale,Internet - Commerce,50__0,50,0.0,8. p75_trade_value,26289.0,11438.000000000002,6992.0,12510.0,0.5589128697042366,0.55,2. BELOW BASELINE,11885.0,20865.0,0.5696141864366163
PDD,Retail-Wholesale,Internet - Commerce,50__2,50,2.0,1. p999999_trade_value,4524065.0,4524065.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,1.0,1.0
PDD,Retail-Wholesale,Internet - Commerce,50__2,50,2.0,3. p9999_trade_value,3458060.0,2100000.0,2.0,5.0,0.4,0.55,2. BELOW BASELINE,3.0,6.0,0.5
PDD,Retail-Wholesale,Internet - Commerce,50__2,50,2.0,4. p999_trade_value,2099790.0,623492.0,21.0,51.0,0.4117647058823529,0.55,2. BELOW BASELINE,24.0,57.0,0.42105263157894735
PDD,Retail-Wholesale,Internet - Commerce,50__2,50,2.0,5. p99_trade_value,618000.0,98000.0,217.0,509.0,0.4263261296660118,0.55,2. BELOW BASELINE,241.0,566.0,0.42579505300353354
PDD,Retail-Wholesale,Internet - Commerce,50__2,50,2.0,6. p95_trade_value,97790.0,33930.0,1092.0,2263.0,0.482545293857711,0.55,2. BELOW BASELINE,1333.0,2829.0,0.4711912336514669
PDD,Retail-Wholesale,Internet - Commerce,50__2,50,2.0,7. p90_trade_value,33929.99999999999,21417.0,1388.0,2829.0,0.4906327324142807,0.55,2. BELOW BASELINE,2721.0,5658.0,0.4809119830328738
PDD,Retail-Wholesale,Internet - Commerce,50__2,50,2.0,8. p75_trade_value,21409.0,10530.0,4099.0,8496.0,0.4824623352165725,0.55,2. BELOW BASELINE,6820.0,14154.0,0.4818425886675145
