security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
BKE,Retail-Wholesale,Retail - Apparel and Shoes,15__0,15,0.0,1. p999999_trade_value,8189.999999999999,8189.999999999999,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
BKE,Retail-Wholesale,Retail - Apparel and Shoes,15__0,15,0.0,7. p90_trade_value,6800.0,6800.0,1.0,1.0,1.0,0.75,2. BELOW BASELINE,1.0,2.0,0.5
BKE,Retail-Wholesale,Retail - Apparel and Shoes,15__0,15,0.0,8. p75_trade_value,5699.999999999999,5252.0,2.0,3.0,0.6666666666666666,0.75,2. BELOW BASELINE,3.0,5.0,0.6
BLMN,Retail-Wholesale,Retail - Restaurants,15__0,15,0.0,1. p999999_trade_value,41580.0,41580.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
BLMN,Retail-Wholesale,Retail - Restaurants,15__0,15,0.0,6. p95_trade_value,17814.999999999996,16000.0,0.0,2.0,0.0,0.75,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
BLMN,Retail-Wholesale,Retail - Restaurants,15__0,15,0.0,7. p90_trade_value,14654.999999999998,12780.0,0.0,3.0,0.0,0.75,2. BELOW BASELINE,1.0,6.0,0.16666666666666666
BLMN,Retail-Wholesale,Retail - Restaurants,15__0,15,0.0,8. p75_trade_value,12460.0,7380.0,5.0,8.0,0.625,0.75,2. BELOW BASELINE,6.0,14.0,0.42857142857142855
CTRN,Retail-Wholesale,Retail - Apparel and Shoes,15__0,15,0.0,1. p999999_trade_value,11499.999999999998,11499.999999999998,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
CTRN,Retail-Wholesale,Retail - Apparel and Shoes,15__0,15,0.0,6. p95_trade_value,10500.0,10500.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,2.0,2.0,1.0
CTRN,Retail-Wholesale,Retail - Apparel and Shoes,15__0,15,0.0,7. p90_trade_value,8300.0,8300.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,3.0,3.0,1.0
CTRN,Retail-Wholesale,Retail - Apparel and Shoes,15__0,15,0.0,8. p75_trade_value,8000.0,7500.0,3.0,3.0,1.0,0.75,1. ABOVE BASELINE,6.0,6.0,1.0
DBI,Retail-Wholesale,Retail - Apparel and Shoes,15__0,15,0.0,1. p999999_trade_value,90000.0,90000.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
DBI,Retail-Wholesale,Retail - Apparel and Shoes,15__0,15,0.0,6. p95_trade_value,66000.0,66000.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,2.0,2.0,1.0
DBI,Retail-Wholesale,Retail - Apparel and Shoes,15__0,15,0.0,7. p90_trade_value,60000.0,60000.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
DBI,Retail-Wholesale,Retail - Apparel and Shoes,15__0,15,0.0,8. p75_trade_value,24970.0,12000.0,2.0,4.0,0.5,0.75,2. BELOW BASELINE,4.0,7.0,0.5714285714285714
DIN,Retail-Wholesale,Retail - Restaurants,15__0,15,0.0,1. p999999_trade_value,29655.0,29655.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
DIN,Retail-Wholesale,Retail - Restaurants,15__0,15,0.0,7. p90_trade_value,28080.0,28080.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,2.0,2.0,1.0
DIN,Retail-Wholesale,Retail - Restaurants,15__0,15,0.0,8. p75_trade_value,28000.0,18000.0,3.0,3.0,1.0,0.75,1. ABOVE BASELINE,5.0,5.0,1.0
GOOS,Retail-Wholesale,Retail - Apparel and Shoes,15__0,15,0.0,1. p999999_trade_value,30828.000000000004,30828.000000000004,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
GOOS,Retail-Wholesale,Retail - Apparel and Shoes,15__0,15,0.0,7. p90_trade_value,11000.000000000002,11000.000000000002,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,2.0,0.0
