security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
AER,Transportation,Transportation - Equipment and Leasing,25__1,25,1.0,1. p999999_trade_value,315000.0,315000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
AER,Transportation,Transportation - Equipment and Leasing,25__1,25,1.0,5. p99_trade_value,262500.0,225000.0,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,3.0,3.0,1.0
AER,Transportation,Transportation - Equipment and Leasing,25__1,25,1.0,6. p95_trade_value,185538.0,32130.0,7.0,9.0,0.7777777777777778,0.55,1. ABOVE BASELINE,10.0,12.0,0.8333333333333334
AER,Transportation,Transportation - Equipment and Leasing,25__1,25,1.0,7. p90_trade_value,31875.0,15000.0,6.0,12.0,0.5,0.55,2. BELOW BASELINE,16.0,24.0,0.6666666666666666
AER,Transportation,Transportation - Equipment and Leasing,25__1,25,1.0,8. p75_trade_value,14797.999999999998,7750.0,24.0,36.0,0.6666666666666666,0.55,2. BELOW BASELINE,40.0,60.0,0.6666666666666666
CHRW,Transportation,Transportation - Services,25__0,25,0.0,1. p999999_trade_value,825000.0,825000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
CHRW,Transportation,Transportation - Services,25__0,25,0.0,5. p99_trade_value,245000.0,229860.0,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,3.0,3.0,1.0
CHRW,Transportation,Transportation - Services,25__0,25,0.0,6. p95_trade_value,180960.0,35700.0,5.0,11.0,0.45454545454545453,0.55,2. BELOW BASELINE,8.0,14.0,0.5714285714285714
CHRW,Transportation,Transportation - Services,25__0,25,0.0,7. p90_trade_value,34760.0,22680.0,10.0,13.0,0.7692307692307693,0.55,2. BELOW BASELINE,18.0,27.0,0.6666666666666666
CHRW,Transportation,Transportation - Services,25__0,25,0.0,8. p75_trade_value,22364.999999999996,8265.0,27.0,40.0,0.675,0.55,2. BELOW BASELINE,45.0,67.0,0.6716417910447762
CP,Transportation,Transportation - Rail,25__1,25,1.0,1. p999999_trade_value,654375.0,654375.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
CP,Transportation,Transportation - Rail,25__1,25,1.0,5. p99_trade_value,440300.0,139384.0,1.0,3.0,0.3333333333333333,0.55,2. BELOW BASELINE,1.0,4.0,0.25
CP,Transportation,Transportation - Rail,25__1,25,1.0,6. p95_trade_value,112500.0,49320.0,3.0,12.0,0.25,0.55,2. BELOW BASELINE,4.0,16.0,0.25
CP,Transportation,Transportation - Rail,25__1,25,1.0,7. p90_trade_value,30095.999999999996,12210.0,10.0,17.0,0.5882352941176471,0.55,2. BELOW BASELINE,14.0,33.0,0.42424242424242425
CP,Transportation,Transportation - Rail,25__1,25,1.0,8. p75_trade_value,11760.0,6030.0,23.0,48.0,0.4791666666666667,0.55,2. BELOW BASELINE,37.0,81.0,0.4567901234567901
CSX,Transportation,Transportation - Rail,25__1,25,1.0,1. p999999_trade_value,405000.0,405000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
