security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
AEE,Utilities,Utility - Electric Power,0.75,19845.0,1. p999999_trade_value,1.0,43,15__0,15,0.0,12000.0,16011.9,19227.6,19783.26,19838.83,19844.38,19844.94
ATO,Utilities,Utility - Gas Distribution,0.75,7200.0,8. p75_trade_value,13.0,52,15__0,15,0.0,10735.0,18793.25,148590.42,149202.04,149263.2,149269.32,149269.93
AWK,Utilities,Utility - Water Supply,0.75,33408.0,1. p999999_trade_value,1.0,55,15__0,15,0.0,8866.8,12210.0,26254.08,32692.61,33336.46,33400.85,33407.28
CMS,Utilities,Utility - Electric Power,0.75,10005.0,8. p75_trade_value,12.0,47,15__0,15,0.0,23628.0,25910.5,84744.02,106484.4,108658.44,108875.84,108897.58
CNP,Utilities,Utility - Electric Power,0.75,41490.0,1. p999999_trade_value,1.0,35,15__0,15,0.0,19531.8,30000.0,37583.4,41099.34,41450.93,41486.09,41489.61
DTE,Utilities,Utility - Electric Power,0.75,72720.0,1. p999999_trade_value,1.0,21,15__0,15,0.0,45360.0,65340.0,71244.0,72572.4,72705.24,72718.52,72719.85
ES,Utilities,Utility - Electric Power,0.75,,,,20,15__0,15,0.0,30746.75,79374.38,121278.87,130707.39,131650.24,131744.52,131753.95
EVRG,Utilities,Utility - Electric Power,0.75,10125.0,7. p90_trade_value,3.0,24,15__0,15,0.0,10090.5,11684.75,12614.5,12790.45,12808.05,12809.8,12809.98
FE,Utilities,Utility - Electric Power,0.75,,,,45,15__0,15,0.0,11718.0,13362.0,20672.4,22767.24,22976.72,22997.67,22999.77
MDU,Utilities,Utility - Gas Distribution,0.75,,,,20,15__0,15,0.0,12570.0,15750.0,27150.0,29715.0,29971.5,29997.15,29999.71
