security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA240906P00467500,MA,P,467.5,2024-09-06,236,0,308,0.94,1724956992945000000,300,28200.0,2024-08-29,3000,30,True,Multi Leg auto-electronic trade against single leg(s),Business Services,Financial Transaction Services,474.47,481.92,474.47,480.8,226,4.450249108319361,20,1,0,0,0,1
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA240906P00470000,MA,P,470.0,2024-09-06,236,0,308,1.24,1724956992945000000,300,37200.0,2024-08-29,3000,30,True,Multi Leg auto-electronic trade against single leg(s),Business Services,Financial Transaction Services,474.47,481.92,474.47,480.8,139,4.570542939881897,20,1,0,0,0,1
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA240913C00487500,MA,C,487.5,2024-09-13,219,0,313,3.6,1724954949664000000,87,31320.0,2024-08-29,3000,30,True,Intermarket Sweep Order,Business Services,Financial Transaction Services,474.47,481.92,474.47,480.8,190,4.495821753385906,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,5. p99_trade_value,66150.0,172746.0,O:MA240913C00487500,MA,C,487.5,2024-09-13,209,0,313,3.6,1724954969144000000,400,144000.0,2024-08-29,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,474.47,481.92,474.47,480.8,13,5.158362492095249,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA240913C00487500,MA,C,487.5,2024-09-13,209,0,309,3.6,1724954949508000000,170,61200.0,2024-08-29,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,474.47,481.92,474.47,480.8,64,4.786751422145561,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA240913C00487500,MA,C,487.5,2024-09-13,209,0,315,3.7,1724955026033000000,100,37000.0,2024-08-29,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,474.47,481.92,474.47,480.8,142,4.568201724066995,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA240913C00487500,MA,C,487.5,2024-09-13,231,0,301,5.4,1725025247567000000,100,54000.0,2024-08-30,3000,30,True,Single Leg Floor Trade,Business Services,Financial Transaction Services,481.84,485.74,479.65,483.34,77,4.732393759822968,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA240913C00487500,MA,C,487.5,2024-09-13,209,0,307,3.7,1725027605277000000,100,37000.0,2024-08-30,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,481.84,485.74,479.65,483.34,143,4.568201724066995,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA240913C00487500,MA,C,487.5,2024-09-13,209,0,301,3.0,1725392490167000000,136,40800.0,2024-09-03,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,482.47,486.69,480.04,482.12,125,4.61066016308988,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA240913C00487500,MA,C,487.5,2024-09-13,227,0,323,0.97,1725549899054000000,298,28906.0,2024-09-05,3000,30,True,Single Leg Auction Non ISO,Business Services,Financial Transaction Services,483.14,484.16,473.1101,477.36,219,4.4609879983425005,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA240913C00490000,MA,C,490.0,2024-09-13,209,0,313,2.85,1725896426904000000,99,28215.000000000004,2024-09-09,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,225,4.45048005460606,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA240913C00490000,MA,C,490.0,2024-09-13,209,0,313,3.3,1725899326037000000,96,31679.999999999996,2024-09-09,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,185,4.500785172917456,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA240913C00490000,MA,C,490.0,2024-09-13,209,0,307,1.85,1725889976261000000,200,37000.0,2024-09-09,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,144,4.568201724066995,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,5. p99_trade_value,66150.0,172746.0,O:MA241004C00490000,MA,C,490.0,2024-10-04,209,0,318,7.0,1725889866244000000,125,87500.0,2024-09-09,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,38,4.942008053022313,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA241004C00490000,MA,C,490.0,2024-10-04,209,0,309,7.0,1725889873280000000,59,41300.0,2024-09-09,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,122,4.615950051656401,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA241004C00490000,MA,C,490.0,2024-10-04,227,0,323,6.99,1725889873421000000,86,60114.0,2024-09-09,3000,30,True,Single Leg Auction Non ISO,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,67,4.778975626989249,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA241004C00490000,MA,C,490.0,2024-10-04,209,0,303,7.0,1725889866240000000,60,42000.0,2024-09-09,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,121,4.623249290397901,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,5. p99_trade_value,66150.0,172746.0,O:MA241004C00495000,MA,C,495.0,2024-10-04,209,0,303,5.9,1725891362816000000,200,118000.0,2024-09-09,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,25,5.071882007306125,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA241004C00495000,MA,C,495.0,2024-10-04,209,0,313,5.75,1725890100322000000,80,46000.0,2024-09-09,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,100,4.662757831681574,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA241004C00495000,MA,C,495.0,2024-10-04,209,0,313,5.75,1725890100321000000,80,46000.0,2024-09-09,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,101,4.662757831681574,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA241004C00495000,MA,C,495.0,2024-10-04,209,0,313,5.9,1725891358736000000,49,28910.000000000004,2024-09-09,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,216,4.461048091670658,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA241004C00495000,MA,C,495.0,2024-10-04,209,0,313,5.75,1725890100320000000,79,45425.0,2024-09-09,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,104,4.6572949359800715,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA241004C00495000,MA,C,495.0,2024-10-04,209,0,313,5.75,1725890100320000000,80,46000.0,2024-09-09,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,102,4.662757831681574,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA241004C00495000,MA,C,495.0,2024-10-04,209,0,313,5.75,1725890100322000000,79,45425.0,2024-09-09,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,103,4.6572949359800715,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA241004C00495000,MA,C,495.0,2024-10-04,209,0,313,5.9,1725891358736000000,48,28320.000000000004,2024-09-09,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,224,4.452093249017731,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA241004C00495000,MA,C,495.0,2024-10-04,209,0,313,5.9,1725891358736000000,49,28910.000000000004,2024-09-09,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,218,4.461048091670658,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,5. p99_trade_value,66150.0,172746.0,O:MA241004C00495000,MA,C,495.0,2024-10-04,209,0,303,6.1,1725891554306000000,199,121389.99999999999,2024-09-09,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,23,5.0841829114204735,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,5. p99_trade_value,66150.0,172746.0,O:MA241004C00495000,MA,C,495.0,2024-10-04,209,0,313,5.9,1725891383434000000,198,116820.0,2024-09-09,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,26,5.067517201903676,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,5. p99_trade_value,66150.0,172746.0,O:MA241004C00495000,MA,C,495.0,2024-10-04,209,0,303,6.1,1725891589785000000,200,122000.0,2024-09-09,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,22,5.086359830674748,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,5. p99_trade_value,66150.0,172746.0,O:MA241004C00495000,MA,C,495.0,2024-10-04,209,0,313,6.1,1725891589784000000,200,122000.0,2024-09-09,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,21,5.086359830674748,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,5. p99_trade_value,66150.0,172746.0,O:MA241004C00495000,MA,C,495.0,2024-10-04,209,0,303,6.9,1725896401416000000,200,138000.0,2024-09-09,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,15,5.139879086401237,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA241004C00495000,MA,C,495.0,2024-10-04,209,0,313,5.9,1725891358736000000,49,28910.000000000004,2024-09-09,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,217,4.461048091670658,20,1,1,1,1,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA241004C00500000,MA,C,500.0,2024-10-04,209,0,313,3.6,1725889918665000000,148,53280.00000000001,2024-09-09,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,79,4.726564216162244,20,1,1,0,0,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA241004C00500000,MA,C,500.0,2024-10-04,209,0,318,3.6,1725889919371000000,120,43200.0,2024-09-09,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,116,4.635483746814912,20,1,1,0,0,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,5. p99_trade_value,66150.0,172746.0,O:MA241004C00500000,MA,C,500.0,2024-10-04,209,0,313,3.7,1725889981041000000,350,129500.0,2024-09-09,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,480.5,489.21,479.565,487.09,16,5.112269768417271,20,1,1,0,0,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA240920C00495000,MA,C,495.0,2024-09-20,209,0,313,3.3,1726163691810000000,99,32670.0,2024-09-12,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,486.95,492.88,483.0,492.11,179,4.514149134475438,20,1,1,0,0,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA240920C00495000,MA,C,495.0,2024-09-20,209,0,313,3.7,1726165785759000000,87,32190.000000000004,2024-09-12,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,486.95,492.88,483.0,492.11,183,4.507720976685613,20,1,1,0,0,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA241004C00500000,MA,C,500.0,2024-10-04,209,0,307,5.5,1726165392387000000,43,23650.0,2024-09-12,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,486.95,492.88,483.0,492.11,278,4.37383114507383,20,1,1,0,0,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA241004C00500000,MA,C,500.0,2024-10-04,209,0,313,5.5,1726165392338000000,61,33550.0,2024-09-12,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,486.95,492.88,483.0,492.11,171,4.525692524505011,20,1,1,0,0,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA240920C00500000,MA,C,500.0,2024-09-20,209,0,316,3.25,1726243306432000000,94,30550.0,2024-09-13,3000,30,True,Automatic Execution,Business Services,Financial Transaction Services,493.1,496.85,491.45,493.36,196,4.485011214578573,20,1,1,0,0,0
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA241004C00515000,MA,C,515.0,2024-10-04,233,0,302,2.75,1726585099700000000,100,27500.0,2024-09-17,3000,30,True,Multi Leg Auction,Business Services,Financial Transaction Services,498.6,501.74,497.85,500.99,236,4.439332693830263,20,1,0,0,0,1
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA241004C00500000,MA,C,500.0,2024-10-04,227,0,302,4.0,1727105473851000000,84,33600.0,2024-09-23,3000,30,True,Single Leg Auction Non ISO,Business Services,Financial Transaction Services,493.16,497.69,491.3,497.14,170,4.526339277389844,20,1,0,0,0,1
MA,Business Services,Financial Transaction Services,40__3,40,3.0,6. p95_trade_value,23190.0,64365.0,O:MA241004C00500000,MA,C,500.0,2024-10-04,227,0,302,4.0,1727105473851000000,120,48000.0,2024-09-23,3000,30,True,Single Leg Auction Non ISO,Business Services,Financial Transaction Services,493.16,497.69,491.3,497.14,93,4.681241237375588,20,1,0,0,0,1
