security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
SERV,Computer and Technology,Computers - IT Services,30__2,30,2.0,8. p75_trade_value,7740.000000000001,12240.0,O:SERV240920C00011000,SERV,C,11.0,2024-09-20,209,0,316,0.45,1724784128157000000,180,8100.0,2024-08-27,3000,30,True,Automatic Execution,Computer and Technology,Computers - IT Services,9.4,9.69,9.25,9.47,275,3.90848501887865,20,5,0,0,0,1
SERV,Computer and Technology,Computers - IT Services,30__2,30,2.0,7. p90_trade_value,12280.000000000002,17300.0,O:SERV240920C00011000,SERV,C,11.0,2024-09-20,209,0,323,0.45,1724784128157000000,287,12915.0,2024-08-27,3000,30,True,Automatic Execution,Computer and Technology,Computers - IT Services,9.4,9.69,9.25,9.47,103,4.111094410509336,20,2,0,0,0,1
SERV,Computer and Technology,Computers - IT Services,30__2,30,2.0,7. p90_trade_value,12280.000000000002,17300.0,O:SERV240920C00011000,SERV,C,11.0,2024-09-20,209,0,313,0.45,1724784128284000000,276,12420.0,2024-08-27,3000,30,True,Automatic Execution,Computer and Technology,Computers - IT Services,9.4,9.69,9.25,9.47,114,4.094121595840561,20,2,0,0,0,1
SERV,Computer and Technology,Computers - IT Services,30__2,30,2.0,5. p99_trade_value,37000.0,78000.0,O:SERV240920C00011000,SERV,C,11.0,2024-09-20,209,0,323,0.45,1724788399045000000,983,44235.0,2024-08-27,3000,30,True,Automatic Execution,Computer and Technology,Computers - IT Services,9.4,9.69,9.25,9.47,7,4.645766031607479,20,1,0,0,0,1
SERV,Computer and Technology,Computers - IT Services,30__2,30,2.0,8. p75_trade_value,7740.000000000001,12240.0,O:SERV240920C00014000,SERV,C,14.0,2024-09-20,209,0,316,0.2,1724786528066000000,387,7740.000000000001,2024-08-27,3000,30,True,Automatic Execution,Computer and Technology,Computers - IT Services,9.4,9.69,9.25,9.47,297,3.8887409606828927,20,5,0,0,0,1
SERV,Computer and Technology,Computers - IT Services,30__2,30,2.0,6. p95_trade_value,17500.0,34125.0,O:SERV240920C00009000,SERV,C,9.0,2024-09-20,240,0,302,0.55,1726257570627000000,400,22000.000000000004,2024-09-13,3000,30,True,Stock Options auto-electronic trade,Computer and Technology,Computers - IT Services,7.34,8.93,7.13,8.67,42,4.342422680822207,20,1,0,0,0,1
SERV,Computer and Technology,Computers - IT Services,30__2,30,2.0,8. p75_trade_value,7740.000000000001,12240.0,O:SERV240920C00010000,SERV,C,10.0,2024-09-20,209,0,303,0.25,1726257258694000000,437,10925.0,2024-09-13,3000,30,True,Automatic Execution,Computer and Technology,Computers - IT Services,7.34,8.93,7.13,8.67,155,4.038421445642459,20,3,0,0,0,1
SERV,Computer and Technology,Computers - IT Services,30__2,30,2.0,8. p75_trade_value,7740.000000000001,12240.0,O:SERV240920C00010000,SERV,C,10.0,2024-09-20,209,0,303,0.25,1726256949919000000,350,8750.0,2024-09-13,3000,30,True,Automatic Execution,Computer and Technology,Computers - IT Services,7.34,8.93,7.13,8.67,247,3.942008053022313,20,5,0,0,0,1
SERV,Computer and Technology,Computers - IT Services,30__2,30,2.0,7. p90_trade_value,12280.000000000002,17300.0,O:SERV240920C00009000,SERV,C,9.0,2024-09-20,209,0,320,0.25,1726580436515000000,562,14050.0,2024-09-17,3000,30,True,Automatic Execution,Computer and Technology,Computers - IT Services,8.01,8.4633,7.15,7.23,93,4.1476763242410986,20,2,0,0,0,1
SERV,Computer and Technology,Computers - IT Services,30__2,30,2.0,4. p999_trade_value,95000.0,95000.0,O:SERV241018C00008000,SERV,C,8.0,2024-10-18,234,0,300,0.95,1726689549498000000,1000,95000.0,2024-09-18,3000,30,True,Multi Leg Cross,Computer and Technology,Computers - IT Services,7.28,7.7,6.9,7.48,2,4.977723605288848,20,1,1,1,1,0
