security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
NOW,Computer and Technology,Computers - IT Services,45__1,45,1.0,1. p999999_trade_value,1420000.0,1420000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
NOW,Computer and Technology,Computers - IT Services,45__1,45,1.0,3. p9999_trade_value,748650.0,700000.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
NOW,Computer and Technology,Computers - IT Services,45__1,45,1.0,4. p999_trade_value,563200.0,237620.00000000003,11.0,26.0,0.4230769230769231,0.55,2. BELOW BASELINE,12.0,29.0,0.41379310344827586
NOW,Computer and Technology,Computers - IT Services,45__1,45,1.0,5. p99_trade_value,237600.0,70280.0,141.0,252.0,0.5595238095238095,0.55,2. BELOW BASELINE,153.0,281.0,0.5444839857651246
NOW,Computer and Technology,Computers - IT Services,45__1,45,1.0,6. p95_trade_value,70150.0,27400.0,661.0,1123.0,0.5886019590382903,0.55,2. BELOW BASELINE,814.0,1404.0,0.5797720797720798
NOW,Computer and Technology,Computers - IT Services,45__1,45,1.0,7. p90_trade_value,27383.999999999996,17480.0,776.0,1402.0,0.5534950071326676,0.55,2. BELOW BASELINE,1590.0,2806.0,0.5666429080541696
NOW,Computer and Technology,Computers - IT Services,45__1,45,1.0,8. p75_trade_value,17460.0,9040.0,2117.0,4209.0,0.5029698265621287,0.55,2. BELOW BASELINE,3707.0,7015.0,0.5284390591589451
VRT,Computer and Technology,Computers - IT Services,45__0,45,0.0,1. p999999_trade_value,1980000.0,1980000.0,0.0,2.0,0.0,0.55,1. ABOVE BASELINE,0.0,2.0,0.0
VRT,Computer and Technology,Computers - IT Services,45__0,45,0.0,3. p9999_trade_value,1767000.0,1767000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,3.0,0.3333333333333333
VRT,Computer and Technology,Computers - IT Services,45__0,45,0.0,4. p999_trade_value,1029000.0,465120.0,11.0,18.0,0.6111111111111112,0.55,1. ABOVE BASELINE,12.0,21.0,0.5714285714285714
VRT,Computer and Technology,Computers - IT Services,45__0,45,0.0,5. p99_trade_value,429460.00000000006,94400.0,119.0,188.0,0.6329787234042553,0.55,1. ABOVE BASELINE,131.0,209.0,0.6267942583732058
VRT,Computer and Technology,Computers - IT Services,45__0,45,0.0,6. p95_trade_value,94041.00000000001,29050.0,501.0,835.0,0.6,0.55,1. ABOVE BASELINE,632.0,1044.0,0.6053639846743295
VRT,Computer and Technology,Computers - IT Services,45__0,45,0.0,7. p90_trade_value,29007.0,17940.0,637.0,1044.0,0.6101532567049809,0.55,1. ABOVE BASELINE,1269.0,2088.0,0.6077586206896551
VRT,Computer and Technology,Computers - IT Services,45__0,45,0.0,8. p75_trade_value,17934.0,9100.0,1830.0,3137.0,0.5833598979917118,0.55,1. ABOVE BASELINE,3099.0,5225.0,0.5931100478468899
