security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ACI,Consumer Staples,Consumer Products - Staples,25__0,25,0.0,1. p999999_trade_value,310000.0,310000.0,0.0,2.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
ACI,Consumer Staples,Consumer Products - Staples,25__0,25,0.0,5. p99_trade_value,170000.0,100000.0,1.0,4.0,0.25,0.55,2. BELOW BASELINE,1.0,6.0,0.16666666666666666
ACI,Consumer Staples,Consumer Products - Staples,25__0,25,0.0,6. p95_trade_value,90000.0,40000.0,5.0,15.0,0.3333333333333333,0.55,2. BELOW BASELINE,6.0,21.0,0.2857142857142857
ACI,Consumer Staples,Consumer Products - Staples,25__0,25,0.0,7. p90_trade_value,37740.0,20000.0,9.0,20.0,0.45,0.55,2. BELOW BASELINE,15.0,41.0,0.36585365853658536
ACI,Consumer Staples,Consumer Products - Staples,25__0,25,0.0,8. p75_trade_value,19195.0,8500.0,28.0,62.0,0.45161290322580644,0.55,2. BELOW BASELINE,43.0,103.0,0.4174757281553398
CHD,Consumer Staples,Consumer Products - Staples,25__0,25,0.0,1. p999999_trade_value,265600.0,265600.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
CHD,Consumer Staples,Consumer Products - Staples,25__0,25,0.0,5. p99_trade_value,210704.99999999997,210704.99999999997,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
CHD,Consumer Staples,Consumer Products - Staples,25__0,25,0.0,6. p95_trade_value,154000.0,35200.0,1.0,8.0,0.125,0.55,2. BELOW BASELINE,2.0,10.0,0.2
CHD,Consumer Staples,Consumer Products - Staples,25__0,25,0.0,7. p90_trade_value,32000.0,20000.0,5.0,9.0,0.5555555555555556,0.55,2. BELOW BASELINE,7.0,19.0,0.3684210526315789
CHD,Consumer Staples,Consumer Products - Staples,25__0,25,0.0,8. p75_trade_value,19150.0,7600.0,16.0,27.0,0.5925925925925926,0.55,2. BELOW BASELINE,23.0,46.0,0.5
KMB,Consumer Staples,Consumer Products - Staples,25__2,25,2.0,1. p999999_trade_value,208270.00000000003,208270.00000000003,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
KMB,Consumer Staples,Consumer Products - Staples,25__2,25,2.0,5. p99_trade_value,195000.0,193500.0,3.0,3.0,1.0,0.55,2. BELOW BASELINE,3.0,4.0,0.75
KMB,Consumer Staples,Consumer Products - Staples,25__2,25,2.0,6. p95_trade_value,193285.0,63000.0,8.0,10.0,0.8,0.55,2. BELOW BASELINE,11.0,14.0,0.7857142857142857
KMB,Consumer Staples,Consumer Products - Staples,25__2,25,2.0,7. p90_trade_value,62000.0,20824.0,13.0,14.0,0.9285714285714286,0.55,2. BELOW BASELINE,24.0,28.0,0.8571428571428571
KMB,Consumer Staples,Consumer Products - Staples,25__2,25,2.0,8. p75_trade_value,20550.0,9040.0,21.0,42.0,0.5,0.55,2. BELOW BASELINE,45.0,70.0,0.6428571428571429
KVUE,Consumer Staples,Consumer Products - Staples,25__2,25,2.0,1. p999999_trade_value,279378.0,279378.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
KVUE,Consumer Staples,Consumer Products - Staples,25__2,25,2.0,5. p99_trade_value,245000.0,225000.0,1.0,4.0,0.25,0.55,2. BELOW BASELINE,2.0,5.0,0.4
KVUE,Consumer Staples,Consumer Products - Staples,25__2,25,2.0,6. p95_trade_value,206250.0,48000.0,6.0,20.0,0.3,0.55,2. BELOW BASELINE,8.0,25.0,0.32
KVUE,Consumer Staples,Consumer Products - Staples,25__2,25,2.0,7. p90_trade_value,47500.0,22984.0,11.0,24.0,0.4583333333333333,0.55,2. BELOW BASELINE,19.0,49.0,0.3877551020408163
KVUE,Consumer Staples,Consumer Products - Staples,25__2,25,2.0,8. p75_trade_value,21952.0,10395.0,42.0,73.0,0.5753424657534246,0.55,2. BELOW BASELINE,61.0,122.0,0.5
OLLI,Consumer Staples,Consumer Products - Staples,25__0,25,0.0,1. p999999_trade_value,683365.0,683365.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
OLLI,Consumer Staples,Consumer Products - Staples,25__0,25,0.0,5. p99_trade_value,342090.0,180071.99999999997,3.0,5.0,0.6,0.55,1. ABOVE BASELINE,4.0,6.0,0.6666666666666666
OLLI,Consumer Staples,Consumer Products - Staples,25__0,25,0.0,6. p95_trade_value,180000.0,38880.0,10.0,22.0,0.45454545454545453,0.55,2. BELOW BASELINE,14.0,28.0,0.5
OLLI,Consumer Staples,Consumer Products - Staples,25__0,25,0.0,7. p90_trade_value,38640.0,15402.000000000002,17.0,23.0,0.7391304347826086,0.55,2. BELOW BASELINE,31.0,51.0,0.6078431372549019
OLLI,Consumer Staples,Consumer Products - Staples,25__0,25,0.0,8. p75_trade_value,15360.0,7840.000000000001,42.0,76.0,0.5526315789473685,0.55,2. BELOW BASELINE,73.0,127.0,0.5748031496062992
