security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
WFC,Finance,Financial - Investment Bank,40__4,40,4.0,7. p90_trade_value,15500.0,24480.0,O:WFC240830C00059000,WFC,C,59.0,2024-08-30,229,0,300,0.04,1724766140718000000,4000,16000.0,2024-08-27,3000,30,True,Single Leg Cross Non ISO,Finance,Financial - Investment Bank,56.71,56.92,56.155,56.26,770,4.204119982655925,20,2,0,0,0,1
WFC,Finance,Financial - Investment Bank,40__4,40,4.0,8. p75_trade_value,8300.0,15497.999999999998,O:WFC240830C00058000,WFC,C,58.0,2024-08-30,209,0,307,0.11,1724871557866000000,1225,13475.0,2024-08-28,3000,30,True,Automatic Execution,Finance,Financial - Investment Bank,56.06,57.36,56.03,57.07,967,4.129528773858777,20,3,1,1,1,0
WFC,Finance,Financial - Investment Bank,40__4,40,4.0,8. p75_trade_value,8300.0,15497.999999999998,O:WFC240920C00057500,WFC,C,57.5,2024-09-20,219,0,320,1.06,1724854459522000000,128,13568.0,2024-08-28,3000,30,True,Intermarket Sweep Order,Finance,Financial - Investment Bank,56.06,57.36,56.03,57.07,957,4.132515834912638,20,3,1,0,0,0
WFC,Finance,Financial - Investment Bank,40__4,40,4.0,6. p95_trade_value,24600.0,87465.0,O:WFC240906C00058000,WFC,C,58.0,2024-09-06,209,0,320,0.47,1724947165824000000,595,27964.999999999996,2024-08-29,3000,30,True,Automatic Execution,Finance,Financial - Investment Bank,57.31,57.77,56.51,57.35,345,4.446614823664267,20,1,1,0,0,0
WFC,Finance,Financial - Investment Bank,40__4,40,4.0,8. p75_trade_value,8300.0,15497.999999999998,O:WFC240906C00058000,WFC,C,58.0,2024-09-06,219,0,315,0.46,1724947165963000000,225,10350.0,2024-08-29,3000,30,True,Intermarket Sweep Order,Finance,Financial - Investment Bank,57.31,57.77,56.51,57.35,1474,4.014940349792936,20,4,1,0,0,0
WFC,Finance,Financial - Investment Bank,40__4,40,4.0,7. p90_trade_value,15500.0,24480.0,O:WFC240906P00056000,WFC,P,56.0,2024-09-06,219,0,316,0.22,1724947152324000000,740,16280.000000000002,2024-08-29,3000,30,True,Intermarket Sweep Order,Finance,Financial - Investment Bank,57.31,57.77,56.51,57.35,735,4.211654400553183,20,2,1,1,1,0
WFC,Finance,Financial - Investment Bank,40__4,40,4.0,8. p75_trade_value,8300.0,15497.999999999998,O:WFC240913C00059000,WFC,C,59.0,2024-09-13,209,0,313,0.5,1724952414264000000,200,10000.0,2024-08-29,3000,30,True,Automatic Execution,Finance,Financial - Investment Bank,57.31,57.77,56.51,57.35,1552,4.0,20,4,1,0,0,0
WFC,Finance,Financial - Investment Bank,40__4,40,4.0,8. p75_trade_value,8300.0,15497.999999999998,O:WFC240920C00060000,WFC,C,60.0,2024-09-20,227,0,309,0.44,1724954006707000000,225,9900.0,2024-08-29,3000,30,True,Single Leg Auction Non ISO,Finance,Financial - Investment Bank,57.31,57.77,56.51,57.35,1575,3.99563519459755,20,4,0,0,0,1
WFC,Finance,Financial - Investment Bank,40__4,40,4.0,8. p75_trade_value,8300.0,15497.999999999998,O:WFC240906C00059000,WFC,C,59.0,2024-09-06,219,0,307,0.23,1725027356630000000,401,9223.0,2024-08-30,3000,30,True,Intermarket Sweep Order,Finance,Financial - Investment Bank,57.45,58.58,57.38,58.47,1741,3.9648722086377752,20,5,1,0,0,0
WFC,Finance,Financial - Investment Bank,40__4,40,4.0,8. p75_trade_value,8300.0,15497.999999999998,O:WFC240906P00057000,WFC,P,57.0,2024-09-06,219,0,315,0.34,1725027370677000000,252,8568.0,2024-08-30,3000,30,True,Intermarket Sweep Order,Finance,Financial - Investment Bank,57.45,58.58,57.38,58.47,1935,3.932879457823799,20,5,1,1,1,0
