security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
ARR,Finance,REIT and Equity Trust,15__0,15,0.0,1. p999999_trade_value,29939.999999999996,29939.999999999996,O:ARR250221C00019000,ARR,C,19.0,2025-02-21,231,0,323,0.15,1739207265790000000,1996,29939.999999999996,2025-02-10,3000,30,True,Single Leg Floor Trade,Finance,REIT and Equity Trust,18.85,18.935,18.82,18.9,1,4.476251796007033,20,1,1,1,0,0
ARR,Finance,REIT and Equity Trust,15__0,15,0.0,7. p90_trade_value,16379.999999999998,18148.0,O:ARR250516C00015000,ARR,C,15.0,2025-05-16,227,0,309,0.26,1745253188377000000,698,18148.0,2025-04-21,3000,30,True,Single Leg Auction Non ISO,Finance,REIT and Equity Trust,14.15,14.16,13.7,14.08,3,4.258828770593979,20,2,1,1,1,0
ARR,Finance,REIT and Equity Trust,15__0,15,0.0,7. p90_trade_value,16379.999999999998,18148.0,O:ARR250516C00017000,ARR,C,17.0,2025-05-16,209,0,323,0.3,1745954530472000000,546,16379.999999999998,2025-04-29,3000,30,True,Automatic Execution,Finance,REIT and Equity Trust,16.46,16.81,16.26,16.65,4,4.214313897424399,20,2,1,0,0,0
ARR,Finance,REIT and Equity Trust,15__0,15,0.0,6. p95_trade_value,25000.0,25000.0,O:ARR250516C00017000,ARR,C,17.0,2025-05-16,209,0,308,0.25,1745954121408000000,1000,25000.0,2025-04-29,3000,30,True,Automatic Execution,Finance,REIT and Equity Trust,16.46,16.81,16.26,16.65,2,4.3979400086720375,20,1,1,0,0,0
LINE,Finance,REIT and Equity Trust - Other,15__0,15,0.0,7. p90_trade_value,9880.0,9880.0,O:LINE241115P00075000,LINE,P,75.0,2024-11-15,209,0,323,1.9,1730145555769000000,52,9880.0,2024-10-28,3000,30,True,Automatic Execution,Finance,REIT and Equity Trust - Other,76.73,76.945,76.04,76.23,3,3.9947569445876283,20,2,1,1,1,0
LINE,Finance,REIT and Equity Trust - Other,15__0,15,0.0,6. p95_trade_value,19380.0,19380.0,O:LINE241115P00075000,LINE,P,75.0,2024-11-15,219,0,316,1.9,1730145560234000000,102,19380.0,2024-10-28,3000,30,True,Intermarket Sweep Order,Finance,REIT and Equity Trust - Other,76.73,76.945,76.04,76.23,2,4.287353772714747,20,1,1,1,1,0
LINE,Finance,REIT and Equity Trust - Other,15__0,15,0.0,8. p75_trade_value,6500.0,8690.0,O:LINE241115P00075000,LINE,P,75.0,2024-11-15,209,0,323,1.9,1730143857007000000,37,7030.0,2024-10-28,3000,30,True,Automatic Execution,Finance,REIT and Equity Trust - Other,76.73,76.945,76.04,76.23,6,3.846955325019824,20,3,1,1,1,0
LINE,Finance,REIT and Equity Trust - Other,15__0,15,0.0,8. p75_trade_value,6500.0,8690.0,O:LINE241115P00075000,LINE,P,75.0,2024-11-15,209,0,323,1.9,1730145539256000000,40,7600.0,2024-10-28,3000,30,True,Automatic Execution,Finance,REIT and Equity Trust - Other,76.73,76.945,76.04,76.23,5,3.8808135922807914,20,3,1,1,1,0
LINE,Finance,REIT and Equity Trust - Other,15__0,15,0.0,8. p75_trade_value,6500.0,8690.0,O:LINE241115P00070000,LINE,P,70.0,2024-11-15,209,0,323,1.1,1730490840075000000,79,8690.0,2024-11-01,3000,30,True,Automatic Execution,Finance,REIT and Equity Trust - Other,74.38,74.84,72.03,72.27,4,3.9390197764486663,20,2,1,1,1,0
LINE,Finance,REIT and Equity Trust - Other,15__0,15,0.0,8. p75_trade_value,6500.0,8690.0,O:LINE241220C00065000,LINE,C,65.0,2024-12-20,209,0,308,0.5,1733928249667000000,130,6500.0,2024-12-11,3000,30,True,Automatic Execution,Finance,REIT and Equity Trust - Other,62.26,63.34,62.185,62.8,8,3.8129133566428557,20,4,0,0,0,1
