security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
AR,Oils-Energy,Oil and Gas - Exploration and Production - United States,25__0,25,0.0,1. p999999_trade_value,187380.0,187380.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
AR,Oils-Energy,Oil and Gas - Exploration and Production - United States,25__0,25,0.0,5. p99_trade_value,170000.0,95000.0,3.0,5.0,0.6,0.55,2. BELOW BASELINE,3.0,6.0,0.5
AR,Oils-Energy,Oil and Gas - Exploration and Production - United States,25__0,25,0.0,6. p95_trade_value,78360.0,22920.0,5.0,20.0,0.25,0.55,2. BELOW BASELINE,8.0,26.0,0.3076923076923077
AR,Oils-Energy,Oil and Gas - Exploration and Production - United States,25__0,25,0.0,7. p90_trade_value,21384.0,14839.999999999998,12.0,25.0,0.48,0.55,2. BELOW BASELINE,20.0,51.0,0.39215686274509803
AR,Oils-Energy,Oil and Gas - Exploration and Production - United States,25__0,25,0.0,8. p75_trade_value,14300.0,9000.0,39.0,76.0,0.5131578947368421,0.55,2. BELOW BASELINE,59.0,127.0,0.4645669291338583
BKR,Oils-Energy,Oil and Gas - Field Services,25__0,25,0.0,1. p999999_trade_value,148240.0,148240.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
BKR,Oils-Energy,Oil and Gas - Field Services,25__0,25,0.0,5. p99_trade_value,119000.0,84000.0,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,3.0,3.0,1.0
BKR,Oils-Energy,Oil and Gas - Field Services,25__0,25,0.0,6. p95_trade_value,61600.0,28275.0,3.0,11.0,0.2727272727272727,0.55,2. BELOW BASELINE,6.0,14.0,0.42857142857142855
BKR,Oils-Energy,Oil and Gas - Field Services,25__0,25,0.0,7. p90_trade_value,27200.0,14700.0,4.0,12.0,0.3333333333333333,0.55,2. BELOW BASELINE,10.0,26.0,0.38461538461538464
BKR,Oils-Energy,Oil and Gas - Field Services,25__0,25,0.0,8. p75_trade_value,14144.999999999998,8500.0,17.0,40.0,0.425,0.55,2. BELOW BASELINE,27.0,66.0,0.4090909090909091
EPD,Oils-Energy,Oil and Gas - Production Pipeline - MLB,25__0,25,0.0,1. p999999_trade_value,52200.0,52200.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
EPD,Oils-Energy,Oil and Gas - Production Pipeline - MLB,25__0,25,0.0,5. p99_trade_value,41250.00000000001,30969.0,1.0,3.0,0.3333333333333333,0.55,2. BELOW BASELINE,2.0,4.0,0.5
EPD,Oils-Energy,Oil and Gas - Production Pipeline - MLB,25__0,25,0.0,6. p95_trade_value,30000.0,17500.000000000004,8.0,13.0,0.6153846153846154,0.55,2. BELOW BASELINE,10.0,17.0,0.5882352941176471
EPD,Oils-Energy,Oil and Gas - Production Pipeline - MLB,25__0,25,0.0,7. p90_trade_value,16687.0,12221.0,8.0,17.0,0.47058823529411764,0.55,2. BELOW BASELINE,18.0,34.0,0.5294117647058824
EPD,Oils-Energy,Oil and Gas - Production Pipeline - MLB,25__0,25,0.0,8. p75_trade_value,12060.0,7500.0,23.0,50.0,0.46,0.55,2. BELOW BASELINE,41.0,84.0,0.4880952380952381
GLNG,Oils-Energy,Oil and Gas - Integrated - International,25__0,25,0.0,1. p999999_trade_value,316160.00000000006,316160.00000000006,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
GLNG,Oils-Energy,Oil and Gas - Integrated - International,25__0,25,0.0,5. p99_trade_value,283340.0,95000.0,2.0,4.0,0.5,0.55,2. BELOW BASELINE,2.0,5.0,0.4
GLNG,Oils-Energy,Oil and Gas - Integrated - International,25__0,25,0.0,6. p95_trade_value,90000.0,24360.0,8.0,20.0,0.4,0.55,2. BELOW BASELINE,10.0,25.0,0.4
GLNG,Oils-Energy,Oil and Gas - Integrated - International,25__0,25,0.0,7. p90_trade_value,24300.0,15360.0,13.0,25.0,0.52,0.55,2. BELOW BASELINE,23.0,50.0,0.46
GLNG,Oils-Energy,Oil and Gas - Integrated - International,25__0,25,0.0,8. p75_trade_value,15335.999999999998,8240.0,33.0,75.0,0.44,0.55,2. BELOW BASELINE,56.0,125.0,0.448
HES,Oils-Energy,Oil and Gas - Integrated - United States,25__2,25,2.0,1. p999999_trade_value,490000.0,490000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
HES,Oils-Energy,Oil and Gas - Integrated - United States,25__2,25,2.0,5. p99_trade_value,280000.0,234700.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
HES,Oils-Energy,Oil and Gas - Integrated - United States,25__2,25,2.0,6. p95_trade_value,230340.0,54502.0,4.0,11.0,0.36363636363636365,0.55,2. BELOW BASELINE,5.0,14.0,0.35714285714285715
HES,Oils-Energy,Oil and Gas - Integrated - United States,25__2,25,2.0,7. p90_trade_value,53750.0,31600.0,12.0,14.0,0.8571428571428571,0.55,2. BELOW BASELINE,17.0,28.0,0.6071428571428571
HES,Oils-Energy,Oil and Gas - Integrated - United States,25__2,25,2.0,8. p75_trade_value,30000.0,12500.0,13.0,41.0,0.3170731707317073,0.55,2. BELOW BASELINE,30.0,69.0,0.43478260869565216
MTDR,Oils-Energy,Oil and Gas - Exploration and Production - United States,25__0,25,0.0,1. p999999_trade_value,90000.0,90000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
MTDR,Oils-Energy,Oil and Gas - Exploration and Production - United States,25__0,25,0.0,5. p99_trade_value,55000.0,42330.0,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,3.0,3.0,1.0
MTDR,Oils-Energy,Oil and Gas - Exploration and Production - United States,25__0,25,0.0,6. p95_trade_value,34929.99999999999,18450.0,4.0,8.0,0.5,0.55,2. BELOW BASELINE,7.0,11.0,0.6363636363636364
MTDR,Oils-Energy,Oil and Gas - Exploration and Production - United States,25__0,25,0.0,7. p90_trade_value,18100.0,15000.0,9.0,11.0,0.8181818181818182,0.55,2. BELOW BASELINE,16.0,22.0,0.7272727272727273
MTDR,Oils-Energy,Oil and Gas - Exploration and Production - United States,25__0,25,0.0,8. p75_trade_value,14935.0,9500.0,16.0,28.0,0.5714285714285714,0.55,2. BELOW BASELINE,32.0,50.0,0.64
NBR,Oils-Energy,Oil and Gas - Drilling,25__0,25,0.0,1. p999999_trade_value,201600.0,201600.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
NBR,Oils-Energy,Oil and Gas - Drilling,25__0,25,0.0,5. p99_trade_value,166624.0,152457.0,1.0,3.0,0.3333333333333333,0.55,2. BELOW BASELINE,2.0,4.0,0.5
NBR,Oils-Energy,Oil and Gas - Drilling,25__0,25,0.0,6. p95_trade_value,126350.0,42000.0,8.0,17.0,0.47058823529411764,0.55,2. BELOW BASELINE,10.0,21.0,0.47619047619047616
NBR,Oils-Energy,Oil and Gas - Drilling,25__0,25,0.0,7. p90_trade_value,41580.0,28350.0,14.0,18.0,0.7777777777777778,0.55,2. BELOW BASELINE,24.0,39.0,0.6153846153846154
NBR,Oils-Energy,Oil and Gas - Drilling,25__0,25,0.0,8. p75_trade_value,28340.000000000004,14000.0,25.0,58.0,0.43103448275862066,0.55,2. BELOW BASELINE,49.0,97.0,0.5051546391752577
OKE,Oils-Energy,Oil and Gas - Production Pipeline - MLB,25__0,25,0.0,1. p999999_trade_value,102500.0,102500.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
OKE,Oils-Energy,Oil and Gas - Production Pipeline - MLB,25__0,25,0.0,5. p99_trade_value,70695.0,38423.0,2.0,4.0,0.5,0.55,2. BELOW BASELINE,3.0,5.0,0.6
OKE,Oils-Energy,Oil and Gas - Production Pipeline - MLB,25__0,25,0.0,6. p95_trade_value,36291.99999999999,19080.0,10.0,19.0,0.5263157894736842,0.55,2. BELOW BASELINE,13.0,24.0,0.5416666666666666
OKE,Oils-Energy,Oil and Gas - Production Pipeline - MLB,25__0,25,0.0,7. p90_trade_value,18915.0,14040.0,10.0,24.0,0.4166666666666667,0.55,2. BELOW BASELINE,23.0,48.0,0.4791666666666667
OKE,Oils-Energy,Oil and Gas - Production Pipeline - MLB,25__0,25,0.0,8. p75_trade_value,14000.0,8750.0,36.0,74.0,0.4864864864864865,0.55,2. BELOW BASELINE,59.0,122.0,0.48360655737704916
OVV,Oils-Energy,Oil and Gas - Exploration and Production - Canadian,25__0,25,0.0,1. p999999_trade_value,66600.0,66600.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
OVV,Oils-Energy,Oil and Gas - Exploration and Production - Canadian,25__0,25,0.0,5. p99_trade_value,54000.0,46979.99999999999,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,3.0,3.0,1.0
OVV,Oils-Energy,Oil and Gas - Exploration and Production - Canadian,25__0,25,0.0,6. p95_trade_value,36127.00000000001,22624.0,5.0,8.0,0.625,0.55,1. ABOVE BASELINE,8.0,11.0,0.7272727272727273
OVV,Oils-Energy,Oil and Gas - Exploration and Production - Canadian,25__0,25,0.0,7. p90_trade_value,22140.0,16250.0,9.0,12.0,0.75,0.55,1. ABOVE BASELINE,17.0,23.0,0.7391304347826086
OVV,Oils-Energy,Oil and Gas - Exploration and Production - Canadian,25__0,25,0.0,8. p75_trade_value,16239.999999999998,8400.0,23.0,31.0,0.7419354838709677,0.55,1. ABOVE BASELINE,40.0,54.0,0.7407407407407407
PSX,Oils-Energy,Oil and Gas - Refining and Marketing,25__0,25,0.0,1. p999999_trade_value,180600.0,180600.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
PSX,Oils-Energy,Oil and Gas - Refining and Marketing,25__0,25,0.0,5. p99_trade_value,80000.0,50599.99999999999,3.0,5.0,0.6,0.55,2. BELOW BASELINE,3.0,6.0,0.5
PSX,Oils-Energy,Oil and Gas - Refining and Marketing,25__0,25,0.0,6. p95_trade_value,44000.00000000001,24000.0,7.0,22.0,0.3181818181818182,0.55,2. BELOW BASELINE,10.0,28.0,0.35714285714285715
PSX,Oils-Energy,Oil and Gas - Refining and Marketing,25__0,25,0.0,7. p90_trade_value,22500.0,15000.0,25.0,30.0,0.8333333333333334,0.55,2. BELOW BASELINE,35.0,58.0,0.603448275862069
