security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
ACVA,Retail-Wholesale,Internet - Commerce,20__0,20,0.0,1. p999999_trade_value,123400.0,123400.0,O:ACVA250221P00020000,ACVA,P,20.0,2025-02-21,229,0,301,1.0,1738786358832000000,1234,123400.0,2025-02-05,3000,30,True,Single Leg Cross Non ISO,Retail-Wholesale,Internet - Commerce,20.95,21.4,20.66,20.84,1,5.091315159697223,20,1,1,1,1,0
BKNG,Retail-Wholesale,Internet - Commerce,45__0,45,0.0,4. p999_trade_value,207200.0,720000.0,O:BKNG241025C04330000,BKNG,C,4330.0,2024-10-25,235,0,301,55.95,1728669156765000000,100,559500.0,2024-10-11,3000,30,True,Multi Leg floor trade,Retail-Wholesale,Internet - Commerce,4300.0,4328.54,4277.86,4284.73,8,5.747800090864369,20,1,1,1,1,0
BKNG,Retail-Wholesale,Internet - Commerce,45__0,45,0.0,1. p999999_trade_value,1060200.0,1060200.0,O:BKNG241101C04480000,BKNG,C,4480.0,2024-11-01,235,0,301,88.35,1730215704598000000,120,1060200.0,2024-10-29,3000,30,True,Multi Leg floor trade,Retail-Wholesale,Internet - Commerce,4332.21,4440.87,4332.21,4427.54,1,6.0253877998904075,20,1,1,1,1,0
BKNG,Retail-Wholesale,Internet - Commerce,45__0,45,0.0,4. p999_trade_value,207200.0,720000.0,O:BKNG241101C04750000,BKNG,C,4750.0,2024-11-01,209,0,308,23.0,1730316695691000000,130,299000.0,2024-10-30,3000,30,True,Automatic Execution,Retail-Wholesale,Internet - Commerce,4385.0,4477.88,4385.0,4463.93,18,5.47567118832443,20,1,1,1,0,0
BKNG,Retail-Wholesale,Internet - Commerce,45__0,45,0.0,4. p999_trade_value,207200.0,720000.0,O:BKNG241220C05350000,BKNG,C,5350.0,2024-12-20,232,0,308,65.1,1732286455083000000,33,214829.99999999997,2024-11-22,3000,30,True,Multi Leg auto-electronic trade,Retail-Wholesale,Internet - Commerce,5202.54,5216.0,5140.84,5177.15,31,5.33209492844608,20,1,0,0,0,1
BKNG,Retail-Wholesale,Internet - Commerce,45__0,45,0.0,4. p999_trade_value,207200.0,720000.0,O:BKNG241220C05350000,BKNG,C,5350.0,2024-12-20,232,0,308,55.75,1732288221653000000,44,245300.0,2024-11-22,3000,30,True,Multi Leg auto-electronic trade,Retail-Wholesale,Internet - Commerce,5202.54,5216.0,5140.84,5177.15,26,5.389697548206386,20,1,0,0,0,1
BKNG,Retail-Wholesale,Internet - Commerce,45__0,45,0.0,4. p999_trade_value,207200.0,720000.0,O:BKNG250117C05400000,BKNG,C,5400.0,2025-01-17,232,0,308,23.05,1734554657748000000,112,258160.0,2024-12-18,3000,30,True,Multi Leg auto-electronic trade,Retail-Wholesale,Internet - Commerce,5154.96,5167.27,4939.85,4943.35,23,5.411888952395849,20,1,0,0,0,1
BKNG,Retail-Wholesale,Internet - Commerce,45__0,45,0.0,4. p999_trade_value,207200.0,720000.0,O:BKNG250117C05150000,BKNG,C,5150.0,2025-01-17,232,0,323,90.72,1734713730548000000,23,208656.0,2024-12-20,3000,30,True,Multi Leg auto-electronic trade,Retail-Wholesale,Internet - Commerce,4955.43,5085.21,4955.43,5048.59,34,5.3194308775664245,20,1,0,0,0,1
BKNG,Retail-Wholesale,Internet - Commerce,45__0,45,0.0,4. p999_trade_value,207200.0,720000.0,O:BKNG250131C04900000,BKNG,C,4900.0,2025-01-31,235,0,301,72.0,1736274278232000000,100,720000.0,2025-01-07,3000,30,True,Multi Leg floor trade,Retail-Wholesale,Internet - Commerce,4881.41,4889.36,4788.0,4796.1,5,5.857332496431268,20,1,1,0,0,0
BKNG,Retail-Wholesale,Internet - Commerce,45__0,45,0.0,4. p999_trade_value,207200.0,720000.0,O:BKNG250221C04800000,BKNG,C,4800.0,2025-02-21,232,0,308,101.6,1737573222242000000,50,508000.0,2025-01-22,3000,30,True,Multi Leg auto-electronic trade,Retail-Wholesale,Internet - Commerce,4681.56,4704.5055,4595.91,4619.21,11,5.705863712283919,20,1,1,1,1,0
