security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
GE,Aerospace,Aerospace - Defense,40__4,40,4.0,1. p999999_trade_value,2568719.9999999995,2568719.9999999995,O:GE240920C00175000,GE,C,175.0,2024-09-20,234,0,300,1.39,1726157913734000000,18480,2568719.9999999995,2024-09-12,3000,30,True,Multi Leg Cross,Aerospace,Aerospace - Defense,166.51,170.9701,166.225,169.7,1,6.409716767138183,20,1,1,1,1,0
GE,Aerospace,Aerospace - Defense,40__4,40,4.0,4. p999_trade_value,820000.0,1653119.9999999998,O:GE241115P00190000,GE,P,190.0,2024-11-15,235,0,301,5.55,1729525274757000000,1994,1106670.0,2024-10-21,3000,30,True,Multi Leg floor trade,Aerospace,Aerospace - Defense,192.91,194.39,192.02,194.23,7,6.0440181370983135,20,1,1,1,1,0
GE,Aerospace,Aerospace - Defense,40__4,40,4.0,4. p999_trade_value,820000.0,1653119.9999999998,O:GE241115C00175000,GE,C,175.0,2024-11-15,229,0,300,2.88,1730390490957000000,3600,1036800.0,2024-10-31,3000,30,True,Single Leg Cross Non ISO,Aerospace,Aerospace - Defense,172.0,173.62,170.43,171.78,8,6.015694988526518,20,1,1,1,1,0
GE,Aerospace,Aerospace - Defense,40__4,40,4.0,4. p999_trade_value,820000.0,1653119.9999999998,O:GE250131P00175000,GE,P,175.0,2025-01-31,229,0,301,3.2,1737129141722000000,3000,960000.0,2025-01-17,3000,30,True,Single Leg Cross Non ISO,Aerospace,Aerospace - Defense,180.78,183.19,179.96,182.85,9,5.982271233039568,20,1,0,0,0,1
GE,Aerospace,Aerospace - Defense,40__4,40,4.0,3. p9999_trade_value,2085000.0,2085000.0,O:GE250516C00182500,GE,C,182.5,2025-05-16,241,0,323,6.95,1745254822602000000,3000,2085000.0,2025-04-21,3000,30,True,Stock Options Cross,Aerospace,Aerospace - Defense,179.29,180.79,176.02,178.35,2,6.319106059309776,20,1,1,1,1,0
GE,Aerospace,Aerospace - Defense,40__4,40,4.0,4. p999_trade_value,820000.0,1653119.9999999998,O:GE250516C00195000,GE,C,195.0,2025-05-16,241,0,323,2.55,1745254822602000000,4500,1147500.0,2025-04-21,3000,30,True,Stock Options Cross,Aerospace,Aerospace - Defense,179.29,180.79,176.02,178.35,6,6.0597526942092985,20,1,1,1,1,0
GE,Aerospace,Aerospace - Defense,40__4,40,4.0,4. p999_trade_value,820000.0,1653119.9999999998,O:GE250620C00240000,GE,C,240.0,2025-06-20,229,0,301,4.1,1748007096478000000,4032,1653119.9999999998,2025-05-23,3000,30,True,Single Leg Cross Non ISO,Aerospace,Aerospace - Defense,228.84,233.6919,228.0063,232.79,3,6.218304380157204,20,1,1,0,0,0
GE,Aerospace,Aerospace - Defense,40__4,40,4.0,4. p999_trade_value,820000.0,1653119.9999999998,O:GE250620C00250000,GE,C,250.0,2025-06-20,241,0,323,4.45,1748375291969000000,3500,1557500.0,2025-05-27,3000,30,True,Stock Options Cross,Aerospace,Aerospace - Defense,235.42,242.28,235.1,241.78,4,6.192428055331208,20,1,1,0,0,0
GE,Aerospace,Aerospace - Defense,40__4,40,4.0,4. p999_trade_value,820000.0,1653119.9999999998,O:GE250620C00255000,GE,C,255.0,2025-06-20,241,0,323,4.1,1748442015260000000,2000,820000.0,2025-05-28,3000,30,True,Stock Options Cross,Aerospace,Aerospace - Defense,241.78,245.999,241.6,243.67,11,5.913813852383717,20,1,1,0,0,0
GE,Aerospace,Aerospace - Defense,40__4,40,4.0,4. p999_trade_value,820000.0,1653119.9999999998,O:GE250620C00250000,GE,C,250.0,2025-06-20,229,0,313,5.3,1748615262714000000,2600,1378000.0,2025-05-30,3000,30,True,Single Leg Cross Non ISO,Aerospace,Aerospace - Defense,243.39,246.86,242.3001,245.91,5,6.139249217571607,20,1,1,0,0,0
GE,Aerospace,Aerospace - Defense,40__4,40,4.0,4. p999_trade_value,820000.0,1653119.9999999998,O:GE250620C00260000,GE,C,260.0,2025-06-20,234,0,313,2.73,1748886192789000000,3140,857220.0000000001,2025-06-02,3000,30,True,Multi Leg Cross,Aerospace,Aerospace - Defense,245.85,248.1,244.51,247.48,10,5.933092295113971,20,1,0,0,0,1
LMT,Aerospace,Aerospace - Defense,40__3,40,3.0,4. p999_trade_value,198000.0,365596.0,O:LMT240920P00565000,LMT,P,565.0,2024-09-20,242,0,323,5.1,1725372049181000000,500,255000.0,2024-09-03,3000,30,True,Stock Options floor trade,Aerospace,Aerospace - Defense,567.33,572.0,565.19,567.22,5,5.4065401804339555,20,1,1,1,0,0
LMT,Aerospace,Aerospace - Defense,40__3,40,3.0,4. p999_trade_value,198000.0,365596.0,O:LMT250321P00410000,LMT,P,410.0,2025-03-21,241,0,323,0.7,1741118089655000000,3000,210000.0,2025-03-04,3000,30,True,Stock Options Cross,Aerospace,Aerospace - Defense,450.78,463.739,448.49,448.82,7,5.3222192947339195,20,1,0,0,0,1
