security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,7. p90_trade_value,20250.0,55500.0,O:CWH240920C00022000,CWH,C,22.0,2024-09-20,209,0,301,0.6,1725989561522000000,469,28139.999999999996,2024-09-10,3000,30,True,Automatic Execution,Auto-Tires-Trucks,Automotive - Original Equipment,21.72,21.73,20.84,21.55,12,4.449324093098727,20,2,1,1,1,0
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,7. p90_trade_value,20250.0,55500.0,O:CWH241018P00023000,CWH,P,23.0,2024-10-18,235,0,301,0.6,1727893517271000000,821,49260.0,2024-10-02,3000,30,True,Multi Leg floor trade,Auto-Tires-Trucks,Automotive - Original Equipment,23.5,24.0696,23.43,23.53,10,4.6924944075030846,20,2,1,0,0,0
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,7. p90_trade_value,20250.0,55500.0,O:CWH241018C00023000,CWH,C,23.0,2024-10-18,227,0,302,0.31,1728568037625000000,681,21111.0,2024-10-10,3000,30,True,Single Leg Auction Non ISO,Auto-Tires-Trucks,Automotive - Original Equipment,22.24,22.545,21.9,22.33,14,4.324508805747058,20,2,1,1,1,0
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,6. p95_trade_value,60000.0,220000.0,O:CWH241115C00022000,CWH,C,22.0,2024-11-15,235,0,323,0.35,1730385951314000000,2000,70000.0,2024-10-31,3000,30,True,Multi Leg floor trade,Auto-Tires-Trucks,Automotive - Original Equipment,20.9,21.22,19.99,20.06,7,4.845098040014257,20,1,1,1,1,0
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,7. p90_trade_value,20250.0,55500.0,O:CWH241115P00023000,CWH,P,23.0,2024-11-15,231,0,301,0.3,1731508814029000000,675,20250.0,2024-11-13,3000,30,True,Single Leg Floor Trade,Auto-Tires-Trucks,Automotive - Original Equipment,23.38,23.72,23.2,23.68,15,4.306425027550687,20,2,0,0,0,1
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,6. p95_trade_value,60000.0,220000.0,O:CWH241220P00022000,CWH,P,22.0,2024-12-20,235,0,313,0.24,1732634704336000000,2500,60000.0,2024-11-26,3000,30,True,Multi Leg floor trade,Auto-Tires-Trucks,Automotive - Original Equipment,24.78,25.17,24.25,24.75,8,4.778151250383644,20,1,1,1,1,0
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,7. p90_trade_value,20250.0,55500.0,O:CWH250117C00022000,CWH,C,22.0,2025-01-17,235,0,300,0.74,1736261170612000000,750,55500.0,2025-01-07,3000,30,True,Multi Leg floor trade,Auto-Tires-Trucks,Automotive - Original Equipment,21.64,21.85,21.1,21.31,9,4.744292983122676,20,2,1,1,1,0
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,7. p90_trade_value,20250.0,55500.0,O:CWH250117C00022000,CWH,C,22.0,2025-01-17,235,0,300,0.54,1736269067469000000,750,40500.0,2025-01-07,3000,30,True,Multi Leg floor trade,Auto-Tires-Trucks,Automotive - Original Equipment,21.64,21.85,21.1,21.31,11,4.607455023214668,20,2,1,1,1,0
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,6. p95_trade_value,60000.0,220000.0,O:CWH250221C00023000,CWH,C,23.0,2025-02-21,234,0,301,1.08,1737568225975000000,1000,108000.0,2025-01-22,3000,30,True,Multi Leg Cross,Auto-Tires-Trucks,Automotive - Original Equipment,22.29,22.31,21.752,21.8,5,5.033423755486949,20,1,1,0,0,0
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,6. p95_trade_value,60000.0,220000.0,O:CWH250321P00018000,CWH,P,18.0,2025-03-21,235,0,301,0.4,1740416949424000000,5500,220000.0,2025-02-24,3000,30,True,Multi Leg floor trade,Auto-Tires-Trucks,Automotive - Original Equipment,20.4,20.88,20.215,20.86,3,5.342422680822207,20,1,1,1,1,0
