security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
BAH,Business Services,Consulting Services,30__2,30,2.0,5. p99_trade_value,134000.0,345420.0,O:BAH241220P00135000,BAH,P,135.0,2024-12-20,227,0,323,3.8,1732114706972000000,909,345420.0,2024-11-20,3000,30,True,Single Leg Auction Non ISO,Business Services,Consulting Services,138.97,144.44,136.995,144.19,2,5.5383474798387775,20,1,1,1,1,0
BAH,Business Services,Consulting Services,30__2,30,2.0,5. p99_trade_value,134000.0,345420.0,O:BAH250221C00130000,BAH,C,130.0,2025-02-21,233,0,323,5.48,1738267332751000000,499,273452.00000000006,2025-01-30,3000,30,True,Multi Leg Auction,Business Services,Consulting Services,127.47,129.34,125.91,128.93,3,5.436881104107759,20,1,1,0,0,0
BAH,Business Services,Consulting Services,30__2,30,2.0,1. p999999_trade_value,475439.99999999994,475439.99999999994,O:BAH250221C00130000,BAH,C,130.0,2025-02-21,233,0,323,5.6,1738268047764000000,849,475439.99999999994,2025-01-30,3000,30,True,Multi Leg Auction,Business Services,Consulting Services,127.47,129.34,125.91,128.93,1,5.677095717250153,20,1,1,0,0,0
BAH,Business Services,Consulting Services,30__2,30,2.0,5. p99_trade_value,134000.0,345420.0,O:BAH250221C00130000,BAH,C,130.0,2025-02-21,235,0,323,5.4,1738266634041000000,500,270000.0,2025-01-30,3000,30,True,Multi Leg floor trade,Business Services,Consulting Services,127.47,129.34,125.91,128.93,4,5.431363764158987,20,1,1,0,0,0
BAH,Business Services,Consulting Services,30__2,30,2.0,5. p99_trade_value,134000.0,345420.0,O:BAH250321P00105000,BAH,P,105.0,2025-03-21,231,0,323,0.2,1742412727364000000,6700,134000.0,2025-03-19,3000,30,True,Single Leg Floor Trade,Business Services,Consulting Services,116.3,118.43,112.0,112.71,7,5.127104798364807,20,1,1,1,1,0
BAH,Business Services,Consulting Services,30__2,30,2.0,5. p99_trade_value,134000.0,345420.0,O:BAH250321P00105000,BAH,P,105.0,2025-03-21,231,0,323,0.2,1742414184920000000,6700,134000.0,2025-03-19,3000,30,True,Single Leg Floor Trade,Business Services,Consulting Services,116.3,118.43,112.0,112.71,8,5.127104798364807,20,1,1,1,1,0
BAH,Business Services,Consulting Services,30__2,30,2.0,5. p99_trade_value,134000.0,345420.0,O:BAH250417P00085000,BAH,P,85.0,2025-04-17,227,0,304,0.56,1742824222579000000,3574,200144.00000000003,2025-03-24,3000,30,True,Single Leg Auction Non ISO,Business Services,Consulting Services,104.0,105.6,101.54,105.17,6,5.301342575175826,20,1,0,0,0,1
BAH,Business Services,Consulting Services,30__2,30,2.0,5. p99_trade_value,134000.0,345420.0,O:BAH250620P00125000,BAH,P,125.0,2025-06-20,235,0,313,4.58,1747845759560000000,500,229000.0,2025-05-21,3000,30,True,Multi Leg floor trade,Business Services,Consulting Services,128.53,129.5,127.83,128.42,5,5.359835482339888,20,1,1,0,0,0
HURN,Business Services,Consulting Services,15__0,15,0.0,8. p75_trade_value,12980.000000000002,22800.0,O:HURN241018P00100000,HURN,P,100.0,2024-10-18,231,0,301,0.5,1727982431786000000,260,13000.0,2024-10-03,3000,30,True,Single Leg Floor Trade,Business Services,Consulting Services,105.8,106.245,104.73,105.01,8,4.113943352306837,20,4,0,0,0,1
HURN,Business Services,Consulting Services,15__0,15,0.0,7. p90_trade_value,27500.0,34200.0,O:HURN241115C00115000,HURN,C,115.0,2024-11-15,231,0,301,1.1,1729797233759000000,250,27500.0,2024-10-24,3000,30,True,Single Leg Floor Trade,Business Services,Consulting Services,107.0,107.0,104.03,104.11,4,4.439332693830263,20,2,1,1,1,0
