security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
ASGN,Computer and Technology,Computers - IT Services,10__0,10,0.0,1. p999999_trade_value,30000.0,30000.0,O:ASGN241115C00095000,ASGN,C,95.0,2024-11-15,209,0,320,1.0,1730470403451000000,300,30000.0,2024-11-01,3000,30,True,Automatic Execution,Computer and Technology,Computers - IT Services,92.68,92.86,90.69,91.06,1,4.477121254719663,20,1,1,0,0,0
CRNC,Computer and Technology,Computers - IT Services,25__0,25,0.0,1. p999999_trade_value,97200.00000000001,97200.00000000001,O:CRNC250117C00020000,CRNC,C,20.0,2025-01-17,231,0,301,2.7,1735925995811000000,360,97200.00000000001,2025-01-03,3000,30,True,Single Leg Floor Trade,Computer and Technology,Computers - IT Services,10.79,19.89,10.3901,19.33,1,4.987666264926275,20,1,1,0,0,0
CSGP,Computer and Technology,Computers - IT Services,25__0,25,0.0,1. p999999_trade_value,386880.0,386880.0,O:CSGP241115P00075000,CSGP,P,75.0,2024-11-15,233,0,312,2.6,1729623309245000000,1488,386880.0,2024-10-22,3000,30,True,Multi Leg Auction,Computer and Technology,Computers - IT Services,77.57,77.74,75.9888,76.87,1,5.587576279180678,20,1,1,1,1,0
CTSH,Computer and Technology,Computers - IT Services,25__0,25,0.0,5. p99_trade_value,146745.0,204000.0,O:CTSH241018P00075000,CTSH,P,75.0,2024-10-18,227,0,300,1.35,1726770686634000000,1087,146745.0,2024-09-19,3000,30,True,Single Leg Auction Non ISO,Computer and Technology,Computers - IT Services,76.33,76.53,75.04,75.2,4,5.1665633125813,20,1,1,0,0,0
CTSH,Computer and Technology,Computers - IT Services,25__0,25,0.0,5. p99_trade_value,146745.0,204000.0,O:CTSH250321P00077500,CTSH,P,77.5,2025-03-21,233,0,323,0.51,1742314020237000000,3497,178347.0,2025-03-18,3000,30,True,Multi Leg Auction,Computer and Technology,Computers - IT Services,80.0,80.0,78.785,79.58,3,5.251265808407181,20,1,1,1,1,0
CTSH,Computer and Technology,Computers - IT Services,25__0,25,0.0,1. p999999_trade_value,238000.0,238000.0,O:CTSH250417P00077500,CTSH,P,77.5,2025-04-17,241,0,323,1.4,1742400468192000000,1700,238000.0,2025-03-19,3000,30,True,Stock Options Cross,Computer and Technology,Computers - IT Services,79.84,80.26,79.13,79.66,1,5.376576957056512,20,1,1,1,1,0
CTSH,Computer and Technology,Computers - IT Services,25__0,25,0.0,5. p99_trade_value,146745.0,204000.0,O:CTSH250417C00077500,CTSH,C,77.5,2025-04-17,241,0,308,1.2,1743602342094000000,1700,204000.0,2025-04-02,3000,30,True,Stock Options Cross,Computer and Technology,Computers - IT Services,75.69,77.005,75.69,76.73,2,5.309630167425898,20,1,0,0,0,1
DOX,Computer and Technology,Computers - IT Services,10__0,10,0.0,1. p999999_trade_value,45000.0,45000.0,O:DOX241115P00090000,DOX,P,90.0,2024-11-15,209,0,325,0.9,1731428331337000000,500,45000.0,2024-11-12,3000,30,True,Automatic Execution,Computer and Technology,Computers - IT Services,92.6,93.32,92.4489,92.71,1,4.653212513775344,20,1,1,1,1,0
EPAM,Computer and Technology,Computers - IT Services,25__0,25,0.0,7. p90_trade_value,18240.0,39900.0,O:EPAM241115C00200000,EPAM,C,200.0,2024-11-15,209,0,315,7.7,1729866512872000000,33,25410.0,2024-10-25,3000,30,True,Automatic Execution,Computer and Technology,Computers - IT Services,191.5,194.85,190.59,191.52,21,4.405004665050369,20,2,1,1,1,0
EPAM,Computer and Technology,Computers - IT Services,25__0,25,0.0,6. p95_trade_value,43200.0,60960.0,O:EPAM241115C00200000,EPAM,C,200.0,2024-11-15,227,0,312,7.88,1729866514514000000,74,58312.0,2024-10-25,3000,30,True,Single Leg Auction Non ISO,Computer and Technology,Computers - IT Services,191.5,194.85,190.59,191.52,8,4.765757937220531,20,1,1,1,1,0
EPAM,Computer and Technology,Computers - IT Services,25__0,25,0.0,6. p95_trade_value,43200.0,60960.0,O:EPAM241115C00200000,EPAM,C,200.0,2024-11-15,209,0,308,7.7,1729866511484000000,61,46970.0,2024-10-25,3000,30,True,Automatic Execution,Computer and Technology,Computers - IT Services,191.5,194.85,190.59,191.52,12,4.6718205601832485,20,1,1,1,1,0
EPAM,Computer and Technology,Computers - IT Services,25__0,25,0.0,7. p90_trade_value,18240.0,39900.0,O:EPAM241115C00200000,EPAM,C,200.0,2024-11-15,209,0,308,6.1,1730404787150000000,52,31720.0,2024-10-31,3000,30,True,Automatic Execution,Computer and Technology,Computers - IT Services,189.0,191.98,188.1,188.65,18,4.501333178645567,20,2,1,1,1,0
