security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ADP,Computer and Technology,Internet - Software,25__0,25,0.0,1. p999999_trade_value,168000.0,168000.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
ADP,Computer and Technology,Internet - Software,25__0,25,0.0,5. p99_trade_value,143395.0,61500.0,2.0,5.0,0.4,0.65,2. BELOW BASELINE,2.0,6.0,0.3333333333333333
ADP,Computer and Technology,Internet - Software,25__0,25,0.0,6. p95_trade_value,45816.0,20435.0,12.0,20.0,0.6,0.65,2. BELOW BASELINE,14.0,26.0,0.5384615384615384
ADP,Computer and Technology,Internet - Software,25__0,25,0.0,7. p90_trade_value,19845.0,14391.0,20.0,25.0,0.8,0.65,2. BELOW BASELINE,34.0,51.0,0.6666666666666666
ADP,Computer and Technology,Internet - Software,25__0,25,0.0,8. p75_trade_value,14250.0,8000.0,40.0,77.0,0.5194805194805194,0.65,2. BELOW BASELINE,74.0,128.0,0.578125
ADSK,Computer and Technology,Internet - Software,35__0,35,0.0,1. p999999_trade_value,421050.0,421050.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
ADSK,Computer and Technology,Internet - Software,35__0,35,0.0,4. p999_trade_value,236800.0,185000.0,2.0,4.0,0.5,0.65,2. BELOW BASELINE,2.0,5.0,0.4
ADSK,Computer and Technology,Internet - Software,35__0,35,0.0,5. p99_trade_value,182376.0,52080.00000000001,15.0,37.0,0.40540540540540543,0.65,2. BELOW BASELINE,17.0,42.0,0.40476190476190477
ADSK,Computer and Technology,Internet - Software,35__0,35,0.0,6. p95_trade_value,51612.0,21240.0,105.0,167.0,0.6287425149700598,0.65,2. BELOW BASELINE,122.0,209.0,0.583732057416268
ADSK,Computer and Technology,Internet - Software,35__0,35,0.0,7. p90_trade_value,21075.0,13455.000000000002,162.0,208.0,0.7788461538461539,0.65,2. BELOW BASELINE,284.0,417.0,0.6810551558752997
ADSK,Computer and Technology,Internet - Software,35__0,35,0.0,8. p75_trade_value,13413.0,8239.0,418.0,626.0,0.6677316293929713,0.65,2. BELOW BASELINE,702.0,1043.0,0.673058485139022
