security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
AGX,Construction,Building Products - Miscellaneous,25__0,25,0.0,1. p999999_trade_value,220000.0,220000.0,O:AGX241220C00160000,AGX,C,160.0,2024-12-20,235,0,323,11.0,1732897848863000000,200,220000.0,2024-11-29,3000,30,True,Multi Leg floor trade,Construction,Building Products - Miscellaneous,157.03,159.92,155.0284,155.94,1,5.342422680822207,20,1,1,0,0,0
CARR,Construction,Building Products - Air Conditioner and Heating,25__2,25,2.0,1. p999999_trade_value,364320.0,364320.0,O:CARR250117P00067500,CARR,P,67.5,2025-01-17,235,0,313,0.92,1736348083231000000,3960,364320.0,2025-01-08,3000,30,True,Multi Leg floor trade,Construction,Building Products - Air Conditioner and Heating,67.75,68.69,67.6,68.45,1,5.561483013271068,20,1,1,0,0,0
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,6. p95_trade_value,23375.0,44478.0,O:EME240920P00360000,EME,P,360.0,2024-09-20,232,0,308,4.25,1724780547661000000,55,23375.0,2024-08-27,3000,30,True,Multi Leg auto-electronic trade,Construction,Building Products - Heavy Construction,375.0,383.16,373.265,380.87,20,4.368751619544556,20,1,1,0,0,0
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,6. p95_trade_value,23375.0,44478.0,O:EME241018C00420000,EME,C,420.0,2024-10-18,209,0,325,12.05,1726666478274000000,20,24100.0,2024-09-18,3000,30,True,Automatic Execution,Construction,Building Products - Heavy Construction,411.84,417.7799,406.235,408.75,19,4.382017042574868,20,1,1,1,1,0
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,1. p999999_trade_value,91999.99999999999,91999.99999999999,O:EME241018C00440000,EME,C,440.0,2024-10-18,209,0,316,9.2,1726762817823000000,100,91999.99999999999,2024-09-19,3000,30,True,Automatic Execution,Construction,Building Products - Heavy Construction,420.67,432.88,412.43,430.05,1,4.963787827345556,20,1,1,1,1,0
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,6. p95_trade_value,23375.0,44478.0,O:EME241018C00450000,EME,C,450.0,2024-10-18,233,0,312,6.88,1726771612060000000,57,39216.0,2024-09-19,3000,30,True,Multi Leg Auction,Construction,Building Products - Heavy Construction,420.67,432.88,412.43,430.05,7,4.593463293908003,20,1,1,1,1,0
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,6. p95_trade_value,23375.0,44478.0,O:EME241018C00440000,EME,C,440.0,2024-10-18,209,0,316,13.15,1726840040199000000,19,24985.0,2024-09-20,3000,30,True,Automatic Execution,Construction,Building Products - Heavy Construction,430.45,437.095,428.0,435.6,17,4.397679353778606,20,1,1,1,1,0
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,6. p95_trade_value,23375.0,44478.0,O:EME241115C00490000,EME,C,490.0,2024-11-15,233,0,302,7.06,1729093763717000000,63,44478.0,2024-10-16,3000,30,True,Multi Leg Auction,Construction,Building Products - Heavy Construction,447.21,452.44,444.375,447.28,5,4.648145250505386,20,1,1,1,1,0
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,6. p95_trade_value,23375.0,44478.0,O:EME241115C00470000,EME,C,470.0,2024-11-15,209,0,303,14.4,1729193574409000000,20,28800.0,2024-10-17,3000,30,True,Automatic Execution,Construction,Building Products - Heavy Construction,452.25,455.515,448.82,453.75,15,4.459392487759231,20,1,1,1,1,0
EME,Construction,Building Products - Heavy Construction,25__0,25,0.0,6. p95_trade_value,23375.0,44478.0,O:EME241115C00490000,EME,C,490.0,2024-11-15,232,0,308,3.62,1730749285206000000,70,25340.0,2024-11-04,3000,30,True,Multi Leg auto-electronic trade,Construction,Building Products - Heavy Construction,450.7,468.59,450.6739,461.5,16,4.403806610547423,20,1,1,1,1,0
